"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 03:20:30,0.701%,23.8%,24.2%,0.613%,20.2%,14.0%,15.2%,12.9%,130%,80.5%,0.195%
2026-07-29 03:20:45,0.723%,23.1%,23.4%,0.647%,19.5%,13.8%,15.0%,12.6%,124%,83.7%,0.207%
2026-07-29 03:21:00,0.700%,21.8%,21.9%,0.665%,18.6%,13.0%,13.9%,11.8%,120%,77.5%,0.211%
2026-07-29 03:21:15,0.676%,20.6%,20.7%,0.617%,17.0%,12.2%,13.3%,10.8%,110%,73.5%,0.208%
2026-07-29 03:21:30,0.706%,19.6%,19.7%,0.651%,16.6%,11.5%,12.5%,10.7%,108%,70.2%,0.218%
2026-07-29 03:21:45,0.712%,18.2%,18.4%,0.617%,15.6%,10.9%,11.8%,9.98%,101%,66.1%,0.206%
2026-07-29 03:22:00,0.757%,17.3%,17.2%,0.705%,14.7%,10.2%,11.0%,9.37%,90.4%,62.1%,0.200%
2026-07-29 03:22:15,0.758%,16.2%,16.3%,0.691%,13.4%,9.76%,10.2%,8.71%,90.3%,57.9%,0.207%
2026-07-29 03:22:30,0.748%,15.4%,14.3%,0.753%,13.2%,9.14%,9.78%,8.44%,83.9%,55.4%,0.206%
2026-07-29 03:22:45,0.795%,13.9%,14.5%,0.751%,12.5%,8.68%,9.22%,7.99%,80.6%,52.2%,0.206%
2026-07-29 03:23:00,0.802%,13.4%,13.5%,0.771%,11.6%,8.21%,8.71%,7.61%,75.6%,47.8%,0.220%
2026-07-29 03:23:15,0.793%,12.9%,12.8%,0.755%,11.0%,7.64%,8.11%,6.98%,71.1%,46.6%,0.218%
2026-07-29 03:23:30,0.825%,11.8%,11.8%,0.755%,10.4%,7.22%,7.57%,6.76%,66.6%,41.0%,0.194%
2026-07-29 03:23:45,0.824%,9.89%,11.2%,0.773%,9.86%,6.58%,7.05%,6.13%,62.4%,40.3%,0.205%
2026-07-29 03:24:00,0.843%,10.0%,10.2%,0.779%,9.04%,6.19%,6.39%,5.83%,56.8%,36.9%,0.203%
2026-07-29 03:24:15,0.853%,9.24%,9.28%,0.798%,8.34%,5.70%,5.85%,5.37%,52.6%,34.0%,0.204%
2026-07-29 03:24:30,0.853%,7.53%,8.55%,0.823%,7.69%,5.11%,4.74%,4.93%,48.0%,30.4%,0.212%
2026-07-29 03:24:45,0.836%,7.41%,7.66%,0.850%,7.00%,4.65%,4.81%,4.52%,43.3%,27.9%,0.214%
2026-07-29 03:25:00,0.865%,6.74%,5.08%,0.848%,6.35%,3.81%,4.14%,4.15%,38.5%,24.2%,0.221%
2026-07-29 03:25:15,0.891%,5.65%,5.31%,0.852%,4.35%,2.81%,3.51%,3.65%,32.5%,20.7%,0.223%
2026-07-29 03:25:30,0.869%,4.77%,4.83%,0.838%,4.68%,3.00%,2.60%,3.12%,27.0%,15.7%,0.223%
2026-07-29 03:25:45,0.808%,5.13%,5.19%,0.822%,4.73%,3.26%,3.06%,3.29%,28.9%,18.2%,0.220%
2026-07-29 03:26:00,0.867%,5.50%,5.56%,0.811%,5.30%,3.47%,3.25%,3.51%,30.9%,19.3%,0.219%
2026-07-29 03:26:15,0.867%,5.86%,5.90%,0.826%,5.54%,3.69%,3.46%,3.76%,32.8%,20.3%,0.217%
2026-07-29 03:26:30,0.883%,6.21%,6.25%,0.825%,5.98%,3.71%,3.61%,3.98%,34.8%,21.5%,0.225%
2026-07-29 03:26:45,0.863%,6.54%,6.61%,0.844%,6.31%,4.04%,3.85%,4.19%,36.8%,22.9%,0.217%
2026-07-29 03:27:00,0.864%,6.79%,6.86%,0.847%,5.92%,4.14%,3.83%,4.12%,36.9%,22.7%,0.228%
2026-07-29 03:27:15,0.832%,6.98%,7.06%,0.806%,6.50%,4.24%,4.00%,4.29%,36.8%,22.8%,0.230%
2026-07-29 03:27:30,0.892%,6.82%,6.90%,0.819%,6.42%,4.23%,4.03%,4.33%,37.4%,22.8%,0.227%
2026-07-29 03:27:45,0.860%,6.86%,7.28%,0.815%,6.19%,4.25%,3.97%,4.42%,38.2%,23.0%,0.220%
2026-07-29 03:28:00,0.850%,7.56%,7.30%,0.812%,6.78%,4.12%,3.79%,4.67%,41.8%,26.1%,0.225%
2026-07-29 03:28:15,0.880%,7.14%,8.28%,0.803%,7.23%,4.72%,4.49%,4.50%,42.0%,28.4%,0.223%
2026-07-29 03:28:30,0.892%,8.78%,9.05%,0.833%,7.73%,4.47%,4.82%,5.15%,45.8%,30.5%,0.234%
2026-07-29 03:28:45,0.892%,9.56%,9.93%,0.807%,8.30%,5.36%,4.59%,5.49%,49.6%,32.5%,0.228%
2026-07-29 03:29:00,0.867%,10.4%,9.57%,0.783%,8.75%,5.70%,5.39%,5.93%,54.6%,35.2%,0.250%
2026-07-29 03:29:15,0.881%,10.1%,11.9%,0.812%,9.19%,6.08%,5.87%,6.25%,57.5%,37.8%,0.244%
2026-07-29 03:29:30,0.843%,11.7%,12.7%,0.777%,9.73%,6.47%,6.10%,6.59%,60.7%,39.3%,0.243%
2026-07-29 03:29:45,0.894%,12.5%,12.7%,0.751%,10.2%,6.91%,6.36%,6.99%,63.4%,40.9%,0.243%
2026-07-29 03:30:00,0.877%,13.3%,13.9%,0.771%,10.8%,6.91%,6.58%,7.37%,65.2%,43.9%,0.241%
2026-07-29 03:30:15,0.882%,13.9%,14.5%,0.756%,11.4%,7.27%,6.93%,7.77%,69.3%,45.8%,0.241%
2026-07-29 03:30:30,0.871%,14.7%,15.5%,0.761%,12.1%,7.63%,7.21%,7.75%,72.2%,48.6%,0.239%
2026-07-29 03:30:45,0.890%,15.5%,16.3%,0.753%,12.3%,8.15%,7.65%,8.20%,75.9%,50.9%,0.240%
2026-07-29 03:31:00,0.884%,16.0%,17.2%,0.771%,12.9%,8.51%,7.99%,8.48%,79.5%,53.6%,0.257%
2026-07-29 03:31:15,0.849%,16.8%,17.4%,0.716%,13.2%,8.88%,8.35%,8.23%,83.1%,52.6%,0.257%
2026-07-29 03:31:30,0.886%,17.6%,17.2%,0.715%,13.8%,8.95%,8.62%,9.26%,85.0%,58.9%,0.246%
2026-07-29 03:31:45,0.878%,17.8%,19.1%,0.710%,14.2%,9.52%,8.70%,9.85%,88.9%,60.9%,0.253%
2026-07-29 03:32:00,0.879%,18.4%,19.9%,0.712%,14.8%,9.82%,8.56%,9.22%,92.6%,63.8%,0.251%
2026-07-29 03:32:15,0.862%,19.2%,21.2%,0.691%,15.6%,10.4%,9.37%,10.7%,90.3%,67.2%,0.256%
2026-07-29 03:32:30,0.850%,20.0%,20.7%,0.691%,14.3%,10.4%,9.81%,10.7%,99.5%,64.8%,0.251%
2026-07-29 03:32:45,0.878%,19.7%,21.4%,0.719%,16.0%,9.89%,9.26%,10.5%,99.8%,68.7%,0.264%
2026-07-29 03:33:00,0.835%,19.5%,20.2%,0.742%,15.6%,10.1%,9.63%,10.6%,93.4%,66.4%,0.262%
2026-07-29 03:33:15,0.832%,20.1%,21.3%,0.698%,16.1%,10.3%,9.87%,10.8%,98.2%,61.9%,0.259%
2026-07-29 03:33:30,0.822%,20.2%,21.4%,0.705%,16.1%,10.7%,9.68%,10.9%,99.5%,69.3%,0.239%
2026-07-29 03:33:45,0.824%,20.6%,20.2%,0.686%,16.5%,10.9%,10.3%,11.2%,101%,70.4%,0.235%
2026-07-29 03:34:00,0.833%,20.1%,22.0%,0.685%,16.9%,11.2%,10.4%,11.5%,103%,71.0%,0.238%
2026-07-29 03:34:15,0.830%,21.3%,22.3%,0.672%,17.1%,11.2%,10.6%,11.0%,105%,72.1%,0.238%
