"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 03:55:15,17.5 MiB,7.70 MiB,7.87 MiB,99 MiB,186 MiB,170 MiB,173 MiB,167 MiB,295 MiB,285 MiB,98.6 MiB,
2026-07-29 03:55:30,18.7 MiB,7.72 MiB,7.86 MiB,99 MiB,185 MiB,171 MiB,173 MiB,167 MiB,296 MiB,285 MiB,105 MiB,
2026-07-29 03:55:45,18.4 MiB,7.72 MiB,7.98 MiB,98.8 MiB,185 MiB,173 MiB,174 MiB,167 MiB,297 MiB,288 MiB,111 MiB,
2026-07-29 03:56:00,20.3 MiB,8.13 MiB,7.63 MiB,98.8 MiB,186 MiB,165 MiB,174 MiB,167 MiB,297 MiB,288 MiB,111 MiB,
2026-07-29 03:56:15,18.7 MiB,7.79 MiB,8.12 MiB,98.8 MiB,184 MiB,165 MiB,174 MiB,167 MiB,297 MiB,289 MiB,110 MiB,
2026-07-29 03:56:30,14.5 MiB,7.79 MiB,7.87 MiB,98.8 MiB,185 MiB,166 MiB,179 MiB,172 MiB,297 MiB,289 MiB,117 MiB,
2026-07-29 03:56:45,19.0 MiB,7.69 MiB,8.04 MiB,98.8 MiB,182 MiB,167 MiB,179 MiB,172 MiB,302 MiB,293 MiB,117 MiB,
2026-07-29 03:57:00,21.0 MiB,8.11 MiB,7.61 MiB,98.7 MiB,184 MiB,167 MiB,179 MiB,173 MiB,303 MiB,293 MiB,117 MiB,
2026-07-29 03:57:15,16.9 MiB,7.86 MiB,7.61 MiB,98.5 MiB,184 MiB,167 MiB,179 MiB,173 MiB,301 MiB,295 MiB,116 MiB,
2026-07-29 03:57:30,16.9 MiB,7.74 MiB,7.66 MiB,98.5 MiB,184 MiB,168 MiB,179 MiB,166 MiB,301 MiB,295 MiB,116 MiB,
2026-07-29 03:57:45,18.5 MiB,7.74 MiB,7.65 MiB,98.5 MiB,190 MiB,168 MiB,169 MiB,167 MiB,298 MiB,295 MiB,116 MiB,
2026-07-29 03:58:00,20.7 MiB,7.72 MiB,7.89 MiB,98.5 MiB,191 MiB,168 MiB,169 MiB,167 MiB,298 MiB,295 MiB,116 MiB,
