"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 03:32:45,19.1 MiB,9.09 MiB,8.51 MiB,99.1 MiB,183 MiB,176 MiB,174 MiB,170 MiB,277 MiB,265 MiB,111 MiB,
2026-07-29 03:33:00,18.1 MiB,7.59 MiB,8.51 MiB,99.1 MiB,178 MiB,171 MiB,177 MiB,171 MiB,276 MiB,265 MiB,112 MiB,
2026-07-29 03:33:15,22.3 MiB,7.94 MiB,7.69 MiB,99.1 MiB,178 MiB,174 MiB,173 MiB,165 MiB,281 MiB,265 MiB,112 MiB,
2026-07-29 03:33:30,22.0 MiB,8.61 MiB,9.55 MiB,99.1 MiB,178 MiB,185 MiB,176 MiB,165 MiB,288 MiB,280 MiB,113 MiB,
2026-07-29 03:33:45,18.0 MiB,8.58 MiB,9.55 MiB,98.7 MiB,179 MiB,166 MiB,165 MiB,170 MiB,290 MiB,286 MiB,113 MiB,
2026-07-29 03:34:00,18.7 MiB,8.85 MiB,8.79 MiB,98.7 MiB,183 MiB,174 MiB,169 MiB,174 MiB,285 MiB,288 MiB,113 MiB,
2026-07-29 03:34:15,18.2 MiB,7.75 MiB,8.81 MiB,98.7 MiB,199 MiB,174 MiB,177 MiB,174 MiB,305 MiB,299 MiB,113 MiB,
2026-07-29 03:34:30,20.0 MiB,7.75 MiB,8.43 MiB,98.7 MiB,179 MiB,169 MiB,175 MiB,170 MiB,300 MiB,289 MiB,113 MiB,
2026-07-29 03:34:45,20.0 MiB,8.41 MiB,8.08 MiB,98.7 MiB,203 MiB,193 MiB,181 MiB,185 MiB,297 MiB,289 MiB,113 MiB,
2026-07-29 03:35:00,16.7 MiB,7.98 MiB,8.32 MiB,98.7 MiB,195 MiB,177 MiB,182 MiB,185 MiB,298 MiB,291 MiB,98.4 MiB,
2026-07-29 03:35:15,19.4 MiB,9.61 MiB,8.67 MiB,98.7 MiB,201 MiB,177 MiB,182 MiB,182 MiB,312 MiB,295 MiB,98.4 MiB,
2026-07-29 03:35:30,22.6 MiB,9.61 MiB,8.30 MiB,98.7 MiB,180 MiB,180 MiB,170 MiB,182 MiB,312 MiB,291 MiB,98.4 MiB,
2026-07-29 03:35:45,21.1 MiB,8.82 MiB,9.36 MiB,98.7 MiB,187 MiB,182 MiB,174 MiB,180 MiB,310 MiB,295 MiB,98.5 MiB,
2026-07-29 03:36:00,18.3 MiB,8.82 MiB,8.43 MiB,98.7 MiB,187 MiB,182 MiB,174 MiB,173 MiB,300 MiB,296 MiB,98.5 MiB,
2026-07-29 03:36:15,18.2 MiB,8.81 MiB,8.43 MiB,98.7 MiB,181 MiB,173 MiB,184 MiB,188 MiB,299 MiB,296 MiB,98.5 MiB,
2026-07-29 03:36:30,17.7 MiB,8.68 MiB,8.57 MiB,99.0 MiB,209 MiB,178 MiB,184 MiB,188 MiB,312 MiB,296 MiB,98.7 MiB,
2026-07-29 03:36:45,18.1 MiB,8.92 MiB,8.57 MiB,99.0 MiB,187 MiB,176 MiB,171 MiB,174 MiB,303 MiB,298 MiB,98.7 MiB,
2026-07-29 03:37:00,17.9 MiB,8.62 MiB,8.44 MiB,99.0 MiB,204 MiB,176 MiB,180 MiB,178 MiB,306 MiB,297 MiB,101 MiB,
2026-07-29 03:37:15,19.6 MiB,9.02 MiB,8.09 MiB,99.0 MiB,179 MiB,174 MiB,181 MiB,169 MiB,310 MiB,297 MiB,101 MiB,
2026-07-29 03:37:30,19.1 MiB,8.54 MiB,8.09 MiB,98.9 MiB,200 MiB,180 MiB,183 MiB,185 MiB,320 MiB,303 MiB,101 MiB,
2026-07-29 03:37:45,20.6 MiB,8.56 MiB,8.22 MiB,98.9 MiB,189 MiB,173 MiB,185 MiB,175 MiB,316 MiB,304 MiB,108 MiB,
2026-07-29 03:38:00,17.3 MiB,8.33 MiB,9.27 MiB,98.9 MiB,187 MiB,182 MiB,187 MiB,176 MiB,316 MiB,295 MiB,108 MiB,
2026-07-29 03:38:15,17.7 MiB,8.66 MiB,9.27 MiB,98.9 MiB,188 MiB,182 MiB,187 MiB,176 MiB,301 MiB,295 MiB,108 MiB,
2026-07-29 03:38:30,21.4 MiB,8.58 MiB,9.27 MiB,98.9 MiB,188 MiB,182 MiB,187 MiB,176 MiB,301 MiB,296 MiB,108 MiB,
2026-07-29 03:38:45,18.2 MiB,8.40 MiB,9.27 MiB,98.9 MiB,188 MiB,182 MiB,187 MiB,176 MiB,277 MiB,297 MiB,108 MiB,
2026-07-29 03:39:00,20.2 MiB,8.40 MiB,9.27 MiB,98.9 MiB,186 MiB,182 MiB,187 MiB,176 MiB,277 MiB,297 MiB,108 MiB,
2026-07-29 03:39:15,17.9 MiB,8.39 MiB,9.27 MiB,98.9 MiB,186 MiB,182 MiB,187 MiB,176 MiB,275 MiB,297 MiB,101 MiB,
2026-07-29 03:39:30,18.2 MiB,8.45 MiB,9.27 MiB,98.9 MiB,187 MiB,182 MiB,187 MiB,176 MiB,274 MiB,298 MiB,101 MiB,
2026-07-29 03:39:45,18.0 MiB,8.16 MiB,9.27 MiB,98.9 MiB,187 MiB,182 MiB,162 MiB,176 MiB,275 MiB,298 MiB,101 MiB,
2026-07-29 03:40:00,19.2 MiB,8.54 MiB,9.27 MiB,98.9 MiB,187 MiB,182 MiB,162 MiB,169 MiB,275 MiB,268 MiB,101 MiB,
2026-07-29 03:40:15,21.6 MiB,8.54 MiB,9.30 MiB,98.9 MiB,187 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,103 MiB,
2026-07-29 03:40:30,21.6 MiB,8.56 MiB,8.11 MiB,98.9 MiB,187 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:40:45,17.3 MiB,8.26 MiB,8.11 MiB,98.9 MiB,109 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:41:00,18.3 MiB,8.73 MiB,8.11 MiB,99.0 MiB,109 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:41:15,20.3 MiB,8.19 MiB,8.11 MiB,99.0 MiB,109 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:41:30,17.9 MiB,8.76 MiB,8.11 MiB,99.0 MiB,109 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:41:45,22.4 MiB,8.67 MiB,8.11 MiB,99.0 MiB,109 MiB,130 MiB,162 MiB,169 MiB,275 MiB,268 MiB,110 MiB,
2026-07-29 03:42:00,22.6 MiB,8.48 MiB,8.11 MiB,99.0 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,110 MiB,
2026-07-29 03:42:15,20.5 MiB,8.34 MiB,8.11 MiB,99.0 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,110 MiB,
2026-07-29 03:42:30,18.2 MiB,8.34 MiB,7.24 MiB,98.9 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,110 MiB,
2026-07-29 03:42:45,21.1 MiB,8.37 MiB,7.24 MiB,98.9 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,110 MiB,
2026-07-29 03:43:00,19.3 MiB,8.51 MiB,7.24 MiB,98.9 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,107 MiB,
2026-07-29 03:43:15,21.3 MiB,8.34 MiB,7.24 MiB,98.9 MiB,109 MiB,96.9 MiB,97.3 MiB,95.2 MiB,275 MiB,178 MiB,107 MiB,
2026-07-29 03:43:30,18.4 MiB,8.10 MiB,7.24 MiB,98.9 MiB,110 MiB,96.9 MiB,97.3 MiB,95.2 MiB,274 MiB,178 MiB,107 MiB,
2026-07-29 03:43:45,18.4 MiB,8.14 MiB,7.24 MiB,98.9 MiB,110 MiB,96.9 MiB,97.3 MiB,95.2 MiB,274 MiB,178 MiB,110 MiB,
2026-07-29 03:44:00,17.2 MiB,8.10 MiB,7.27 MiB,98.9 MiB,111 MiB,96.9 MiB,97.3 MiB,95.2 MiB,274 MiB,178 MiB,110 MiB,
2026-07-29 03:44:15,17.5 MiB,8.10 MiB,7.15 MiB,98.9 MiB,111 MiB,96.9 MiB,97.3 MiB,95.2 MiB,274 MiB,178 MiB,110 MiB,
2026-07-29 03:44:30,17.5 MiB,8.10 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,274 MiB,178 MiB,110 MiB,
2026-07-29 03:44:45,18.6 MiB,8.15 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,273 MiB,178 MiB,110 MiB,
2026-07-29 03:45:00,19.3 MiB,8.15 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,178 MiB,110 MiB,
2026-07-29 03:45:15,17.9 MiB,8.25 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,178 MiB,109 MiB,
2026-07-29 03:45:30,21.6 MiB,8.31 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,178 MiB,110 MiB,
2026-07-29 03:45:45,17.6 MiB,8.25 MiB,7.15 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,110 MiB,
2026-07-29 03:46:00,18.4 MiB,8.39 MiB,7.18 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,110 MiB,
2026-07-29 03:46:15,18.4 MiB,8.03 MiB,7.18 MiB,98.9 MiB,112 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,110 MiB,
2026-07-29 03:46:30,15.6 MiB,7.77 MiB,7.12 MiB,98.9 MiB,113 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,110 MiB,
2026-07-29 03:46:45,16.4 MiB,7.77 MiB,7.12 MiB,98.9 MiB,110 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,111 MiB,
2026-07-29 03:47:00,17.2 MiB,7.77 MiB,7.12 MiB,99.0 MiB,110 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,111 MiB,
2026-07-29 03:47:15,17.2 MiB,7.77 MiB,7.12 MiB,99.1 MiB,110 MiB,96.9 MiB,97.3 MiB,95.2 MiB,269 MiB,179 MiB,111 MiB,
