"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 00:43:45,18.6 MiB,,9.49 MiB,8.82 MiB,116 MiB,166 MiB,164 MiB,165 MiB,169 MiB,294 MiB,280 MiB,75.7 MiB,
2026-07-30 00:44:00,20.2 MiB,,8.55 MiB,8.48 MiB,117 MiB,162 MiB,162 MiB,161 MiB,165 MiB,291 MiB,284 MiB,75.7 MiB,
2026-07-30 00:44:15,18.8 MiB,,8.95 MiB,9.24 MiB,117 MiB,160 MiB,164 MiB,163 MiB,167 MiB,299 MiB,284 MiB,81.1 MiB,
2026-07-30 00:44:30,20.1 MiB,,8.37 MiB,9.36 MiB,117 MiB,164 MiB,155 MiB,165 MiB,166 MiB,304 MiB,286 MiB,81.1 MiB,
2026-07-30 00:44:45,24.2 MiB,,9.33 MiB,9.04 MiB,116 MiB,166 MiB,155 MiB,165 MiB,166 MiB,304 MiB,290 MiB,88.2 MiB,
2026-07-30 00:45:00,23.0 MiB,,8.62 MiB,8.89 MiB,116 MiB,171 MiB,161 MiB,163 MiB,166 MiB,310 MiB,292 MiB,88.4 MiB,
2026-07-30 00:45:15,20.2 MiB,,9.38 MiB,8.69 MiB,116 MiB,165 MiB,166 MiB,164 MiB,166 MiB,310 MiB,292 MiB,88.4 MiB,
2026-07-30 00:45:30,19.8 MiB,,9.38 MiB,9.23 MiB,116 MiB,165 MiB,159 MiB,168 MiB,161 MiB,302 MiB,295 MiB,89.1 MiB,
2026-07-30 00:45:45,20.7 MiB,,9.31 MiB,9.13 MiB,116 MiB,167 MiB,169 MiB,166 MiB,164 MiB,306 MiB,300 MiB,89.1 MiB,
2026-07-30 00:46:00,23.1 MiB,,8.65 MiB,8.77 MiB,116 MiB,167 MiB,161 MiB,165 MiB,161 MiB,306 MiB,295 MiB,89.1 MiB,
2026-07-30 00:46:15,23.1 MiB,,8.65 MiB,8.88 MiB,116 MiB,167 MiB,163 MiB,165 MiB,161 MiB,298 MiB,299 MiB,95.4 MiB,
2026-07-30 00:46:30,20.6 MiB,,9.10 MiB,9.14 MiB,116 MiB,176 MiB,159 MiB,170 MiB,170 MiB,316 MiB,299 MiB,95.6 MiB,
2026-07-30 00:46:45,23.6 MiB,,8.23 MiB,8.05 MiB,116 MiB,167 MiB,159 MiB,165 MiB,164 MiB,302 MiB,299 MiB,95.6 MiB,
2026-07-30 00:47:00,22.0 MiB,,7.84 MiB,8.05 MiB,116 MiB,170 MiB,162 MiB,162 MiB,164 MiB,322 MiB,299 MiB,95.7 MiB,
2026-07-30 00:47:15,18.9 MiB,,8.29 MiB,8.62 MiB,116 MiB,166 MiB,162 MiB,164 MiB,164 MiB,314 MiB,299 MiB,95.7 MiB,
2026-07-30 00:47:30,19.5 MiB,,8.95 MiB,8.44 MiB,116 MiB,169 MiB,162 MiB,167 MiB,166 MiB,328 MiB,301 MiB,95.7 MiB,
2026-07-30 00:47:45,19.5 MiB,,8.65 MiB,8.63 MiB,116 MiB,166 MiB,163 MiB,164 MiB,167 MiB,325 MiB,284 MiB,95.7 MiB,
2026-07-30 00:48:00,21.4 MiB,,8.89 MiB,8.88 MiB,116 MiB,169 MiB,163 MiB,170 MiB,168 MiB,305 MiB,284 MiB,95.7 MiB,
2026-07-30 00:48:15,22.5 MiB,,8.43 MiB,8.54 MiB,116 MiB,170 MiB,162 MiB,164 MiB,164 MiB,301 MiB,291 MiB,95.7 MiB,
2026-07-30 00:48:30,23.5 MiB,,8.43 MiB,8.54 MiB,116 MiB,170 MiB,162 MiB,164 MiB,164 MiB,301 MiB,291 MiB,95.7 MiB,
2026-07-30 00:48:45,21.2 MiB,,8.73 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,301 MiB,291 MiB,95.7 MiB,
2026-07-30 00:49:00,21.2 MiB,,8.30 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,286 MiB,291 MiB,82.0 MiB,
2026-07-30 00:49:15,20.4 MiB,,8.74 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,277 MiB,292 MiB,82.0 MiB,
2026-07-30 00:49:30,22.4 MiB,,8.57 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,275 MiB,292 MiB,82.0 MiB,
2026-07-30 00:49:45,19.0 MiB,,8.40 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,275 MiB,292 MiB,82.0 MiB,
2026-07-30 00:50:00,18.9 MiB,,8.40 MiB,8.54 MiB,117 MiB,170 MiB,162 MiB,164 MiB,168 MiB,275 MiB,292 MiB,82.0 MiB,
2026-07-30 00:50:15,20.2 MiB,,8.21 MiB,8.54 MiB,117 MiB,170 MiB,125 MiB,164 MiB,166 MiB,274 MiB,272 MiB,82.0 MiB,
2026-07-30 00:50:30,23.8 MiB,,8.21 MiB,8.57 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,82.0 MiB,
2026-07-30 00:50:45,20.2 MiB,,8.21 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,275 MiB,272 MiB,72 MiB,
2026-07-30 00:51:00,20.2 MiB,,8.18 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,72 MiB,
2026-07-30 00:51:15,19.9 MiB,,8.18 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,78.3 MiB,
2026-07-30 00:51:30,23.2 MiB,,8.47 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,80.8 MiB,
2026-07-30 00:51:45,19.5 MiB,,8.16 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,80.8 MiB,
2026-07-30 00:52:00,20.2 MiB,,8.16 MiB,7.73 MiB,117 MiB,155 MiB,125 MiB,109 MiB,166 MiB,274 MiB,272 MiB,93.5 MiB,
2026-07-30 00:52:15,20.3 MiB,,8.23 MiB,7.73 MiB,117 MiB,98.3 MiB,125 MiB,109 MiB,90.8 MiB,275 MiB,172 MiB,93.5 MiB,
2026-07-30 00:52:30,20.6 MiB,,8.22 MiB,7.73 MiB,117 MiB,98.3 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.6 MiB,
2026-07-30 00:52:45,21.9 MiB,,8.31 MiB,7.04 MiB,117 MiB,98.3 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.6 MiB,
2026-07-30 00:53:00,24.1 MiB,,8.31 MiB,7.04 MiB,117 MiB,98.3 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.9 MiB,
2026-07-30 00:53:15,24.1 MiB,,7.97 MiB,7.04 MiB,117 MiB,98.3 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.9 MiB,
2026-07-30 00:53:30,23.7 MiB,,8.50 MiB,7.04 MiB,117 MiB,98.3 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.9 MiB,
2026-07-30 00:53:45,23.7 MiB,,8.50 MiB,7.04 MiB,117 MiB,98.9 MiB,91.5 MiB,92.0 MiB,90.8 MiB,274 MiB,172 MiB,93.9 MiB,
2026-07-30 00:54:00,19.7 MiB,,8.07 MiB,7.04 MiB,117 MiB,98.9 MiB,91.5 MiB,92.0 MiB,90.8 MiB,273 MiB,172 MiB,93.9 MiB,
2026-07-30 00:54:15,20.2 MiB,,8.57 MiB,7.04 MiB,117 MiB,98.9 MiB,91.5 MiB,92.0 MiB,90.8 MiB,273 MiB,172 MiB,93.9 MiB,
2026-07-30 00:54:30,23.9 MiB,,8.57 MiB,6.98 MiB,117 MiB,97.0 MiB,91.5 MiB,92.0 MiB,90.8 MiB,273 MiB,172 MiB,93.9 MiB,
2026-07-30 00:54:45,23.9 MiB,,8.05 MiB,6.98 MiB,116 MiB,97.0 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,172 MiB,93.9 MiB,
2026-07-30 00:55:00,22.4 MiB,,8.05 MiB,6.98 MiB,116 MiB,97.0 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,172 MiB,98.6 MiB,
2026-07-30 00:55:15,22.1 MiB,,8.01 MiB,6.98 MiB,116 MiB,97.6 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,172 MiB,98.6 MiB,
2026-07-30 00:55:30,24.0 MiB,,7.82 MiB,6.98 MiB,116 MiB,97.6 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:55:45,24.0 MiB,,7.86 MiB,6.98 MiB,116 MiB,97.6 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:56:00,21.4 MiB,,7.71 MiB,6.98 MiB,116 MiB,97.6 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:56:15,22.5 MiB,,7.82 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,92.0 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:56:30,20.3 MiB,,7.82 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:56:45,19.9 MiB,,8.00 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,98.6 MiB,
2026-07-30 00:57:00,20.2 MiB,,7.75 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.0 MiB,
2026-07-30 00:57:15,19.1 MiB,,8.15 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:57:30,20.5 MiB,,8.15 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:57:45,21.1 MiB,,8.06 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:58:00,20.5 MiB,,8.06 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:58:15,20.6 MiB,,7.67 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:58:30,20.7 MiB,,8.00 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:58:45,19.9 MiB,,7.88 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,272 MiB,173 MiB,99.1 MiB,
2026-07-30 00:59:00,19.9 MiB,,7.87 MiB,6.98 MiB,116 MiB,96.9 MiB,91.5 MiB,91.9 MiB,90.8 MiB,273 MiB,173 MiB,84.9 MiB,
