"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 01:07:00,19.1 MiB,,7.64 MiB,8.16 MiB,116 MiB,150 MiB,149 MiB,151 MiB,150 MiB,282 MiB,274 MiB,88.8 MiB,
2026-07-30 01:07:15,20.0 MiB,,7.51 MiB,8.11 MiB,116 MiB,151 MiB,149 MiB,151 MiB,151 MiB,280 MiB,274 MiB,95.0 MiB,
2026-07-30 01:07:30,20.7 MiB,,7.88 MiB,8.16 MiB,116 MiB,151 MiB,148 MiB,149 MiB,156 MiB,285 MiB,274 MiB,98.8 MiB,
2026-07-30 01:07:45,20.1 MiB,,7.88 MiB,7.89 MiB,116 MiB,150 MiB,149 MiB,149 MiB,156 MiB,284 MiB,279 MiB,98.8 MiB,
2026-07-30 01:08:00,20.1 MiB,,7.89 MiB,7.91 MiB,116 MiB,153 MiB,149 MiB,150 MiB,151 MiB,284 MiB,279 MiB,99.8 MiB,
2026-07-30 01:08:15,22.1 MiB,,8.02 MiB,7.91 MiB,116 MiB,152 MiB,151 MiB,150 MiB,152 MiB,288 MiB,269 MiB,99.8 MiB,
2026-07-30 01:08:30,20.7 MiB,,7.95 MiB,7.91 MiB,116 MiB,152 MiB,149 MiB,150 MiB,156 MiB,286 MiB,276 MiB,99.8 MiB,
2026-07-30 01:08:45,22.8 MiB,,8.17 MiB,8.15 MiB,116 MiB,153 MiB,149 MiB,150 MiB,156 MiB,277 MiB,271 MiB,99.9 MiB,
2026-07-30 01:09:00,19.3 MiB,,7.65 MiB,8.28 MiB,116 MiB,153 MiB,150 MiB,151 MiB,151 MiB,278 MiB,271 MiB,99.9 MiB,
2026-07-30 01:09:15,20.9 MiB,,7.65 MiB,8.09 MiB,116 MiB,162 MiB,150 MiB,165 MiB,151 MiB,292 MiB,281 MiB,99.9 MiB,
