"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 04:32:30,0.700%,21.0%,20.3%,0.610%,56.3%,43.4%,59.1%,59.5%,145%,86.8%,0.205%
2026-07-30 04:32:45,0.768%,20.2%,19.3%,0.644%,53.5%,43.4%,59.3%,58.2%,152%,83.2%,0.210%
2026-07-30 04:33:00,0.818%,18.9%,18.2%,0.665%,50.8%,40.3%,54.9%,55.3%,143%,79.0%,0.201%
2026-07-30 04:33:15,0.816%,18.2%,17.2%,0.670%,48.2%,38.3%,52.3%,52.2%,136%,75.1%,0.210%
2026-07-30 04:33:30,0.827%,17.1%,16.3%,0.639%,45.2%,36.1%,49.2%,49.3%,129%,71.4%,0.198%
2026-07-30 04:33:45,0.837%,16.0%,15.4%,0.678%,42.5%,34.1%,46.4%,46.1%,121%,67.1%,0.209%
2026-07-30 04:34:00,0.844%,15.0%,14.2%,0.683%,40.6%,32.1%,43.2%,43.2%,113%,62.9%,0.229%
2026-07-30 04:34:15,0.821%,13.9%,13.8%,0.706%,36.0%,30.7%,41.5%,42.1%,104%,60.5%,0.231%
2026-07-30 04:34:30,0.832%,13.6%,12.9%,0.719%,36.5%,29.5%,38.7%,40.0%,103%,57.6%,0.237%
2026-07-30 04:34:45,0.840%,13.1%,10.7%,0.773%,35.7%,28.8%,37.5%,38.5%,98.5%,54.9%,0.226%
2026-07-30 04:35:00,0.851%,12.2%,11.4%,0.768%,33.8%,27.6%,35.6%,36.9%,93.5%,52.2%,0.233%
2026-07-30 04:35:15,0.853%,10.9%,11.0%,0.795%,29.6%,26.9%,33.8%,35.8%,89.1%,46.0%,0.233%
2026-07-30 04:35:30,0.856%,10.9%,10.4%,0.786%,30.6%,24.0%,32.2%,34.0%,84.6%,45.4%,0.215%
2026-07-30 04:35:45,0.881%,10.5%,9.85%,0.794%,29.5%,23.5%,29.6%,31.8%,79.9%,43.6%,0.222%
2026-07-30 04:36:00,0.923%,9.61%,9.00%,0.793%,26.6%,23.3%,28.6%,30.6%,71.9%,40.9%,0.234%
2026-07-30 04:36:15,0.886%,8.89%,8.37%,0.820%,26.4%,22.2%,26.9%,29.3%,69.5%,38.2%,0.239%
2026-07-30 04:36:30,0.900%,8.40%,7.70%,0.832%,25.1%,21.4%,25.0%,27.6%,64.4%,35.7%,0.240%
2026-07-30 04:36:45,0.881%,6.85%,7.43%,0.858%,23.8%,20.9%,23.0%,26.3%,60.7%,33.0%,0.244%
2026-07-30 04:37:00,0.936%,7.01%,6.56%,0.859%,22.1%,16.2%,21.4%,20.7%,57.2%,28.4%,0.246%
2026-07-30 04:37:15,0.886%,5.16%,5.09%,0.844%,17.7%,17.8%,15.2%,21.6%,38.9%,22.2%,0.248%
2026-07-30 04:37:30,0.873%,5.53%,5.51%,0.865%,18.9%,14.8%,16.3%,19.6%,41.9%,23.8%,0.245%
2026-07-30 04:37:45,0.863%,5.93%,5.91%,0.862%,20.4%,17.4%,17.4%,20.9%,44.7%,23.4%,0.255%
2026-07-30 04:38:00,0.866%,6.33%,6.28%,0.871%,21.7%,17.2%,18.7%,22.4%,47.7%,27.2%,0.256%
2026-07-30 04:38:15,0.865%,6.72%,6.66%,0.865%,22.2%,19.7%,19.8%,23.8%,50.6%,29.0%,0.254%
2026-07-30 04:38:30,0.833%,7.09%,7.05%,0.801%,24.3%,20.8%,21.0%,25.1%,53.5%,30.5%,0.261%
2026-07-30 04:38:45,0.841%,7.49%,7.47%,0.845%,25.7%,22.0%,22.2%,25.6%,56.5%,31.8%,0.239%
2026-07-30 04:39:00,0.877%,7.49%,7.50%,0.860%,26.5%,22.6%,22.5%,26.8%,57.1%,30.1%,0.239%
2026-07-30 04:39:15,0.856%,7.75%,7.75%,0.853%,25.4%,22.7%,22.2%,27.4%,57.7%,32.3%,0.238%
2026-07-30 04:39:30,0.870%,7.62%,7.21%,0.828%,25.9%,21.9%,22.2%,26.3%,56.8%,31.3%,0.231%
2026-07-30 04:39:45,0.865%,8.38%,7.13%,0.834%,25.8%,22.5%,22.1%,25.1%,57.2%,33.2%,0.246%
2026-07-30 04:40:00,0.880%,8.96%,8.97%,0.820%,26.3%,22.9%,22.8%,27.8%,61.3%,35.1%,0.243%
2026-07-30 04:40:15,0.864%,8.75%,9.42%,0.821%,27.1%,23.6%,23.4%,26.2%,65.2%,37.3%,0.237%
2026-07-30 04:40:30,0.836%,9.77%,10.0%,0.797%,28.1%,24.2%,21.0%,29.8%,62.3%,37.3%,0.245%
2026-07-30 04:40:45,0.826%,10.6%,10.8%,0.830%,28.9%,24.7%,24.7%,31.0%,71.4%,41.1%,0.229%
2026-07-30 04:41:00,0.854%,10.00%,11.3%,0.822%,29.9%,25.3%,25.3%,32.3%,74.1%,42.7%,0.213%
2026-07-30 04:41:15,0.882%,11.7%,12.0%,0.792%,30.7%,26.0%,26.0%,31.1%,80.4%,45.1%,0.225%
2026-07-30 04:41:30,0.839%,12.5%,12.7%,0.804%,29.4%,26.4%,24.9%,34.1%,81.6%,46.9%,0.219%
2026-07-30 04:41:45,0.892%,13.3%,13.5%,0.783%,32.1%,27.1%,27.3%,35.1%,85.8%,49.4%,0.230%
2026-07-30 04:42:00,0.835%,14.1%,14.2%,0.775%,33.2%,25.7%,28.0%,36.1%,82.1%,50.3%,0.237%
2026-07-30 04:42:15,0.894%,14.5%,14.8%,0.771%,33.8%,27.5%,28.8%,34.3%,93.8%,52.3%,0.238%
2026-07-30 04:42:30,0.893%,15.0%,15.2%,0.758%,34.8%,28.9%,29.3%,38.3%,89.6%,53.5%,0.229%
2026-07-30 04:42:45,0.898%,15.7%,15.9%,0.778%,35.6%,28.8%,30.0%,39.4%,100%,56.7%,0.226%
2026-07-30 04:43:00,0.884%,16.5%,16.7%,0.770%,35.3%,29.9%,30.7%,40.8%,105%,55.2%,0.211%
2026-07-30 04:43:15,0.890%,16.9%,17.4%,0.756%,34.4%,30.7%,31.5%,38.9%,109%,61.7%,0.218%
2026-07-30 04:43:30,0.900%,16.5%,18.2%,0.749%,37.9%,31.3%,30.8%,43.0%,112%,62.3%,0.206%
2026-07-30 04:43:45,0.912%,18.2%,18.7%,0.729%,38.6%,31.9%,32.7%,40.5%,116%,66.1%,0.220%
2026-07-30 04:44:00,0.922%,19.0%,18.2%,0.713%,36.7%,32.7%,33.5%,45.2%,122%,66.4%,0.235%
2026-07-30 04:44:15,0.926%,18.5%,20.3%,0.679%,40.5%,33.0%,35.1%,47.1%,122%,70.5%,0.244%
2026-07-30 04:44:30,0.929%,19.5%,19.6%,0.710%,40.8%,34.2%,35.0%,47.0%,125%,70.5%,0.236%
2026-07-30 04:44:45,0.919%,19.5%,19.7%,0.717%,40.1%,33.0%,33.9%,45.6%,121%,68.3%,0.239%
2026-07-30 04:45:00,0.922%,19.3%,20.1%,0.722%,38.8%,33.5%,34.5%,46.2%,123%,69.2%,0.237%
2026-07-30 04:45:15,0.883%,19.5%,19.8%,0.728%,40.9%,33.9%,34.5%,46.8%,123%,69.8%,0.233%
2026-07-30 04:45:30,0.912%,19.4%,19.8%,0.685%,41.9%,34.5%,35.2%,47.4%,124%,65.6%,0.237%
2026-07-30 04:45:45,0.900%,17.6%,20.2%,0.687%,42.6%,35.0%,35.5%,48.2%,127%,71.4%,0.245%
2026-07-30 04:46:00,0.854%,20.0%,20.4%,0.657%,43.7%,35.0%,36.1%,47.2%,129%,73.0%,0.237%
2026-07-30 04:46:15,0.852%,19.9%,19.6%,0.676%,42.8%,35.5%,34.2%,49.4%,131%,70.1%,0.242%
2026-07-30 04:46:30,0.827%,20.3%,20.3%,0.661%,45.1%,33.1%,36.9%,50.0%,132%,74.2%,0.233%
2026-07-30 04:46:45,0.802%,20.1%,20.4%,0.634%,45.7%,36.5%,37.4%,47.4%,134%,69.8%,0.224%
2026-07-30 04:47:00,0.828%,20.8%,19.9%,0.682%,46.1%,37.0%,38.1%,49.7%,135%,76.3%,0.219%
2026-07-30 04:47:15,0.793%,21.0%,20.8%,0.685%,47.0%,37.9%,38.6%,52.2%,138%,77.3%,0.216%
2026-07-30 04:47:30,0.796%,21.1%,21.1%,0.646%,47.8%,38.2%,37.4%,49.8%,139%,78.4%,0.215%
2026-07-30 04:47:45,0.787%,21.1%,20.9%,0.649%,45.3%,38.7%,39.6%,53.5%,140%,79.4%,0.227%
2026-07-30 04:48:00,0.803%,21.4%,21.0%,0.640%,49.6%,38.8%,40.0%,54.6%,143%,79.4%,0.221%
2026-07-30 04:48:15,0.804%,21.6%,21.0%,0.640%,46.3%,39.6%,39.2%,55.0%,145%,80.6%,0.223%
2026-07-30 04:48:30,0.762%,21.7%,21.2%,0.613%,50.6%,40.0%,38.4%,54.1%,145%,81.5%,0.222%
2026-07-30 04:48:45,0.763%,22.2%,20.8%,0.652%,51.7%,40.5%,41.3%,56.2%,147%,82.7%,0.203%
2026-07-30 04:49:00,0.748%,21.6%,21.4%,0.621%,51.9%,38.8%,41.7%,56.8%,148%,82.8%,0.198%
2026-07-30 04:49:15,0.745%,22.0%,21.4%,0.638%,53.9%,41.2%,42.3%,57.9%,150%,83.9%,0.191%
2026-07-30 04:49:30,0.739%,22.8%,21.3%,0.578%,55.0%,43.0%,42.1%,57.3%,156%,87.2%,0.192%
2026-07-30 04:49:45,0.749%,22.5%,21.5%,0.608%,55.0%,42.9%,44.0%,60.2%,156%,85.4%,0.181%
2026-07-30 04:50:00,0.755%,21.7%,20.7%,0.625%,52.5%,40.8%,42.3%,58.0%,152%,81.6%,0.214%
2026-07-30 04:50:15,0.743%,20.9%,19.3%,0.650%,48.0%,37.9%,38.7%,52.2%,139%,73.7%,0.216%
2026-07-30 04:50:30,0.755%,18.8%,18.6%,0.656%,47.8%,36.2%,36.8%,51.8%,134%,76.4%,0.213%
2026-07-30 04:50:45,0.762%,18.8%,17.4%,0.684%,43.9%,34.1%,34.9%,46.5%,126%,70.8%,0.219%
2026-07-30 04:51:00,0.759%,18.7%,15.9%,0.718%,41.2%,31.3%,32.2%,44.3%,117%,65.1%,0.214%
2026-07-30 04:51:15,0.764%,17.0%,15.2%,0.747%,37.9%,28.8%,30.2%,40.3%,109%,59.4%,0.218%
2026-07-30 04:51:30,0.794%,16.1%,13.6%,0.718%,34.8%,27.1%,27.9%,34.8%,102%,53.8%,0.224%
2026-07-30 04:51:45,0.803%,14.8%,12.1%,0.759%,31.9%,25.9%,24.9%,34.5%,95.2%,50.5%,0.233%
2026-07-30 04:52:00,0.805%,14.3%,11.9%,0.770%,30.3%,23.4%,22.9%,31.4%,88.5%,45.8%,0.237%
2026-07-30 04:52:15,0.797%,13.2%,10.5%,0.795%,26.9%,19.6%,19.9%,26.4%,80.0%,41.8%,0.238%
2026-07-30 04:52:30,0.809%,12.2%,9.72%,0.816%,21.7%,17.2%,19.2%,26.2%,74.2%,36.3%,0.230%
2026-07-30 04:52:45,0.811%,11.3%,7.65%,0.806%,21.0%,14.9%,15.6%,21.9%,64.5%,28.8%,0.235%
2026-07-30 04:53:00,0.798%,10.1%,7.27%,0.886%,15.7%,13.9%,13.9%,18.0%,55.7%,29.9%,0.237%
2026-07-30 04:53:15,0.827%,9.10%,5.94%,0.837%,15.1%,11.2%,9.63%,15.1%,48.7%,24.8%,0.237%
2026-07-30 04:53:30,0.827%,7.46%,3.98%,0.898%,11.3%,8.88%,9.98%,12.0%,43.2%,20.6%,0.240%
2026-07-30 04:53:45,0.853%,7.03%,2.98%,0.927%,8.12%,4.88%,7.04%,8.14%,34.5%,14.5%,0.239%
2026-07-30 04:54:00,0.805%,6.57%,1.98%,0.937%,5.89%,4.82%,4.27%,5.94%,25.7%,9.00%,0.255%
2026-07-30 04:54:15,0.833%,5.83%,0.611%,0.961%,2.53%,0.569%,0.620%,0.566%,19.0%,4.54%,0.259%
2026-07-30 04:54:30,0.822%,4.41%,0.588%,0.966%,0.503%,0.568%,0.615%,0.560%,14.9%,1.69%,0.237%
2026-07-30 04:54:45,0.835%,4.77%,0.00350%,0.973%,0.483%,0.0606%,0.0687%,0.0626%,14.9%,1.69%,0.243%
2026-07-30 04:55:00,0.889%,4.75%,0.00365%,0.993%,0.502%,0.0597%,0.0692%,0.0628%,14.7%,1.62%,0.229%
2026-07-30 04:55:15,0.874%,4.79%,0.00359%,0.951%,0.499%,0.0583%,0.0669%,0.0620%,15.9%,1.69%,0.238%
2026-07-30 04:55:30,0.848%,5.33%,0.00351%,0.974%,0.479%,0.0595%,0.0666%,0.0605%,17.1%,1.67%,0.236%
2026-07-30 04:55:45,0.863%,6.09%,0.00338%,0.939%,0.489%,0.0634%,0.0708%,0.0658%,19.1%,1.65%,0.237%
2026-07-30 04:56:00,0.855%,6.59%,0.00508%,0.937%,0.488%,0.0638%,0.0710%,0.0646%,20.5%,1.63%,0.248%
2026-07-30 04:56:15,0.866%,7.28%,0.00522%,0.932%,0.481%,0.0633%,0.0694%,0.0648%,22.1%,1.60%,0.242%
2026-07-30 04:56:30,0.864%,8.06%,0.00446%,0.911%,0.458%,0.0569%,0.0620%,0.0563%,23.2%,1.58%,0.234%
2026-07-30 04:56:45,0.832%,7.87%,0.00444%,0.907%,0.465%,0.0580%,0.0633%,0.0552%,24.9%,1.53%,0.232%
2026-07-30 04:57:00,0.842%,9.07%,0.00452%,0.918%,0.457%,0.0582%,0.0590%,0.0536%,26.5%,1.52%,0.231%
2026-07-30 04:57:15,0.840%,10.0%,0.00433%,0.915%,0.456%,0.0582%,0.0617%,0.0547%,27.7%,1.49%,0.231%
2026-07-30 04:57:30,0.790%,10.5%,0.00428%,0.865%,0.446%,0.0586%,0.0605%,0.0548%,26.8%,1.47%,0.231%
2026-07-30 04:57:45,0.860%,11.2%,0.00447%,0.860%,0.443%,0.0574%,0.0647%,0.0612%,31.4%,1.45%,0.226%
2026-07-30 04:58:00,0.837%,11.6%,0.00607%,0.843%,0.439%,0.0653%,0.0638%,0.0612%,30.6%,1.44%,0.233%
2026-07-30 04:58:15,0.781%,12.6%,0.00629%,0.840%,0.436%,0.0632%,0.0640%,0.0612%,33.7%,1.41%,0.233%
