"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","nervous_moore","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:57:45,18.3 MiB,8.69 MiB,8.84 MiB,99.2 MiB,,167 MiB,162 MiB,159 MiB,158 MiB,297 MiB,283 MiB,110 MiB
2026-07-30 03:58:00,18.5 MiB,8.94 MiB,8.84 MiB,99.2 MiB,,166 MiB,162 MiB,153 MiB,160 MiB,284 MiB,286 MiB,110 MiB
2026-07-30 03:58:15,18.1 MiB,9.19 MiB,9.08 MiB,99.2 MiB,,168 MiB,165 MiB,157 MiB,160 MiB,284 MiB,291 MiB,110 MiB
2026-07-30 03:58:30,18.1 MiB,8.85 MiB,8.74 MiB,99.0 MiB,,168 MiB,165 MiB,157 MiB,157 MiB,287 MiB,290 MiB,110 MiB
2026-07-30 03:58:45,16.1 MiB,8.82 MiB,9.33 MiB,99.2 MiB,,172 MiB,164 MiB,157 MiB,163 MiB,306 MiB,296 MiB,110 MiB
2026-07-30 03:59:00,18.2 MiB,9.56 MiB,10.5 MiB,99.2 MiB,,167 MiB,162 MiB,155 MiB,161 MiB,299 MiB,297 MiB,88.3 MiB
2026-07-30 03:59:15,18.8 MiB,8.77 MiB,10.5 MiB,99.1 MiB,,163 MiB,162 MiB,162 MiB,160 MiB,304 MiB,306 MiB,88.3 MiB
2026-07-30 03:59:30,20.1 MiB,8.77 MiB,9.06 MiB,99.1 MiB,,164 MiB,164 MiB,157 MiB,166 MiB,311 MiB,303 MiB,88.4 MiB
2026-07-30 03:59:45,23.9 MiB,8.68 MiB,8.63 MiB,99.1 MiB,,165 MiB,165 MiB,163 MiB,164 MiB,296 MiB,303 MiB,94.7 MiB
2026-07-30 04:00:00,23.9 MiB,8.68 MiB,8.63 MiB,99.4 MiB,,164 MiB,164 MiB,156 MiB,164 MiB,296 MiB,300 MiB,94.8 MiB
2026-07-30 04:00:15,19.5 MiB,8.85 MiB,8.74 MiB,99.4 MiB,,164 MiB,163 MiB,158 MiB,160 MiB,307 MiB,305 MiB,154 MiB
2026-07-30 04:00:30,17.5 MiB,8.85 MiB,8.74 MiB,99.4 MiB,,168 MiB,166 MiB,156 MiB,167 MiB,304 MiB,306 MiB,157 MiB
2026-07-30 04:00:45,18.1 MiB,9.03 MiB,8.64 MiB,99.3 MiB,,171 MiB,162 MiB,160 MiB,159 MiB,304 MiB,306 MiB,157 MiB
2026-07-30 04:01:00,17.6 MiB,10.0 MiB,9.28 MiB,99.3 MiB,,172 MiB,164 MiB,166 MiB,160 MiB,311 MiB,309 MiB,157 MiB
2026-07-30 04:01:15,18.3 MiB,8.40 MiB,9.28 MiB,99.3 MiB,,165 MiB,164 MiB,158 MiB,163 MiB,287 MiB,309 MiB,157 MiB
2026-07-30 04:01:30,22.1 MiB,9.10 MiB,8.80 MiB,99.3 MiB,,172 MiB,168 MiB,167 MiB,165 MiB,294 MiB,295 MiB,157 MiB
2026-07-30 04:01:45,17.5 MiB,8.79 MiB,10.1 MiB,99.2 MiB,,173 MiB,168 MiB,167 MiB,165 MiB,294 MiB,295 MiB,157 MiB
2026-07-30 04:02:00,18.9 MiB,8.69 MiB,10.1 MiB,99.2 MiB,,173 MiB,168 MiB,167 MiB,165 MiB,290 MiB,296 MiB,157 MiB
2026-07-30 04:02:15,18.9 MiB,9.26 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,165 MiB,266 MiB,296 MiB,135 MiB
2026-07-30 04:02:30,20.0 MiB,8.89 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,165 MiB,266 MiB,296 MiB,135 MiB
2026-07-30 04:02:45,20.0 MiB,8.80 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,165 MiB,265 MiB,296 MiB,135 MiB
2026-07-30 04:03:00,18.1 MiB,8.89 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,165 MiB,265 MiB,296 MiB,135 MiB
2026-07-30 04:03:15,22.4 MiB,9.02 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,165 MiB,265 MiB,296 MiB,135 MiB
2026-07-30 04:03:30,20.0 MiB,8.86 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,167 MiB,94.9 MiB,265 MiB,257 MiB,135 MiB
2026-07-30 04:03:45,18.4 MiB,8.86 MiB,10.1 MiB,99.2 MiB,,174 MiB,168 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,135 MiB
2026-07-30 04:04:00,18.1 MiB,8.37 MiB,9.29 MiB,99.2 MiB,,174 MiB,164 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,135 MiB
2026-07-30 04:04:15,17.3 MiB,8.37 MiB,9.29 MiB,99.2 MiB,,174 MiB,164 MiB,160 MiB,94.9 MiB,265 MiB,257 MiB,135 MiB
2026-07-30 04:04:30,18.0 MiB,8.30 MiB,9.29 MiB,99.2 MiB,,174 MiB,164 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,115 MiB
2026-07-30 04:04:45,18.3 MiB,8.83 MiB,9.29 MiB,99.2 MiB,,96.0 MiB,164 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,115 MiB
2026-07-30 04:05:00,18.4 MiB,8.41 MiB,9.29 MiB,99.2 MiB,,96.7 MiB,164 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,115 MiB
2026-07-30 04:05:15,19.7 MiB,8.65 MiB,9.29 MiB,99.2 MiB,,97.3 MiB,164 MiB,160 MiB,94.9 MiB,264 MiB,257 MiB,115 MiB
2026-07-30 04:05:30,19.7 MiB,8.35 MiB,9.29 MiB,99.2 MiB,,97.3 MiB,164 MiB,88.1 MiB,91.8 MiB,265 MiB,172 MiB,115 MiB
2026-07-30 04:05:45,22.1 MiB,8.30 MiB,9.29 MiB,99.1 MiB,,97.3 MiB,89.8 MiB,88.1 MiB,91.8 MiB,265 MiB,172 MiB,115 MiB
2026-07-30 04:06:00,19.2 MiB,8.42 MiB,7.80 MiB,99.1 MiB,,97.3 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,173 MiB,115 MiB
2026-07-30 04:06:15,19.2 MiB,8.30 MiB,7.80 MiB,99.1 MiB,,97.3 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,174 MiB,115 MiB
2026-07-30 04:06:30,18.4 MiB,8.50 MiB,7.80 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,174 MiB,113 MiB
2026-07-30 04:06:45,17.5 MiB,8.60 MiB,7.80 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,174 MiB,113 MiB
2026-07-30 04:07:00,17.8 MiB,8.18 MiB,7.80 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,174 MiB,113 MiB
2026-07-30 04:07:15,17.8 MiB,8.42 MiB,7.80 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,264 MiB,174 MiB,113 MiB
2026-07-30 04:07:30,17.2 MiB,8.42 MiB,7.80 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,263 MiB,172 MiB,113 MiB
2026-07-30 04:07:45,17.2 MiB,8.16 MiB,7.68 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.8 MiB,262 MiB,172 MiB,113 MiB
2026-07-30 04:08:00,20.5 MiB,8.31 MiB,7.68 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,113 MiB
2026-07-30 04:08:15,18.0 MiB,8.38 MiB,7.68 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:08:30,21.2 MiB,8.21 MiB,7.68 MiB,99.1 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:08:45,18.1 MiB,8.12 MiB,7.68 MiB,99.6 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:09:00,17.6 MiB,8.26 MiB,7.68 MiB,99.6 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:09:15,17.8 MiB,8.06 MiB,7.68 MiB,99.6 MiB,,94.9 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:09:30,18.6 MiB,7.96 MiB,7.68 MiB,99.6 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:09:45,18.6 MiB,8.16 MiB,7.68 MiB,99.6 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:10:00,17.6 MiB,8.16 MiB,7.68 MiB,99.6 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.2 MiB
2026-07-30 04:10:15,19.5 MiB,8.07 MiB,7.68 MiB,99.6 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,96.4 MiB
2026-07-30 04:10:30,19.5 MiB,8.02 MiB,7.68 MiB,99.6 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,89.6 MiB
2026-07-30 04:10:45,19.5 MiB,8.02 MiB,7.68 MiB,99.2 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,89.6 MiB
2026-07-30 04:11:00,19.0 MiB,7.91 MiB,7.68 MiB,99.2 MiB,,95.6 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.4 MiB
2026-07-30 04:11:15,22.1 MiB,8.10 MiB,7.68 MiB,99.2 MiB,,96.2 MiB,89.8 MiB,88.1 MiB,91.4 MiB,262 MiB,172 MiB,90.4 MiB
2026-07-30 04:11:30,20.2 MiB,8.10 MiB,7.68 MiB,99.2 MiB,,96.2 MiB,89.8 MiB,88.1 MiB,91.4 MiB,261 MiB,172 MiB,92.0 MiB
