"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","nervous_moore","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 04:19:30,22.0 MiB,7.43 MiB,8.23 MiB,99.2 MiB,,150 MiB,149 MiB,146 MiB,150 MiB,271 MiB,270 MiB,95.9 MiB
2026-07-30 04:19:45,18.6 MiB,7.43 MiB,8.30 MiB,99.2 MiB,,149 MiB,149 MiB,150 MiB,150 MiB,271 MiB,279 MiB,95.9 MiB
2026-07-30 04:20:00,21.7 MiB,7.65 MiB,8.30 MiB,99.2 MiB,,150 MiB,150 MiB,149 MiB,150 MiB,272 MiB,275 MiB,96.0 MiB
2026-07-30 04:20:15,19.8 MiB,7.55 MiB,8.85 MiB,99.2 MiB,,151 MiB,150 MiB,147 MiB,150 MiB,271 MiB,273 MiB,96.0 MiB
2026-07-30 04:20:30,19.8 MiB,7.55 MiB,8.01 MiB,99.2 MiB,,151 MiB,149 MiB,149 MiB,154 MiB,274 MiB,274 MiB,95.6 MiB
2026-07-30 04:20:45,17.3 MiB,7.57 MiB,8.84 MiB,99.2 MiB,,151 MiB,149 MiB,148 MiB,150 MiB,272 MiB,272 MiB,81.9 MiB
2026-07-30 04:21:00,17.3 MiB,8.05 MiB,8.46 MiB,99.2 MiB,,151 MiB,150 MiB,148 MiB,150 MiB,273 MiB,272 MiB,84.5 MiB
2026-07-30 04:21:15,18.2 MiB,7.50 MiB,8.46 MiB,99.1 MiB,,159 MiB,150 MiB,149 MiB,148 MiB,273 MiB,273 MiB,84.5 MiB
2026-07-30 04:21:30,21.7 MiB,7.30 MiB,8.59 MiB,99.1 MiB,,159 MiB,157 MiB,149 MiB,154 MiB,275 MiB,273 MiB,84.5 MiB
2026-07-30 04:21:45,20.5 MiB,7.57 MiB,8.03 MiB,99.1 MiB,,152 MiB,151 MiB,150 MiB,153 MiB,267 MiB,269 MiB,84.5 MiB
2026-07-30 04:22:00,17.9 MiB,7.59 MiB,8.07 MiB,99.1 MiB,,152 MiB,153 MiB,149 MiB,152 MiB,268 MiB,269 MiB,84.5 MiB
2026-07-30 04:22:15,17.7 MiB,7.67 MiB,7.91 MiB,99.1 MiB,,151 MiB,159 MiB,152 MiB,154 MiB,276 MiB,269 MiB,90.8 MiB
2026-07-30 04:22:30,18.6 MiB,7.65 MiB,8.22 MiB,99.1 MiB,,159 MiB,167 MiB,162 MiB,163 MiB,282 MiB,273 MiB,89.7 MiB
2026-07-30 04:22:45,18.6 MiB,7.64 MiB,8.22 MiB,99.1 MiB,,166 MiB,164 MiB,162 MiB,163 MiB,287 MiB,287 MiB,89.7 MiB
2026-07-30 04:23:00,19.8 MiB,7.82 MiB,8.29 MiB,99.1 MiB,,165 MiB,165 MiB,162 MiB,164 MiB,287 MiB,289 MiB,96.8 MiB
2026-07-30 04:23:15,23.1 MiB,7.90 MiB,8.12 MiB,99.1 MiB,,165 MiB,165 MiB,162 MiB,167 MiB,292 MiB,293 MiB,97.6 MiB
2026-07-30 04:23:30,16.0 MiB,7.75 MiB,8.12 MiB,99.1 MiB,,169 MiB,167 MiB,162 MiB,168 MiB,296 MiB,295 MiB,105 MiB
2026-07-30 04:23:45,19.4 MiB,8.74 MiB,8.20 MiB,99.1 MiB,,168 MiB,167 MiB,160 MiB,165 MiB,297 MiB,298 MiB,105 MiB
2026-07-30 04:24:00,19.4 MiB,8.10 MiB,8.20 MiB,99.1 MiB,,169 MiB,164 MiB,163 MiB,160 MiB,295 MiB,298 MiB,105 MiB
2026-07-30 04:24:15,21.9 MiB,7.59 MiB,8.05 MiB,99.1 MiB,,168 MiB,164 MiB,163 MiB,165 MiB,295 MiB,300 MiB,105 MiB
2026-07-30 04:24:30,20.0 MiB,8.11 MiB,8.05 MiB,99.1 MiB,,168 MiB,164 MiB,162 MiB,163 MiB,298 MiB,300 MiB,105 MiB
2026-07-30 04:24:45,19.3 MiB,7.80 MiB,8.18 MiB,99.1 MiB,,168 MiB,167 MiB,161 MiB,163 MiB,298 MiB,301 MiB,105 MiB
2026-07-30 04:25:00,19.3 MiB,7.80 MiB,8.18 MiB,99.1 MiB,,171 MiB,165 MiB,162 MiB,166 MiB,306 MiB,298 MiB,105 MiB
2026-07-30 04:25:15,20.9 MiB,7.81 MiB,7.77 MiB,99.1 MiB,,171 MiB,166 MiB,160 MiB,162 MiB,306 MiB,296 MiB,105 MiB
2026-07-30 04:25:30,20.9 MiB,7.84 MiB,7.77 MiB,99.1 MiB,,169 MiB,166 MiB,161 MiB,163 MiB,288 MiB,293 MiB,105 MiB
2026-07-30 04:25:45,21.9 MiB,7.82 MiB,7.85 MiB,99.1 MiB,,169 MiB,166 MiB,161 MiB,163 MiB,291 MiB,297 MiB,105 MiB
2026-07-30 04:26:00,22.3 MiB,7.87 MiB,7.88 MiB,99.1 MiB,,169 MiB,168 MiB,160 MiB,162 MiB,295 MiB,297 MiB,105 MiB
2026-07-30 04:26:15,20.3 MiB,7.76 MiB,7.82 MiB,99.1 MiB,,169 MiB,163 MiB,160 MiB,162 MiB,295 MiB,299 MiB,105 MiB
2026-07-30 04:26:30,17.6 MiB,7.76 MiB,8.32 MiB,99.1 MiB,,165 MiB,167 MiB,159 MiB,165 MiB,295 MiB,299 MiB,96.6 MiB
2026-07-30 04:26:45,19.0 MiB,7.93 MiB,7.98 MiB,99.1 MiB,,170 MiB,163 MiB,163 MiB,166 MiB,297 MiB,300 MiB,96.6 MiB
2026-07-30 04:27:00,19.0 MiB,7.93 MiB,8.18 MiB,99.1 MiB,,171 MiB,166 MiB,160 MiB,166 MiB,297 MiB,300 MiB,96.6 MiB
2026-07-30 04:27:15,22.3 MiB,8.15 MiB,8.54 MiB,99.1 MiB,,174 MiB,166 MiB,161 MiB,167 MiB,300 MiB,306 MiB,96.6 MiB
2026-07-30 04:27:30,21.7 MiB,8.15 MiB,8.16 MiB,99.1 MiB,,172 MiB,172 MiB,163 MiB,163 MiB,301 MiB,306 MiB,96.6 MiB
2026-07-30 04:27:45,17.9 MiB,8.18 MiB,8.18 MiB,99.1 MiB,,171 MiB,164 MiB,161 MiB,168 MiB,301 MiB,306 MiB,96.6 MiB
2026-07-30 04:28:00,19.8 MiB,8.22 MiB,8.29 MiB,99.1 MiB,,185 MiB,166 MiB,173 MiB,168 MiB,311 MiB,315 MiB,96.6 MiB
2026-07-30 04:28:15,19.8 MiB,8.02 MiB,8.32 MiB,99.1 MiB,,172 MiB,167 MiB,162 MiB,167 MiB,287 MiB,293 MiB,99.1 MiB
2026-07-30 04:28:30,15.3 MiB,8.02 MiB,9.05 MiB,99.1 MiB,,176 MiB,168 MiB,166 MiB,167 MiB,292 MiB,298 MiB,99.1 MiB
2026-07-30 04:28:45,15.3 MiB,8.53 MiB,8.48 MiB,99.5 MiB,,175 MiB,171 MiB,169 MiB,170 MiB,292 MiB,298 MiB,98.2 MiB
2026-07-30 04:29:00,19.7 MiB,8.42 MiB,8.09 MiB,99.5 MiB,,187 MiB,172 MiB,167 MiB,170 MiB,295 MiB,301 MiB,98.2 MiB
2026-07-30 04:29:15,22.2 MiB,7.92 MiB,8.21 MiB,99.5 MiB,,173 MiB,170 MiB,164 MiB,168 MiB,299 MiB,303 MiB,98.2 MiB
2026-07-30 04:29:30,20.3 MiB,8.07 MiB,8.21 MiB,99.5 MiB,,173 MiB,170 MiB,168 MiB,163 MiB,299 MiB,315 MiB,98.2 MiB
2026-07-30 04:29:45,18.6 MiB,7.85 MiB,8.89 MiB,99.5 MiB,,170 MiB,169 MiB,168 MiB,167 MiB,324 MiB,316 MiB,98.2 MiB
2026-07-30 04:30:00,20.5 MiB,8.57 MiB,8.89 MiB,99.5 MiB,,181 MiB,171 MiB,163 MiB,166 MiB,324 MiB,305 MiB,98.2 MiB
2026-07-30 04:30:15,19.0 MiB,8.30 MiB,8.49 MiB,99.6 MiB,,173 MiB,166 MiB,162 MiB,167 MiB,294 MiB,304 MiB,98.2 MiB
2026-07-30 04:30:30,18.5 MiB,8.30 MiB,8.51 MiB,99.6 MiB,,173 MiB,166 MiB,162 MiB,164 MiB,301 MiB,304 MiB,105 MiB
2026-07-30 04:30:45,18.8 MiB,8.68 MiB,8.55 MiB,99.6 MiB,,172 MiB,166 MiB,168 MiB,171 MiB,301 MiB,305 MiB,105 MiB
2026-07-30 04:31:00,18.8 MiB,9.08 MiB,8.53 MiB,99.5 MiB,,171 MiB,171 MiB,167 MiB,167 MiB,324 MiB,309 MiB,105 MiB
2026-07-30 04:31:15,19.2 MiB,8.42 MiB,8.40 MiB,99.5 MiB,,181 MiB,172 MiB,167 MiB,167 MiB,299 MiB,310 MiB,105 MiB
2026-07-30 04:31:30,17.9 MiB,8.26 MiB,8.82 MiB,99.5 MiB,,176 MiB,172 MiB,161 MiB,169 MiB,325 MiB,302 MiB,105 MiB
2026-07-30 04:31:45,17.9 MiB,8.61 MiB,8.86 MiB,99.5 MiB,,177 MiB,168 MiB,167 MiB,169 MiB,296 MiB,303 MiB,105 MiB
2026-07-30 04:32:00,17.9 MiB,8.61 MiB,8.53 MiB,99.5 MiB,,178 MiB,176 MiB,170 MiB,172 MiB,314 MiB,305 MiB,105 MiB
2026-07-30 04:32:15,18.8 MiB,8.37 MiB,8.58 MiB,99.5 MiB,,180 MiB,176 MiB,171 MiB,172 MiB,299 MiB,308 MiB,105 MiB
2026-07-30 04:32:30,19.0 MiB,8.70 MiB,8.79 MiB,99.6 MiB,,176 MiB,169 MiB,169 MiB,170 MiB,299 MiB,308 MiB,105 MiB
