"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:44:00,0.722%,19.7%,19.6%,0.590%,63.6%,50.6%,50.2%,59.7%,148%,81.8%,0.205%
2026-07-30 03:44:15,0.713%,20.4%,19.4%,0.595%,61.7%,48.0%,49.6%,60.0%,150%,81.5%,0.210%
2026-07-30 03:44:30,0.708%,19.2%,18.7%,0.613%,58.6%,45.7%,47.1%,56.6%,139%,75.3%,0.191%
2026-07-30 03:44:45,0.770%,18.1%,17.8%,0.649%,55.6%,43.2%,44.7%,53.5%,132%,71.3%,0.197%
2026-07-30 03:45:00,0.765%,17.0%,16.0%,0.648%,52.2%,40.7%,42.3%,50.5%,124%,68.0%,0.203%
2026-07-30 03:45:15,0.738%,16.0%,15.6%,0.679%,49.3%,38.2%,39.7%,47.5%,118%,64.4%,0.189%
2026-07-30 03:45:30,0.773%,14.9%,14.7%,0.688%,45.8%,35.5%,37.0%,42.4%,110%,60.3%,0.223%
2026-07-30 03:45:45,0.780%,14.1%,14.1%,0.664%,43.8%,33.1%,34.5%,42.4%,106%,56.1%,0.225%
2026-07-30 03:46:00,0.807%,13.3%,13.3%,0.716%,40.5%,30.0%,33.5%,40.3%,99.7%,54.0%,0.226%
2026-07-30 03:46:15,0.818%,12.8%,12.6%,0.732%,37.7%,29.8%,31.7%,37.2%,95.1%,51.2%,0.219%
2026-07-30 03:46:30,0.851%,12.2%,12.0%,0.736%,34.5%,29.2%,30.9%,36.8%,89.1%,45.6%,0.218%
2026-07-30 03:46:45,0.836%,11.1%,11.5%,0.757%,34.8%,27.8%,26.5%,33.3%,86.2%,46.3%,0.233%
2026-07-30 03:47:00,0.866%,10.9%,10.7%,0.776%,31.3%,23.2%,28.4%,34.1%,80.7%,44.2%,0.253%
2026-07-30 03:47:15,0.861%,10.2%,9.73%,0.796%,31.0%,25.0%,27.4%,32.4%,73.7%,41.2%,0.252%
2026-07-30 03:47:30,0.870%,9.73%,9.70%,0.781%,27.4%,23.9%,26.2%,29.6%,72.5%,39.2%,0.251%
2026-07-30 03:47:45,0.871%,9.13%,9.06%,0.792%,27.5%,22.1%,23.6%,29.6%,68.1%,36.6%,0.254%
2026-07-30 03:48:00,0.894%,8.47%,8.46%,0.806%,25.7%,21.1%,23.9%,27.9%,55.5%,34.1%,0.260%
2026-07-30 03:48:15,0.904%,7.87%,7.81%,0.824%,23.7%,17.4%,22.7%,26.3%,56.9%,31.4%,0.260%
2026-07-30 03:48:30,0.887%,6.97%,6.83%,0.833%,21.7%,18.0%,21.4%,24.8%,51.9%,28.5%,0.253%
