"Time","busy_dijkstra","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hopeful_dubinsky","loving_gauss","magical_bhabha","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-28 23:33:00,,26.3 MiB,1.05 MiB,1.09 MiB,196 MiB,,,,244 MiB,266 MiB,253 MiB,257 MiB,144 MiB,148 MiB,58.4 MiB
2026-07-28 23:33:15,,26.3 MiB,1.05 MiB,1.09 MiB,196 MiB,,,,262 MiB,220 MiB,269 MiB,257 MiB,136 MiB,141 MiB,58.4 MiB
2026-07-28 23:33:30,,26.3 MiB,1.05 MiB,1.09 MiB,196 MiB,,,,236 MiB,244 MiB,234 MiB,230 MiB,141 MiB,158 MiB,58.4 MiB
2026-07-28 23:33:45,,26.3 MiB,1.05 MiB,1.09 MiB,196 MiB,,,,257 MiB,255 MiB,253 MiB,250 MiB,148 MiB,157 MiB,58.4 MiB
2026-07-28 23:34:00,,26.3 MiB,1.05 MiB,1.09 MiB,196 MiB,,,,251 MiB,247 MiB,253 MiB,250 MiB,128 MiB,138 MiB,58.5 MiB
2026-07-28 23:34:15,,26.3 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,257 MiB,261 MiB,258 MiB,256 MiB,130 MiB,133 MiB,58.5 MiB
2026-07-28 23:34:30,,26.3 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,231 MiB,233 MiB,258 MiB,246 MiB,144 MiB,150 MiB,58.5 MiB
2026-07-28 23:34:45,,26.3 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,256 MiB,233 MiB,244 MiB,254 MiB,142 MiB,149 MiB,58.5 MiB
2026-07-28 23:35:00,,26.3 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,227 MiB,227 MiB,257 MiB,222 MiB,142 MiB,101 MiB,58.5 MiB
2026-07-28 23:35:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,227 MiB,232 MiB,257 MiB,235 MiB,98.1 MiB,114 MiB,58.5 MiB
2026-07-28 23:35:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,248 MiB,230 MiB,223 MiB,236 MiB,122 MiB,130 MiB,58.5 MiB
2026-07-28 23:35:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,239 MiB,247 MiB,246 MiB,240 MiB,114 MiB,122 MiB,58.6 MiB
2026-07-28 23:36:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.6 MiB
2026-07-28 23:36:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.6 MiB
2026-07-28 23:36:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.6 MiB
2026-07-28 23:36:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.6 MiB
2026-07-28 23:37:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.6 MiB
2026-07-28 23:37:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:37:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:37:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:38:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:38:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:38:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.7 MiB
2026-07-28 23:38:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:39:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:39:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:39:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:39:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:40:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.8 MiB
2026-07-28 23:40:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:40:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:40:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:41:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:41:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:41:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:41:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,58.9 MiB
2026-07-28 23:42:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:42:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:42:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:42:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:43:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:43:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.0 MiB
2026-07-28 23:43:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:43:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:44:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:44:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:44:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:44:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.1 MiB
2026-07-28 23:45:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:45:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:45:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:45:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:46:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:46:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.2 MiB
2026-07-28 23:46:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.3 MiB
2026-07-28 23:46:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.3 MiB
2026-07-28 23:47:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.3 MiB
2026-07-28 23:47:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.3 MiB
2026-07-28 23:47:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.3 MiB
2026-07-28 23:47:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:48:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:48:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:48:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:48:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:49:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:49:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.4 MiB
2026-07-28 23:49:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:49:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:50:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:50:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:50:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:50:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:51:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.5 MiB
2026-07-28 23:51:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,234 MiB,235 MiB,234 MiB,108 MiB,115 MiB,59.6 MiB
2026-07-28 23:51:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,233 MiB,236 MiB,238 MiB,234 MiB,108 MiB,115 MiB,59.6 MiB
2026-07-28 23:51:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,237 MiB,236 MiB,239 MiB,110 MiB,113 MiB,59.6 MiB
2026-07-28 23:52:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,237 MiB,243 MiB,242 MiB,107 MiB,113 MiB,59.6 MiB
2026-07-28 23:52:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,236 MiB,243 MiB,234 MiB,104 MiB,112 MiB,59.6 MiB
2026-07-28 23:52:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,236 MiB,238 MiB,235 MiB,101 MiB,110 MiB,59.6 MiB
2026-07-28 23:52:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,205 MiB,207 MiB,238 MiB,208 MiB,91.8 MiB,110 MiB,59.7 MiB
2026-07-28 23:53:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,213 MiB,214 MiB,213 MiB,212 MiB,72.7 MiB,80.3 MiB,59.7 MiB
2026-07-28 23:53:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,213 MiB,220 MiB,220 MiB,220 MiB,76.9 MiB,84.1 MiB,59.7 MiB
2026-07-28 23:53:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,219 MiB,226 MiB,227 MiB,227 MiB,79.9 MiB,84.1 MiB,59.7 MiB
2026-07-28 23:53:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,225 MiB,232 MiB,232 MiB,227 MiB,82.4 MiB,90.2 MiB,59.7 MiB
2026-07-28 23:54:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,226 MiB,226 MiB,226 MiB,225 MiB,79.7 MiB,88.0 MiB,59.8 MiB
2026-07-28 23:54:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,229 MiB,230 MiB,232 MiB,230 MiB,77.9 MiB,85.5 MiB,59.8 MiB
