"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-28 23:18:15,0.248%,,,1.05%,0.124%,0.0850%,0.0955%,0.106%,1.03%,1.04%,0.206%
2026-07-28 23:18:30,0.288%,,,1.13%,0.192%,0.107%,0.107%,0.117%,1.08%,1.05%,0.217%
2026-07-28 23:18:45,0.372%,,,1.14%,0.185%,0.107%,0.0974%,0.116%,1.08%,1.05%,0.243%
2026-07-28 23:19:00,0.423%,,,1.18%,0.185%,0.209%,0.202%,0.220%,1.54%,1.24%,0.236%
2026-07-28 23:19:15,0.464%,,,1.19%,0.319%,0.175%,0.192%,0.206%,1.95%,1.88%,0.274%
2026-07-28 23:19:30,0.503%,,,1.24%,0.344%,0.190%,0.186%,0.211%,2.06%,1.97%,0.285%
2026-07-28 23:19:45,0.489%,,0.00435%,1.29%,0.372%,0.203%,0.197%,0.223%,2.21%,2.22%,0.293%
2026-07-28 23:20:00,0.594%,0.353%,0.299%,1.32%,0.396%,0.286%,0.205%,0.232%,3.79%,2.26%,0.313%
2026-07-28 23:20:15,0.646%,0.512%,0.336%,1.41%,0.771%,0.459%,0.494%,0.455%,4.79%,3.76%,0.314%
2026-07-28 23:20:30,0.707%,0.875%,0.709%,1.49%,0.972%,0.647%,0.514%,0.595%,6.20%,4.16%,0.322%
2026-07-28 23:20:45,0.747%,1.09%,0.648%,1.46%,1.33%,0.670%,0.929%,0.824%,8.28%,5.99%,0.333%
2026-07-28 23:21:00,0.800%,1.50%,1.48%,1.52%,1.59%,1.05%,1.15%,0.904%,10.1%,7.08%,0.345%
2026-07-28 23:21:15,0.809%,1.44%,1.84%,0.891%,1.58%,1.25%,1.37%,1.12%,12.1%,8.07%,0.229%
2026-07-28 23:21:30,0.877%,2.24%,2.22%,0.900%,2.19%,1.45%,1.41%,1.39%,14.3%,9.19%,0.259%
2026-07-28 23:21:45,0.873%,2.62%,2.59%,0.884%,2.47%,1.48%,1.75%,1.49%,16.1%,9.19%,0.254%
2026-07-28 23:22:00,0.897%,2.99%,2.92%,0.798%,2.77%,1.79%,1.97%,1.70%,17.9%,11.3%,0.259%
2026-07-28 23:22:15,0.863%,3.35%,3.28%,0.866%,3.08%,2.03%,2.20%,1.88%,19.7%,12.5%,0.243%
2026-07-28 23:22:30,0.899%,3.70%,3.62%,0.896%,3.30%,2.15%,2.38%,2.01%,19.5%,12.3%,0.241%
2026-07-28 23:22:45,0.886%,4.05%,3.98%,0.902%,3.61%,2.35%,2.41%,2.18%,22.6%,14.6%,0.236%
2026-07-28 23:23:00,0.900%,4.36%,4.28%,0.898%,3.73%,2.52%,2.74%,2.37%,24.2%,13.5%,0.251%
2026-07-28 23:23:15,0.915%,4.74%,4.70%,0.850%,4.07%,2.72%,2.96%,2.52%,26.2%,15.9%,0.256%
2026-07-28 23:23:30,0.911%,5.09%,5.01%,0.804%,4.35%,2.92%,3.15%,2.65%,28.1%,15.9%,0.243%
2026-07-28 23:23:45,0.908%,5.45%,5.38%,0.862%,4.67%,3.09%,3.42%,2.81%,30.0%,18.2%,0.221%
2026-07-28 23:24:00,0.896%,5.81%,5.76%,0.881%,4.97%,3.27%,3.59%,3.04%,31.5%,19.4%,0.227%
2026-07-28 23:24:15,0.899%,6.17%,6.12%,0.862%,5.20%,3.30%,3.76%,3.07%,33.9%,20.5%,0.225%
2026-07-28 23:24:30,0.870%,6.52%,6.46%,0.878%,5.54%,3.69%,4.04%,3.36%,35.8%,20.8%,0.221%
