"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:19:15,0.735%,19.5%,18.7%,0.580%,64.9%,58.7%,59.1%,56.5%,153%,85.4%,0.196%
2026-07-30 01:19:30,0.735%,18.8%,18.1%,0.588%,61.3%,56.2%,55.3%,58.3%,141%,85.4%,0.197%
2026-07-30 01:19:45,0.767%,17.6%,16.9%,0.600%,55.9%,53.1%,52.4%,54.5%,140%,79.4%,0.184%
2026-07-30 01:20:00,0.767%,16.7%,15.1%,0.619%,55.0%,48.3%,49.4%,49.4%,133%,75.1%,0.191%
2026-07-30 01:20:15,0.778%,15.6%,14.9%,0.640%,51.6%,47.3%,46.6%,48.6%,125%,70.8%,0.197%
2026-07-30 01:20:30,0.760%,14.8%,14.1%,0.640%,48.4%,44.6%,43.7%,45.5%,118%,67.7%,0.216%
2026-07-30 01:20:45,0.782%,13.7%,13.1%,0.716%,45.2%,39.8%,40.7%,42.6%,110%,63.4%,0.217%
2026-07-30 01:21:00,0.798%,12.7%,12.7%,0.707%,43.1%,38.7%,39.0%,41.1%,105%,61.3%,0.216%
2026-07-30 01:21:15,0.802%,12.2%,11.6%,0.745%,41.3%,35.6%,36.1%,38.6%,99.4%,56.6%,0.216%
2026-07-30 01:21:30,0.836%,11.4%,10.1%,0.714%,38.2%,36.6%,35.6%,37.4%,95.4%,51.4%,0.219%
2026-07-30 01:21:45,0.845%,10.9%,10.3%,0.762%,37.2%,33.8%,33.1%,36.2%,90.4%,52.2%,0.225%
2026-07-30 01:22:00,0.850%,10.5%,9.97%,0.772%,33.5%,33.8%,31.7%,32.9%,86.9%,49.5%,0.222%
2026-07-30 01:22:15,0.882%,9.77%,8.72%,0.788%,33.6%,31.9%,30.1%,33.0%,82.3%,47.2%,0.226%
2026-07-30 01:22:30,0.880%,8.65%,8.78%,0.757%,32.0%,30.6%,28.3%,31.3%,77.2%,44.3%,0.235%
2026-07-30 01:22:45,0.901%,8.52%,7.45%,0.832%,30.4%,29.0%,26.9%,29.9%,72.6%,41.6%,0.241%
2026-07-30 01:23:00,0.920%,8.06%,7.58%,0.857%,27.0%,27.6%,25.2%,28.6%,67.7%,35.7%,0.239%
2026-07-30 01:23:15,0.944%,6.40%,6.76%,0.857%,26.1%,25.8%,24.0%,26.9%,62.0%,34.5%,0.240%
2026-07-30 01:23:30,0.919%,6.57%,5.88%,0.839%,25.2%,23.9%,20.9%,25.0%,57.2%,32.9%,0.241%
2026-07-30 01:23:45,0.943%,4.75%,4.72%,0.864%,16.1%,23.0%,15.3%,24.1%,52.3%,30.1%,0.246%
2026-07-30 01:24:00,0.963%,5.09%,5.06%,0.869%,17.4%,18.0%,16.6%,18.1%,38.4%,26.0%,0.244%
2026-07-30 01:24:15,0.927%,5.49%,5.46%,0.876%,18.8%,19.5%,17.9%,19.5%,41.3%,23.6%,0.240%
2026-07-30 01:24:30,0.934%,5.88%,5.86%,0.857%,20.2%,21.0%,18.0%,20.6%,44.3%,25.4%,0.237%
