"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:19:15,19.2 MiB,10.4 MiB,9.32 MiB,,116 MiB,181 MiB,170 MiB,181 MiB,172 MiB,315 MiB,307 MiB,96.0 MiB
2026-07-30 01:19:30,19.3 MiB,10.4 MiB,9.32 MiB,,116 MiB,188 MiB,177 MiB,188 MiB,178 MiB,322 MiB,317 MiB,96.1 MiB
2026-07-30 01:19:45,19.6 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,206 MiB,177 MiB,205 MiB,178 MiB,354 MiB,349 MiB,96.1 MiB
2026-07-30 01:20:00,19.6 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,206 MiB,195 MiB,205 MiB,194 MiB,467 MiB,417 MiB,96.2 MiB
2026-07-30 01:20:15,18.8 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,207 MiB,195 MiB,205 MiB,194 MiB,467 MiB,417 MiB,98.1 MiB
2026-07-30 01:20:30,21.0 MiB,13.4 MiB,11.4 MiB,1.17 MiB,116 MiB,210 MiB,196 MiB,207 MiB,196 MiB,472 MiB,465 MiB,108 MiB
2026-07-30 01:20:45,20.4 MiB,14.1 MiB,11.4 MiB,1.17 MiB,116 MiB,212 MiB,196 MiB,207 MiB,196 MiB,472 MiB,470 MiB,108 MiB
2026-07-30 01:21:00,20.1 MiB,14.1 MiB,16.3 MiB,1.17 MiB,116 MiB,222 MiB,196 MiB,218 MiB,202 MiB,408 MiB,404 MiB,108 MiB
2026-07-30 01:21:15,24.7 MiB,17.7 MiB,16.6 MiB,1.17 MiB,116 MiB,222 MiB,207 MiB,218 MiB,209 MiB,415 MiB,404 MiB,108 MiB
2026-07-30 01:21:30,23.5 MiB,18.2 MiB,16.7 MiB,1.17 MiB,116 MiB,222 MiB,215 MiB,227 MiB,213 MiB,418 MiB,412 MiB,111 MiB
2026-07-30 01:21:45,21.0 MiB,18.0 MiB,16.8 MiB,1.17 MiB,116 MiB,230 MiB,215 MiB,227 MiB,220 MiB,419 MiB,413 MiB,111 MiB
2026-07-30 01:22:00,20.9 MiB,17.7 MiB,16.7 MiB,1.17 MiB,116 MiB,230 MiB,233 MiB,236 MiB,220 MiB,427 MiB,419 MiB,113 MiB
2026-07-30 01:22:15,19.9 MiB,18.2 MiB,16.5 MiB,1.17 MiB,116 MiB,256 MiB,235 MiB,248 MiB,235 MiB,443 MiB,444 MiB,113 MiB
2026-07-30 01:22:30,20.5 MiB,18.2 MiB,17.1 MiB,1.17 MiB,116 MiB,254 MiB,243 MiB,248 MiB,242 MiB,444 MiB,443 MiB,113 MiB
2026-07-30 01:22:45,20.8 MiB,17.9 MiB,16.9 MiB,1.17 MiB,116 MiB,259 MiB,246 MiB,256 MiB,247 MiB,448 MiB,444 MiB,113 MiB
2026-07-30 01:23:00,23.9 MiB,18.1 MiB,17.1 MiB,1.17 MiB,116 MiB,259 MiB,258 MiB,262 MiB,261 MiB,475 MiB,453 MiB,113 MiB
2026-07-30 01:23:15,19.3 MiB,18.3 MiB,16.9 MiB,1.17 MiB,116 MiB,271 MiB,261 MiB,272 MiB,262 MiB,475 MiB,453 MiB,113 MiB
2026-07-30 01:23:30,20.7 MiB,18.4 MiB,16.9 MiB,1.17 MiB,116 MiB,281 MiB,264 MiB,272 MiB,269 MiB,473 MiB,469 MiB,113 MiB
2026-07-30 01:23:45,19.5 MiB,17.8 MiB,17.1 MiB,1.17 MiB,116 MiB,281 MiB,271 MiB,283 MiB,278 MiB,474 MiB,471 MiB,113 MiB
2026-07-30 01:24:00,19.5 MiB,7.41 MiB,7.76 MiB,1.17 MiB,116 MiB,302 MiB,281 MiB,293 MiB,286 MiB,491 MiB,471 MiB,113 MiB
2026-07-30 01:24:15,19.5 MiB,7.40 MiB,7.54 MiB,1.17 MiB,116 MiB,117 MiB,117 MiB,117 MiB,289 MiB,180 MiB,492 MiB,113 MiB
2026-07-30 01:24:30,19.4 MiB,7.64 MiB,7.39 MiB,1.17 MiB,116 MiB,119 MiB,123 MiB,117 MiB,119 MiB,182 MiB,184 MiB,113 MiB
2026-07-30 01:24:45,19.4 MiB,7.81 MiB,7.39 MiB,,116 MiB,125 MiB,135 MiB,125 MiB,139 MiB,191 MiB,203 MiB,82.9 MiB
2026-07-30 01:25:00,24.1 MiB,7.81 MiB,7.49 MiB,,116 MiB,138 MiB,141 MiB,138 MiB,139 MiB,207 MiB,207 MiB,83.0 MiB
2026-07-30 01:25:15,24.1 MiB,7.54 MiB,7.41 MiB,,116 MiB,140 MiB,141 MiB,139 MiB,142 MiB,209 MiB,207 MiB,83.0 MiB
2026-07-30 01:25:30,22.7 MiB,7.93 MiB,7.41 MiB,,116 MiB,148 MiB,141 MiB,140 MiB,142 MiB,209 MiB,210 MiB,83.0 MiB
2026-07-30 01:25:45,19.6 MiB,7.70 MiB,7.93 MiB,,116 MiB,148 MiB,140 MiB,142 MiB,143 MiB,217 MiB,219 MiB,85.4 MiB
2026-07-30 01:26:00,23.6 MiB,7.70 MiB,7.58 MiB,,116 MiB,144 MiB,142 MiB,142 MiB,143 MiB,218 MiB,219 MiB,85.4 MiB
2026-07-30 01:26:15,22.8 MiB,7.86 MiB,7.44 MiB,,116 MiB,152 MiB,142 MiB,142 MiB,143 MiB,218 MiB,216 MiB,85.4 MiB
2026-07-30 01:26:30,23.1 MiB,7.63 MiB,8.13 MiB,,116 MiB,161 MiB,153 MiB,142 MiB,155 MiB,242 MiB,232 MiB,85.4 MiB
2026-07-30 01:26:45,20.4 MiB,8 MiB,8.33 MiB,,116 MiB,161 MiB,157 MiB,161 MiB,155 MiB,244 MiB,240 MiB,85.4 MiB
2026-07-30 01:27:00,22.6 MiB,7.81 MiB,7.85 MiB,,116 MiB,162 MiB,158 MiB,160 MiB,159 MiB,250 MiB,240 MiB,84.5 MiB
2026-07-30 01:27:15,19.6 MiB,7.81 MiB,7.75 MiB,,116 MiB,162 MiB,158 MiB,163 MiB,159 MiB,236 MiB,249 MiB,84.6 MiB
2026-07-30 01:27:30,19.6 MiB,8.79 MiB,7.97 MiB,,116 MiB,163 MiB,159 MiB,158 MiB,157 MiB,236 MiB,245 MiB,84.6 MiB
2026-07-30 01:27:45,19.8 MiB,7.92 MiB,8.21 MiB,,116 MiB,166 MiB,157 MiB,158 MiB,157 MiB,245 MiB,245 MiB,97.8 MiB
2026-07-30 01:28:00,21.5 MiB,8.83 MiB,8.27 MiB,,116 MiB,165 MiB,157 MiB,160 MiB,155 MiB,242 MiB,246 MiB,102 MiB
2026-07-30 01:28:15,22.9 MiB,8.37 MiB,8.49 MiB,,116 MiB,165 MiB,156 MiB,160 MiB,154 MiB,242 MiB,248 MiB,102 MiB
2026-07-30 01:28:30,23.1 MiB,8.37 MiB,8.25 MiB,,116 MiB,164 MiB,160 MiB,159 MiB,158 MiB,249 MiB,249 MiB,102 MiB
2026-07-30 01:28:45,19.9 MiB,8.36 MiB,9.06 MiB,,116 MiB,165 MiB,156 MiB,162 MiB,157 MiB,249 MiB,250 MiB,102 MiB
2026-07-30 01:29:00,19.9 MiB,8.49 MiB,8.07 MiB,,116 MiB,165 MiB,156 MiB,162 MiB,156 MiB,260 MiB,253 MiB,102 MiB
2026-07-30 01:29:15,21.6 MiB,8.40 MiB,7.98 MiB,,116 MiB,162 MiB,156 MiB,160 MiB,155 MiB,259 MiB,257 MiB,103 MiB
2026-07-30 01:29:30,21.7 MiB,8.51 MiB,8.32 MiB,,116 MiB,162 MiB,156 MiB,154 MiB,155 MiB,261 MiB,259 MiB,103 MiB
2026-07-30 01:29:45,19.7 MiB,8.04 MiB,8.67 MiB,,117 MiB,165 MiB,159 MiB,158 MiB,156 MiB,259 MiB,259 MiB,107 MiB
2026-07-30 01:30:00,21.3 MiB,8.04 MiB,8.34 MiB,,117 MiB,165 MiB,156 MiB,157 MiB,156 MiB,259 MiB,263 MiB,110 MiB
2026-07-30 01:30:15,21.3 MiB,8.46 MiB,8.23 MiB,,117 MiB,167 MiB,156 MiB,157 MiB,156 MiB,269 MiB,253 MiB,110 MiB
2026-07-30 01:30:30,21.2 MiB,8.46 MiB,8.02 MiB,,117 MiB,163 MiB,158 MiB,158 MiB,154 MiB,269 MiB,255 MiB,110 MiB
2026-07-30 01:30:45,20.8 MiB,7.74 MiB,8.04 MiB,,117 MiB,163 MiB,156 MiB,156 MiB,154 MiB,265 MiB,259 MiB,110 MiB
2026-07-30 01:31:00,19.4 MiB,7.74 MiB,9.45 MiB,,117 MiB,167 MiB,156 MiB,162 MiB,153 MiB,272 MiB,259 MiB,110 MiB
2026-07-30 01:31:15,19.4 MiB,8.58 MiB,9.45 MiB,,117 MiB,165 MiB,165 MiB,159 MiB,158 MiB,272 MiB,263 MiB,110 MiB
2026-07-30 01:31:30,21.4 MiB,8.36 MiB,8.01 MiB,,117 MiB,166 MiB,158 MiB,160 MiB,155 MiB,277 MiB,263 MiB,110 MiB
2026-07-30 01:31:45,21.4 MiB,8.36 MiB,8.72 MiB,,116 MiB,167 MiB,158 MiB,162 MiB,155 MiB,284 MiB,271 MiB,111 MiB
2026-07-30 01:32:00,21.8 MiB,8.67 MiB,8.29 MiB,,116 MiB,165 MiB,158 MiB,162 MiB,158 MiB,284 MiB,273 MiB,111 MiB
2026-07-30 01:32:15,21.8 MiB,8.90 MiB,8.91 MiB,,116 MiB,167 MiB,159 MiB,163 MiB,163 MiB,295 MiB,278 MiB,111 MiB
2026-07-30 01:32:30,22.4 MiB,9.00 MiB,8.72 MiB,,116 MiB,168 MiB,159 MiB,163 MiB,163 MiB,307 MiB,284 MiB,106 MiB
