"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:41:15,19.3 MiB,8.09 MiB,7.10 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,279 MiB,168 MiB,94.4 MiB
2026-07-30 01:41:30,19.3 MiB,8.98 MiB,7.10 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,279 MiB,168 MiB,104 MiB
2026-07-30 01:41:45,16.7 MiB,8.98 MiB,7.10 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,279 MiB,168 MiB,104 MiB
2026-07-30 01:42:00,20.0 MiB,8.51 MiB,7.10 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,279 MiB,168 MiB,104 MiB
2026-07-30 01:42:15,21.4 MiB,8.44 MiB,7.10 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,168 MiB,104 MiB
2026-07-30 01:42:30,21.9 MiB,8.24 MiB,7.10 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,168 MiB,104 MiB
2026-07-30 01:42:45,21.0 MiB,8.34 MiB,7.10 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,167 MiB,104 MiB
2026-07-30 01:43:00,22.2 MiB,8.46 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,168 MiB,104 MiB
2026-07-30 01:43:15,24.7 MiB,8.37 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,168 MiB,104 MiB
2026-07-30 01:43:30,25.2 MiB,8.44 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,168 MiB,105 MiB
2026-07-30 01:43:45,20.9 MiB,8.46 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,169 MiB,105 MiB
2026-07-30 01:44:00,23.8 MiB,8.46 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,105 MiB
2026-07-30 01:44:15,21.5 MiB,8.34 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,105 MiB
2026-07-30 01:44:30,21.5 MiB,8.43 MiB,7.04 MiB,,116 MiB,98.2 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,91.3 MiB
2026-07-30 01:44:45,20.6 MiB,8.38 MiB,7.04 MiB,,116 MiB,98.8 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,91.3 MiB
2026-07-30 01:45:00,20.9 MiB,8.22 MiB,7.04 MiB,,116 MiB,99.4 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,91.4 MiB
2026-07-30 01:45:15,22.5 MiB,8.39 MiB,7.04 MiB,,116 MiB,99.4 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,91.4 MiB
2026-07-30 01:45:30,24.5 MiB,8.44 MiB,7.04 MiB,,116 MiB,100 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,91.4 MiB
2026-07-30 01:45:45,20.5 MiB,8.44 MiB,7.04 MiB,,116 MiB,100 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,93.8 MiB
2026-07-30 01:46:00,20.5 MiB,8.42 MiB,7.04 MiB,,116 MiB,101 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,93.8 MiB
2026-07-30 01:46:15,20.2 MiB,8.30 MiB,7.04 MiB,,116 MiB,101 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,101 MiB
2026-07-30 01:46:30,19.4 MiB,8.32 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,99.7 MiB
2026-07-30 01:46:45,20.4 MiB,8.35 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,99.7 MiB
2026-07-30 01:47:00,21.4 MiB,8.53 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,277 MiB,170 MiB,99.7 MiB
2026-07-30 01:47:15,22.6 MiB,8.41 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:47:30,20.1 MiB,7.91 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:47:45,20.1 MiB,8.23 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:48:00,20.1 MiB,8.46 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:48:15,19.7 MiB,7.96 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:48:30,21.2 MiB,8.18 MiB,7.04 MiB,,116 MiB,102 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,99.8 MiB
2026-07-30 01:48:45,19.4 MiB,8.09 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,89.3 MiB
2026-07-30 01:49:00,23.8 MiB,8.26 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,89.3 MiB
2026-07-30 01:49:15,22.1 MiB,8.04 MiB,7.04 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,90.0 MiB
2026-07-30 01:49:30,22.0 MiB,8.19 MiB,7.04 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,90.8 MiB
2026-07-30 01:49:45,22.0 MiB,8.43 MiB,7.04 MiB,,116 MiB,98.7 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,90.8 MiB
2026-07-30 01:50:00,22.9 MiB,7.83 MiB,7.04 MiB,,116 MiB,99.4 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,90.9 MiB
2026-07-30 01:50:15,19.6 MiB,7.91 MiB,7.04 MiB,,116 MiB,99.4 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,91.1 MiB
2026-07-30 01:50:30,20.8 MiB,8.03 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,170 MiB,91.5 MiB
