"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:09:00,0.719%,22.8%,23.0%,0.631%,21.7%,15.1%,13.9%,15.1%,130%,85.2%,0.205%
2026-07-29 04:09:15,0.742%,21.7%,22.0%,0.600%,20.7%,14.1%,13.0%,14.0%,122%,80.7%,0.205%
2026-07-29 04:09:30,0.781%,20.4%,20.6%,0.629%,19.7%,13.4%,12.4%,13.3%,115%,76.4%,0.192%
2026-07-29 04:09:45,0.767%,19.2%,19.4%,0.629%,18.6%,12.7%,11.8%,12.5%,109%,72.0%,0.185%
2026-07-29 04:10:00,0.744%,18.1%,18.3%,0.654%,17.4%,11.9%,11.1%,11.7%,103%,68.3%,0.191%
2026-07-29 04:10:15,0.771%,16.7%,16.9%,0.667%,16.3%,11.2%,10.3%,11.0%,96.9%,64.0%,0.211%
2026-07-29 04:10:30,0.787%,14.8%,15.9%,0.719%,15.3%,10.4%,9.63%,9.72%,90.7%,60.0%,0.213%
2026-07-29 04:10:45,0.823%,15.0%,15.1%,0.731%,14.5%,9.91%,9.11%,9.75%,86.3%,56.7%,0.214%
2026-07-29 04:11:00,0.816%,13.8%,14.1%,0.744%,13.4%,9.22%,8.41%,9.01%,81.1%,52.9%,0.220%
2026-07-29 04:11:15,0.797%,13.1%,13.3%,0.742%,12.7%,8.63%,8.05%,8.52%,75.1%,49.6%,0.214%
2026-07-29 04:11:30,0.833%,12.1%,12.4%,0.751%,12.1%,8.11%,7.64%,8.01%,71.9%,46.3%,0.221%
2026-07-29 04:11:45,0.839%,11.5%,10.0%,0.722%,11.1%,7.38%,7.21%,7.27%,67.3%,43.1%,0.228%
2026-07-29 04:12:00,0.842%,10.7%,10.5%,0.784%,10.4%,6.94%,6.73%,6.95%,62.9%,38.6%,0.219%
2026-07-29 04:12:15,0.841%,10.0%,10.0%,0.745%,9.71%,6.40%,6.23%,6.38%,58.6%,37.1%,0.234%
2026-07-29 04:12:30,0.839%,9.04%,8.99%,0.814%,8.89%,5.83%,5.79%,5.84%,54.1%,32.0%,0.238%
2026-07-29 04:12:45,0.828%,8.26%,8.38%,0.851%,8.13%,5.19%,5.24%,5.07%,49.9%,30.6%,0.235%
2026-07-29 04:13:00,0.852%,7.13%,7.38%,0.833%,7.28%,4.58%,4.17%,4.78%,39.6%,27.0%,0.244%
2026-07-29 04:13:15,0.822%,6.83%,6.77%,0.859%,6.65%,3.48%,4.27%,4.22%,39.6%,24.5%,0.241%
2026-07-29 04:13:30,0.855%,4.32%,4.28%,0.881%,4.14%,3.45%,2.70%,3.68%,34.8%,15.3%,0.245%
