"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","inspiring_mirzakhani","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:26:00,18.7 MiB,9.38 MiB,8.70 MiB,98.8 MiB,,190 MiB,184 MiB,174 MiB,171 MiB,289 MiB,293 MiB,105 MiB
2026-07-29 04:26:15,19.4 MiB,8.20 MiB,8.70 MiB,98.8 MiB,,178 MiB,171 MiB,174 MiB,178 MiB,286 MiB,290 MiB,105 MiB
2026-07-29 04:26:30,18.2 MiB,8.45 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,287 MiB,290 MiB,111 MiB
2026-07-29 04:26:45,19.4 MiB,8.37 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,287 MiB,290 MiB,111 MiB
2026-07-29 04:27:00,17.9 MiB,8.29 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,264 MiB,291 MiB,111 MiB
2026-07-29 04:27:15,20.7 MiB,8.29 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:27:30,18.1 MiB,7.87 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,265 MiB,291 MiB,113 MiB
2026-07-29 04:27:45,21.6 MiB,7.98 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,265 MiB,291 MiB,113 MiB
2026-07-29 04:28:00,17.1 MiB,8.03 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:28:15,17.1 MiB,8.15 MiB,8.46 MiB,99.0 MiB,,178 MiB,172 MiB,176 MiB,169 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:28:30,18.5 MiB,8.03 MiB,8.46 MiB,99.0 MiB,,178 MiB,147 MiB,137 MiB,141 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:28:45,18.5 MiB,8.06 MiB,8.49 MiB,99.0 MiB,,131 MiB,147 MiB,137 MiB,141 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:29:00,19.7 MiB,8.06 MiB,8.49 MiB,99.0 MiB,,131 MiB,147 MiB,137 MiB,141 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:29:15,17.7 MiB,8.09 MiB,8.49 MiB,99.0 MiB,,132 MiB,147 MiB,137 MiB,141 MiB,265 MiB,291 MiB,111 MiB
2026-07-29 04:29:30,17.6 MiB,8.11 MiB,8.49 MiB,99.0 MiB,,133 MiB,147 MiB,137 MiB,141 MiB,264 MiB,291 MiB,111 MiB
2026-07-29 04:29:45,18.5 MiB,7.87 MiB,8.49 MiB,99.0 MiB,,133 MiB,147 MiB,137 MiB,141 MiB,264 MiB,291 MiB,114 MiB
2026-07-29 04:30:00,19.9 MiB,8.08 MiB,8.49 MiB,99.0 MiB,,133 MiB,147 MiB,137 MiB,141 MiB,264 MiB,291 MiB,99.7 MiB
2026-07-29 04:30:15,19.9 MiB,8.32 MiB,8.49 MiB,98.9 MiB,,133 MiB,147 MiB,137 MiB,141 MiB,264 MiB,291 MiB,99.7 MiB
