"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","inspiring_mirzakhani","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:52:30,18.5 MiB,8.05 MiB,8.14 MiB,99.1 MiB,,182 MiB,166 MiB,174 MiB,171 MiB,305 MiB,307 MiB,100 MiB
2026-07-29 04:52:45,19.1 MiB,7.87 MiB,8.07 MiB,99.1 MiB,,182 MiB,166 MiB,168 MiB,177 MiB,300 MiB,296 MiB,101 MiB
2026-07-29 04:53:00,19.1 MiB,9.07 MiB,8.68 MiB,99.1 MiB,,189 MiB,173 MiB,168 MiB,176 MiB,300 MiB,298 MiB,101 MiB
2026-07-29 04:53:15,21.6 MiB,8.07 MiB,8.50 MiB,99.1 MiB,,190 MiB,177 MiB,190 MiB,183 MiB,297 MiB,298 MiB,101 MiB
2026-07-29 04:53:30,17.5 MiB,9.21 MiB,8.50 MiB,99.1 MiB,,197 MiB,177 MiB,173 MiB,183 MiB,297 MiB,292 MiB,107 MiB
2026-07-29 04:53:45,18.3 MiB,8.88 MiB,9.47 MiB,99.1 MiB,,197 MiB,183 MiB,182 MiB,182 MiB,314 MiB,296 MiB,107 MiB
2026-07-29 04:54:00,16.4 MiB,8.71 MiB,8.57 MiB,99.1 MiB,,185 MiB,183 MiB,180 MiB,171 MiB,300 MiB,296 MiB,108 MiB
2026-07-29 04:54:15,18.1 MiB,8.67 MiB,9.01 MiB,99.1 MiB,,200 MiB,185 MiB,180 MiB,187 MiB,307 MiB,296 MiB,108 MiB
2026-07-29 04:54:30,18.1 MiB,8.60 MiB,8.40 MiB,99.1 MiB,,187 MiB,182 MiB,173 MiB,178 MiB,303 MiB,296 MiB,108 MiB
2026-07-29 04:54:45,18.6 MiB,8.60 MiB,8.64 MiB,99.1 MiB,,187 MiB,182 MiB,179 MiB,178 MiB,320 MiB,306 MiB,108 MiB
2026-07-29 04:55:00,17.7 MiB,8.34 MiB,8.64 MiB,99.1 MiB,,184 MiB,178 MiB,179 MiB,182 MiB,292 MiB,291 MiB,108 MiB
2026-07-29 04:55:15,18.0 MiB,9.16 MiB,8.52 MiB,99.1 MiB,,184 MiB,172 MiB,184 MiB,177 MiB,310 MiB,299 MiB,108 MiB
2026-07-29 04:55:30,17.4 MiB,8.28 MiB,8.52 MiB,99.1 MiB,,184 MiB,180 MiB,184 MiB,174 MiB,298 MiB,298 MiB,108 MiB
2026-07-29 04:55:45,19.1 MiB,8.28 MiB,8.46 MiB,99.1 MiB,,185 MiB,180 MiB,183 MiB,186 MiB,302 MiB,299 MiB,108 MiB
2026-07-29 04:56:00,20.5 MiB,8.89 MiB,8.75 MiB,99.1 MiB,,200 MiB,183 MiB,186 MiB,197 MiB,315 MiB,303 MiB,108 MiB
2026-07-29 04:56:15,20.2 MiB,8.39 MiB,8.95 MiB,99.1 MiB,,180 MiB,179 MiB,189 MiB,185 MiB,315 MiB,307 MiB,89.0 MiB
2026-07-29 04:56:30,20.2 MiB,9.02 MiB,8.60 MiB,99.3 MiB,,202 MiB,183 MiB,189 MiB,184 MiB,321 MiB,309 MiB,93.0 MiB
2026-07-29 04:56:45,19.7 MiB,8.97 MiB,8.82 MiB,99.3 MiB,,182 MiB,173 MiB,169 MiB,184 MiB,312 MiB,309 MiB,93.0 MiB
2026-07-29 04:57:00,21.0 MiB,8.38 MiB,8.88 MiB,99.3 MiB,,197 MiB,173 MiB,169 MiB,179 MiB,314 MiB,301 MiB,93.0 MiB
2026-07-29 04:57:15,17.5 MiB,8.38 MiB,8.82 MiB,99.3 MiB,,187 MiB,171 MiB,173 MiB,180 MiB,302 MiB,303 MiB,93.7 MiB
