"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","heuristic_jennings","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:48:15,20.2 MiB,7.79 MiB,8.00 MiB,116 MiB,,188 MiB,173 MiB,163 MiB,171 MiB,300 MiB,300 MiB,103 MiB
2026-07-29 00:48:30,19.9 MiB,8.14 MiB,8.00 MiB,116 MiB,,188 MiB,177 MiB,168 MiB,173 MiB,300 MiB,300 MiB,103 MiB
2026-07-29 00:48:45,21.2 MiB,8.38 MiB,8.34 MiB,116 MiB,,185 MiB,180 MiB,171 MiB,171 MiB,296 MiB,300 MiB,103 MiB
2026-07-29 00:49:00,22.7 MiB,8.30 MiB,8.20 MiB,116 MiB,,179 MiB,173 MiB,171 MiB,171 MiB,298 MiB,297 MiB,103 MiB
2026-07-29 00:49:15,20.3 MiB,8.18 MiB,8.07 MiB,116 MiB,,180 MiB,173 MiB,171 MiB,175 MiB,298 MiB,297 MiB,103 MiB
2026-07-29 00:49:30,20.8 MiB,8.38 MiB,8.15 MiB,116 MiB,,185 MiB,182 MiB,173 MiB,169 MiB,298 MiB,298 MiB,110 MiB
2026-07-29 00:49:45,23.4 MiB,8.58 MiB,7.91 MiB,116 MiB,,185 MiB,181 MiB,172 MiB,172 MiB,299 MiB,298 MiB,116 MiB
2026-07-29 00:50:00,23.4 MiB,8.58 MiB,7.71 MiB,116 MiB,,184 MiB,177 MiB,178 MiB,171 MiB,298 MiB,298 MiB,116 MiB
2026-07-29 00:50:15,23.3 MiB,8.05 MiB,8.63 MiB,116 MiB,,187 MiB,177 MiB,178 MiB,175 MiB,304 MiB,301 MiB,116 MiB
2026-07-29 00:50:30,21.0 MiB,9.05 MiB,8.63 MiB,116 MiB,,190 MiB,185 MiB,178 MiB,177 MiB,304 MiB,311 MiB,117 MiB
2026-07-29 00:50:45,21.9 MiB,8.36 MiB,8.49 MiB,116 MiB,,184 MiB,183 MiB,170 MiB,181 MiB,319 MiB,295 MiB,117 MiB
2026-07-29 00:51:00,22.4 MiB,8.15 MiB,8.49 MiB,116 MiB,,184 MiB,186 MiB,170 MiB,178 MiB,301 MiB,295 MiB,117 MiB
2026-07-29 00:51:15,22.4 MiB,7.85 MiB,8.06 MiB,116 MiB,,184 MiB,173 MiB,173 MiB,171 MiB,290 MiB,294 MiB,118 MiB
2026-07-29 00:51:30,20.0 MiB,9.20 MiB,8.43 MiB,116 MiB,,197 MiB,186 MiB,180 MiB,180 MiB,290 MiB,292 MiB,118 MiB
2026-07-29 00:51:45,20.3 MiB,8.24 MiB,8.45 MiB,116 MiB,,198 MiB,186 MiB,180 MiB,173 MiB,298 MiB,300 MiB,118 MiB
2026-07-29 00:52:00,20.3 MiB,8.36 MiB,8.25 MiB,116 MiB,,190 MiB,183 MiB,179 MiB,183 MiB,296 MiB,300 MiB,92.3 MiB
2026-07-29 00:52:15,19.7 MiB,7.95 MiB,8.25 MiB,116 MiB,,185 MiB,183 MiB,173 MiB,173 MiB,298 MiB,308 MiB,92.3 MiB
2026-07-29 00:52:30,20.2 MiB,7.95 MiB,8.12 MiB,116 MiB,,184 MiB,170 MiB,179 MiB,168 MiB,305 MiB,308 MiB,92.3 MiB
2026-07-29 00:52:45,24.0 MiB,8.32 MiB,8.99 MiB,116 MiB,,189 MiB,170 MiB,173 MiB,178 MiB,305 MiB,312 MiB,92.3 MiB
2026-07-29 00:53:00,24.0 MiB,8.32 MiB,9.36 MiB,116 MiB,,183 MiB,170 MiB,173 MiB,175 MiB,298 MiB,301 MiB,92.3 MiB
2026-07-29 00:53:15,25.0 MiB,8.58 MiB,9.36 MiB,116 MiB,,201 MiB,184 MiB,188 MiB,184 MiB,300 MiB,301 MiB,92.3 MiB
2026-07-29 00:53:30,25.0 MiB,8.43 MiB,8.57 MiB,116 MiB,,188 MiB,190 MiB,188 MiB,173 MiB,303 MiB,300 MiB,105 MiB
2026-07-29 00:53:45,21.3 MiB,8.71 MiB,8.50 MiB,116 MiB,,197 MiB,190 MiB,176 MiB,180 MiB,303 MiB,304 MiB,105 MiB
2026-07-29 00:54:00,21.0 MiB,8.60 MiB,8.69 MiB,116 MiB,,197 MiB,193 MiB,176 MiB,173 MiB,309 MiB,302 MiB,103 MiB
2026-07-29 00:54:15,24.7 MiB,8.32 MiB,8.36 MiB,116 MiB,,191 MiB,193 MiB,182 MiB,176 MiB,309 MiB,302 MiB,103 MiB
2026-07-29 00:54:30,23.2 MiB,8.55 MiB,8.48 MiB,116 MiB,,194 MiB,182 MiB,177 MiB,176 MiB,311 MiB,308 MiB,104 MiB
2026-07-29 00:54:45,19.5 MiB,9.27 MiB,8.43 MiB,116 MiB,,186 MiB,182 MiB,182 MiB,180 MiB,300 MiB,299 MiB,104 MiB
2026-07-29 00:55:00,19.6 MiB,9.27 MiB,8.86 MiB,116 MiB,,198 MiB,192 MiB,182 MiB,186 MiB,300 MiB,303 MiB,104 MiB
2026-07-29 00:55:15,19.6 MiB,8.89 MiB,8.27 MiB,116 MiB,,190 MiB,182 MiB,180 MiB,186 MiB,303 MiB,304 MiB,104 MiB
