"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","heuristic_jennings","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:27:15,21.1 MiB,8.50 MiB,7.77 MiB,117 MiB,,167 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,89.5 MiB
2026-07-29 00:27:30,21.7 MiB,8.50 MiB,7.77 MiB,116 MiB,,167 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,89.5 MiB
2026-07-29 00:27:45,21.6 MiB,8.28 MiB,7.77 MiB,116 MiB,,167 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,89.5 MiB
2026-07-29 00:28:00,21.6 MiB,8.52 MiB,7.77 MiB,116 MiB,,167 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,89.7 MiB
2026-07-29 00:28:15,19.6 MiB,8.60 MiB,7.77 MiB,116 MiB,,167 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,177 MiB,90.1 MiB
2026-07-29 00:28:30,20.8 MiB,8.60 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,177 MiB,96.4 MiB
2026-07-29 00:28:45,19.4 MiB,8.60 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,96.4 MiB
2026-07-29 00:29:00,20.8 MiB,8.44 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,96.4 MiB
2026-07-29 00:29:15,20.8 MiB,8.56 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.0 MiB
2026-07-29 00:29:30,19.6 MiB,8.75 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.0 MiB
2026-07-29 00:29:45,19.6 MiB,8.41 MiB,7.02 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.1 MiB
2026-07-29 00:30:00,20.7 MiB,8.48 MiB,7.02 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.1 MiB
2026-07-29 00:30:15,20.7 MiB,8.41 MiB,7.02 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.6 MiB
2026-07-29 00:30:30,21.6 MiB,8.21 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,97.6 MiB
2026-07-29 00:30:45,20.7 MiB,8.21 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,104 MiB
2026-07-29 00:31:00,19.9 MiB,8.25 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,104 MiB
2026-07-29 00:31:15,21.7 MiB,8.29 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,104 MiB
2026-07-29 00:31:30,19.7 MiB,8.29 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:31:45,19.7 MiB,8.06 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:32:00,20.5 MiB,8.07 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:32:15,20.5 MiB,8.11 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:32:30,19.5 MiB,8.27 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:32:45,19.5 MiB,8.21 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:33:00,21.5 MiB,8.37 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:33:15,19.9 MiB,8.49 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 00:33:30,20.2 MiB,8.49 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,106 MiB
2026-07-29 00:33:45,20.2 MiB,8.08 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:34:00,19.9 MiB,8.39 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:34:15,20.5 MiB,8.29 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:34:30,23.7 MiB,8.17 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:34:45,20.3 MiB,8.26 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:35:00,21.1 MiB,8.29 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:35:15,23.8 MiB,7.99 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,260 MiB,178 MiB,108 MiB
2026-07-29 00:35:30,21.4 MiB,7.99 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:35:45,22.0 MiB,8.29 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:36:00,21.9 MiB,8.04 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:36:15,20.5 MiB,8.16 MiB,6.84 MiB,116 MiB,,107 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:36:30,20.5 MiB,8.05 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:36:45,20.7 MiB,7.95 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:37:00,24.1 MiB,7.94 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:37:15,24.1 MiB,8.06 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:37:30,16.7 MiB,8.06 MiB,6.84 MiB,116 MiB,,108 MiB,100.0 MiB,97.7 MiB,98.1 MiB,259 MiB,178 MiB,108 MiB
2026-07-29 00:37:45,21.1 MiB,8.15 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,258 MiB,178 MiB,102 MiB
2026-07-29 00:38:00,21.1 MiB,7.95 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,257 MiB,178 MiB,102 MiB
2026-07-29 00:38:15,21.6 MiB,8.17 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,258 MiB,175 MiB,102 MiB
2026-07-29 00:38:30,21.1 MiB,7.84 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,257 MiB,175 MiB,102 MiB
2026-07-29 00:38:45,21.9 MiB,7.90 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,258 MiB,175 MiB,102 MiB
2026-07-29 00:39:00,24.0 MiB,8.00 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,257 MiB,175 MiB,102 MiB
2026-07-29 00:39:15,20.1 MiB,8.00 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,257 MiB,175 MiB,102 MiB
2026-07-29 00:39:30,20.1 MiB,7.93 MiB,6.84 MiB,116 MiB,,109 MiB,100.0 MiB,97.7 MiB,98.1 MiB,257 MiB,175 MiB,102 MiB
