"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:06:45,0.707%,23.6%,23.5%,0.616%,20.1%,14.0%,15.0%,12.4%,131%,84.3%,0.202%
2026-07-29 00:07:00,0.724%,23.3%,23.0%,0.640%,19.1%,13.3%,13.9%,12.2%,128%,81.0%,0.202%
2026-07-29 00:07:15,0.700%,21.8%,21.8%,0.623%,18.2%,12.7%,12.7%,11.6%,121%,77.1%,0.194%
2026-07-29 00:07:30,0.743%,20.6%,20.3%,0.611%,17.3%,12.0%,12.5%,11.0%,115%,72.9%,0.200%
2026-07-29 00:07:45,0.732%,18.6%,18.5%,0.647%,16.3%,11.3%,11.8%,10.4%,108%,69.3%,0.206%
2026-07-29 00:08:00,0.721%,18.3%,18.1%,0.633%,15.2%,10.5%,11.0%,9.76%,102%,65.0%,0.214%
2026-07-29 00:08:15,0.714%,16.1%,17.0%,0.688%,14.3%,9.84%,10.2%,9.16%,95.7%,61.3%,0.219%
2026-07-29 00:08:30,0.732%,16.4%,16.3%,0.716%,13.6%,9.16%,9.77%,8.74%,89.8%,54.5%,0.218%
2026-07-29 00:08:45,0.693%,15.1%,15.0%,0.697%,12.8%,8.76%,9.07%,8.18%,83.5%,54.1%,0.221%
2026-07-29 00:09:00,0.767%,14.6%,14.5%,0.758%,12.1%,7.84%,8.57%,7.75%,80.5%,51.6%,0.227%
2026-07-29 00:09:15,0.780%,13.0%,13.5%,0.718%,11.5%,7.62%,8.05%,7.13%,75.8%,48.6%,0.228%
2026-07-29 00:09:30,0.774%,12.9%,12.9%,0.745%,10.8%,7.43%,7.37%,6.81%,71.7%,44.6%,0.229%
2026-07-29 00:09:45,0.782%,12.1%,11.9%,0.740%,9.81%,6.98%,6.86%,6.48%,64.8%,42.1%,0.230%
