"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 05:45:45,0.746%,23.2%,22.1%,0.586%,19.9%,13.9%,14.9%,13.8%,138%,88.5%,0.203%
2026-07-29 05:46:00,0.769%,21.9%,20.8%,0.604%,18.9%,13.1%,14.7%,13.2%,129%,83.6%,0.209%
2026-07-29 05:46:15,0.796%,20.8%,19.6%,0.577%,18.0%,12.6%,13.7%,12.5%,123%,80.6%,0.221%
2026-07-29 05:46:30,0.780%,19.6%,18.4%,0.635%,17.1%,11.8%,13.0%,11.9%,116%,76.4%,0.221%
2026-07-29 05:46:45,0.765%,18.2%,17.3%,0.653%,16.0%,11.1%,12.2%,11.2%,110%,69.1%,0.210%
2026-07-29 05:47:00,0.776%,16.2%,16.1%,0.684%,15.1%,10.4%,11.5%,10.5%,103%,68.6%,0.215%
2026-07-29 05:47:15,0.774%,15.9%,14.8%,0.715%,14.1%,9.16%,10.7%,9.82%,96.0%,63.9%,0.216%
2026-07-29 05:47:30,0.791%,15.3%,14.2%,0.714%,13.6%,9.14%,10.1%,9.41%,91.8%,59.8%,0.232%
2026-07-29 05:47:45,0.810%,14.8%,13.4%,0.731%,12.8%,8.62%,9.56%,8.88%,86.0%,57.1%,0.218%
2026-07-29 05:48:00,0.814%,13.9%,12.5%,0.718%,12.1%,8.19%,9.08%,8.26%,81.3%,54.1%,0.231%
2026-07-29 05:48:15,0.795%,13.0%,11.9%,0.739%,11.1%,7.73%,8.52%,7.94%,75.8%,49.5%,0.238%
2026-07-29 05:48:30,0.804%,12.3%,10.7%,0.764%,10.7%,7.27%,7.50%,7.34%,68.8%,47.7%,0.239%
2026-07-29 05:48:45,0.827%,11.0%,9.26%,0.789%,10.0%,6.13%,7.46%,6.93%,66.1%,44.4%,0.237%
2026-07-29 05:49:00,0.834%,10.5%,9.39%,0.772%,8.68%,6.25%,6.90%,6.38%,61.4%,41.6%,0.242%
2026-07-29 05:49:15,0.863%,9.65%,8.61%,0.803%,8.63%,5.84%,6.36%,5.91%,56.5%,37.9%,0.247%
2026-07-29 05:49:30,0.886%,8.88%,7.91%,0.822%,8.00%,5.35%,5.12%,4.78%,46.2%,34.5%,0.247%
2026-07-29 05:49:45,0.884%,8.43%,6.99%,0.828%,7.33%,4.36%,5.22%,4.69%,46.3%,31.6%,0.247%
2026-07-29 05:50:00,0.914%,7.00%,6.47%,0.841%,6.67%,4.40%,4.66%,4.30%,36.9%,28.1%,0.232%
2026-07-29 05:50:15,0.932%,6.32%,4.31%,0.846%,6.00%,3.96%,4.06%,3.42%,35.7%,24.7%,0.239%
2026-07-29 05:50:30,0.924%,4.70%,4.69%,0.805%,4.31%,2.82%,3.50%,2.69%,26.7%,20.7%,0.227%
2026-07-29 05:50:45,0.921%,5.06%,5.03%,0.878%,4.62%,2.98%,2.79%,2.88%,28.6%,17.2%,0.229%
2026-07-29 05:51:00,0.902%,5.39%,5.39%,0.844%,4.92%,3.26%,3.01%,3.08%,28.6%,18.6%,0.226%
2026-07-29 05:51:15,0.901%,5.76%,5.78%,0.863%,5.26%,3.47%,3.15%,3.22%,32.6%,19.9%,0.229%
2026-07-29 05:51:30,0.926%,6.12%,6.15%,0.861%,5.57%,3.69%,3.32%,3.48%,34.8%,21.0%,0.244%
2026-07-29 05:51:45,0.920%,6.49%,6.49%,0.839%,5.81%,3.91%,3.57%,3.46%,36.8%,21.5%,0.243%
2026-07-29 05:52:00,0.926%,6.87%,6.84%,0.820%,6.15%,3.98%,3.72%,3.92%,38.7%,22.9%,0.228%
2026-07-29 05:52:15,0.883%,7.02%,7.08%,0.822%,6.18%,4.17%,3.81%,3.92%,38.6%,23.3%,0.226%
2026-07-29 05:52:30,0.917%,6.97%,7.22%,0.817%,6.40%,4.20%,3.86%,4.05%,38.4%,23.3%,0.217%
2026-07-29 05:52:45,0.900%,7.21%,6.92%,0.843%,6.30%,4.10%,3.87%,3.98%,40.0%,23.2%,0.224%
2026-07-29 05:53:00,0.948%,7.05%,7.01%,0.854%,6.09%,4.26%,3.90%,4.06%,37.5%,23.5%,0.223%
2026-07-29 05:53:15,0.945%,7.50%,7.85%,0.818%,6.01%,4.58%,4.25%,3.93%,42.3%,24.4%,0.241%
2026-07-29 05:53:30,0.948%,7.05%,8.13%,0.811%,7.15%,4.80%,4.48%,4.46%,46.0%,26.8%,0.242%
2026-07-29 05:53:45,0.924%,9.42%,9.15%,0.780%,7.64%,5.29%,4.79%,5.00%,50.2%,29.6%,0.246%
2026-07-29 05:54:00,0.934%,10.1%,10.1%,0.791%,8.34%,5.19%,5.19%,5.32%,50.7%,32.8%,0.238%
2026-07-29 05:54:15,0.930%,10.4%,11.0%,0.783%,8.73%,5.73%,5.11%,5.21%,55.8%,31.5%,0.234%
2026-07-29 05:54:30,0.942%,11.4%,11.6%,0.777%,9.27%,6.09%,5.54%,6.01%,58.9%,36.3%,0.234%
2026-07-29 05:54:45,0.934%,12.0%,12.4%,0.779%,9.87%,6.59%,5.97%,6.27%,62.7%,39.3%,0.243%
2026-07-29 05:55:00,0.928%,12.5%,13.1%,0.797%,10.4%,7.02%,6.37%,6.57%,66.8%,38.2%,0.248%
2026-07-29 05:55:15,0.921%,13.4%,13.9%,0.730%,10.6%,7.38%,6.74%,6.85%,69.1%,44.3%,0.256%
2026-07-29 05:55:30,0.963%,14.1%,14.6%,0.727%,11.2%,7.56%,7.02%,7.29%,73.6%,47.0%,0.266%
2026-07-29 05:55:45,0.960%,14.8%,15.0%,0.747%,11.7%,7.70%,7.39%,7.00%,71.1%,44.1%,0.263%
2026-07-29 05:56:00,0.975%,15.1%,15.8%,0.745%,12.3%,8.27%,7.70%,7.85%,79.6%,51.3%,0.259%
2026-07-29 05:56:15,0.966%,15.9%,15.7%,0.728%,12.7%,8.63%,7.99%,8.29%,83.0%,55.2%,0.251%
2026-07-29 05:56:30,0.970%,16.6%,18.0%,0.683%,13.2%,8.95%,8.22%,8.59%,83.1%,55.2%,0.238%
2026-07-29 05:56:45,0.973%,17.1%,18.1%,0.758%,13.8%,9.38%,8.07%,8.69%,91.4%,59.6%,0.244%
2026-07-29 05:57:00,0.974%,17.8%,18.9%,0.737%,14.3%,9.66%,8.88%,9.05%,94.6%,62.0%,0.247%
2026-07-29 05:57:15,0.914%,18.7%,19.7%,0.697%,14.8%,10.0%,9.23%,9.44%,100%,64.7%,0.249%
2026-07-29 05:57:30,0.980%,19.4%,20.5%,0.673%,15.5%,10.5%,9.57%,9.86%,100%,64.9%,0.256%
2026-07-29 05:57:45,0.952%,19.1%,21.4%,0.694%,15.8%,10.5%,9.93%,10.1%,101%,68.4%,0.247%
2026-07-29 05:58:00,0.962%,20.3%,21.6%,0.691%,14.8%,10.2%,9.65%,9.84%,105%,68.7%,0.248%
2026-07-29 05:58:15,0.938%,19.1%,20.0%,0.654%,15.6%,10.3%,9.69%,9.90%,102%,66.4%,0.221%
2026-07-29 05:58:30,0.940%,18.8%,21.0%,0.714%,15.9%,10.6%,9.97%,9.52%,105%,67.4%,0.221%
2026-07-29 05:58:45,0.915%,20.3%,21.2%,0.717%,16.3%,10.8%,10.1%,10.3%,105%,69.4%,0.222%
2026-07-29 05:59:00,0.915%,20.7%,21.6%,0.705%,16.6%,11.1%,10.4%,10.5%,107%,69.3%,0.225%
2026-07-29 05:59:15,0.913%,20.6%,20.1%,0.681%,16.9%,11.3%,10.6%,10.6%,109%,70.0%,0.239%
2026-07-29 05:59:30,0.911%,21.1%,21.9%,0.676%,17.0%,11.5%,10.8%,10.9%,111%,71.4%,0.235%
2026-07-29 05:59:45,0.883%,20.2%,22.0%,0.665%,17.3%,11.8%,10.9%,10.9%,111%,70.4%,0.229%
2026-07-29 06:00:00,0.886%,21.7%,22.4%,0.671%,18.0%,12.1%,11.2%,11.2%,114%,73.7%,0.231%
2026-07-29 06:00:15,0.855%,21.8%,22.6%,0.657%,18.0%,12.3%,11.4%,11.4%,116%,74.4%,0.206%
2026-07-29 06:00:30,0.870%,22.4%,21.4%,0.657%,18.6%,12.5%,11.6%,11.3%,112%,73.2%,0.282%
2026-07-29 06:00:45,0.848%,22.5%,23.2%,0.670%,18.7%,12.6%,11.8%,11.2%,119%,76.7%,0.288%
2026-07-29 06:01:00,0.833%,22.9%,23.6%,0.672%,19.1%,12.9%,12.1%,12.0%,121%,78.0%,0.273%
2026-07-29 06:01:15,0.806%,23.1%,23.5%,0.622%,19.6%,13.1%,12.3%,11.9%,123%,79.4%,0.275%
2026-07-29 06:01:30,0.832%,23.4%,23.8%,0.618%,19.7%,13.4%,12.1%,12.4%,123%,80.0%,0.286%
2026-07-29 06:01:45,0.831%,23.9%,24.3%,0.613%,19.7%,13.7%,12.7%,12.6%,126%,81.4%,0.280%
2026-07-29 06:02:00,0.769%,24.0%,24.5%,0.618%,20.5%,13.1%,12.9%,12.8%,128%,82.5%,0.279%
2026-07-29 06:02:15,0.792%,24.5%,25.0%,0.600%,21.0%,14.2%,13.1%,13.0%,130%,83.5%,0.274%
2026-07-29 06:02:30,0.811%,25.1%,24.9%,0.618%,21.3%,14.3%,12.8%,13.3%,133%,84.7%,0.282%
2026-07-29 06:02:45,0.787%,25.2%,25.2%,0.609%,22.4%,14.5%,13.8%,13.9%,133%,84.9%,0.291%
