"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","musing_curran","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_cartwright"
2026-07-30 06:01:45,18.2 MiB,8.58 MiB,8.18 MiB,98.1 MiB,,169 MiB,172 MiB,164 MiB,157 MiB,290 MiB,279 MiB,119 MiB,
2026-07-30 06:02:00,17.9 MiB,8.23 MiB,8.04 MiB,98.1 MiB,,169 MiB,168 MiB,163 MiB,160 MiB,292 MiB,278 MiB,119 MiB,
2026-07-30 06:02:15,17.6 MiB,8.06 MiB,8.06 MiB,98.1 MiB,,169 MiB,168 MiB,162 MiB,160 MiB,291 MiB,277 MiB,120 MiB,
2026-07-30 06:02:30,18.6 MiB,8.06 MiB,8.06 MiB,98.1 MiB,,169 MiB,170 MiB,164 MiB,161 MiB,295 MiB,277 MiB,108 MiB,
2026-07-30 06:02:45,17.3 MiB,8.40 MiB,8.40 MiB,98.2 MiB,,173 MiB,168 MiB,163 MiB,166 MiB,297 MiB,283 MiB,108 MiB,
2026-07-30 06:03:00,18.6 MiB,8.39 MiB,8.06 MiB,98.2 MiB,,170 MiB,167 MiB,164 MiB,161 MiB,295 MiB,284 MiB,109 MiB,
2026-07-30 06:03:15,17.7 MiB,8.39 MiB,8.06 MiB,98.2 MiB,,170 MiB,166 MiB,163 MiB,161 MiB,295 MiB,284 MiB,112 MiB,
2026-07-30 06:03:30,17.7 MiB,8.43 MiB,7.83 MiB,98.2 MiB,,166 MiB,167 MiB,159 MiB,165 MiB,296 MiB,282 MiB,112 MiB,
2026-07-30 06:03:45,19.8 MiB,8.07 MiB,8.02 MiB,98.2 MiB,,170 MiB,167 MiB,166 MiB,160 MiB,299 MiB,286 MiB,112 MiB,
2026-07-30 06:04:00,18.7 MiB,8.03 MiB,8.64 MiB,98.2 MiB,,169 MiB,167 MiB,164 MiB,163 MiB,300 MiB,286 MiB,112 MiB,
2026-07-30 06:04:15,21.7 MiB,8.13 MiB,8.64 MiB,98.2 MiB,,169 MiB,169 MiB,164 MiB,162 MiB,298 MiB,287 MiB,112 MiB,
2026-07-30 06:04:30,19.7 MiB,8.11 MiB,8.20 MiB,98.2 MiB,,170 MiB,171 MiB,165 MiB,162 MiB,318 MiB,300 MiB,115 MiB,
2026-07-30 06:04:45,21.0 MiB,8.71 MiB,9.39 MiB,98.2 MiB,,179 MiB,173 MiB,165 MiB,167 MiB,318 MiB,284 MiB,115 MiB,
2026-07-30 06:05:00,20.0 MiB,8.59 MiB,7.94 MiB,98.2 MiB,,179 MiB,174 MiB,174 MiB,165 MiB,296 MiB,284 MiB,115 MiB,
2026-07-30 06:05:15,19.2 MiB,8.27 MiB,8.41 MiB,98.2 MiB,,177 MiB,178 MiB,174 MiB,172 MiB,294 MiB,279 MiB,115 MiB,
2026-07-30 06:05:30,20.7 MiB,8.27 MiB,8.56 MiB,98.2 MiB,,172 MiB,173 MiB,165 MiB,167 MiB,297 MiB,285 MiB,115 MiB,
2026-07-30 06:05:45,18.6 MiB,8.73 MiB,8.34 MiB,98.2 MiB,,175 MiB,174 MiB,168 MiB,166 MiB,304 MiB,285 MiB,115 MiB,
2026-07-30 06:06:00,22.9 MiB,8.40 MiB,8.34 MiB,98.2 MiB,,175 MiB,174 MiB,168 MiB,166 MiB,301 MiB,286 MiB,115 MiB,
2026-07-30 06:06:15,22.9 MiB,9.02 MiB,8.73 MiB,98.2 MiB,,175 MiB,177 MiB,168 MiB,167 MiB,301 MiB,301 MiB,115 MiB,
2026-07-30 06:06:30,21.1 MiB,8.83 MiB,8.40 MiB,98.2 MiB,,173 MiB,177 MiB,168 MiB,166 MiB,322 MiB,306 MiB,115 MiB,
2026-07-30 06:06:45,22.3 MiB,9.02 MiB,8.73 MiB,98.2 MiB,,191 MiB,175 MiB,166 MiB,173 MiB,308 MiB,306 MiB,115 MiB,
2026-07-30 06:07:00,22.3 MiB,9.02 MiB,8.41 MiB,98.2 MiB,,176 MiB,174 MiB,165 MiB,163 MiB,299 MiB,288 MiB,115 MiB,
2026-07-30 06:07:15,20.9 MiB,9.10 MiB,9.67 MiB,98.2 MiB,,175 MiB,173 MiB,165 MiB,162 MiB,299 MiB,284 MiB,115 MiB,
2026-07-30 06:07:30,20.9 MiB,8.53 MiB,8.35 MiB,98.2 MiB,,175 MiB,170 MiB,166 MiB,162 MiB,297 MiB,284 MiB,115 MiB,
2026-07-30 06:07:45,15.0 MiB,8.55 MiB,8.35 MiB,98.2 MiB,,174 MiB,171 MiB,166 MiB,165 MiB,307 MiB,291 MiB,115 MiB,
2026-07-30 06:08:00,17.3 MiB,9.54 MiB,8.31 MiB,98.2 MiB,,174 MiB,172 MiB,168 MiB,170 MiB,304 MiB,301 MiB,115 MiB,
2026-07-30 06:08:15,18.5 MiB,9.54 MiB,8.32 MiB,98.2 MiB,,177 MiB,185 MiB,171 MiB,170 MiB,316 MiB,295 MiB,115 MiB,
2026-07-30 06:08:30,18.5 MiB,8.90 MiB,8.09 MiB,98.2 MiB,,177 MiB,185 MiB,171 MiB,167 MiB,300 MiB,295 MiB,106 MiB,
2026-07-30 06:08:45,15.5 MiB,9.42 MiB,8.21 MiB,98.4 MiB,,177 MiB,176 MiB,169 MiB,167 MiB,300 MiB,293 MiB,106 MiB,
2026-07-30 06:09:00,15.5 MiB,9.48 MiB,8.14 MiB,98.4 MiB,,172 MiB,176 MiB,169 MiB,168 MiB,301 MiB,293 MiB,106 MiB,
2026-07-30 06:09:15,18.8 MiB,9.48 MiB,8.14 MiB,98.3 MiB,,183 MiB,177 MiB,174 MiB,168 MiB,320 MiB,293 MiB,106 MiB,
