"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","musing_curran","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_cartwright"
2026-07-30 05:40:00,19.1 MiB,8.81 MiB,9.11 MiB,99.0 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,274 MiB,293 MiB,105 MiB,
2026-07-30 05:40:15,22.9 MiB,8.16 MiB,9.11 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,105 MiB,
2026-07-30 05:40:30,21.0 MiB,8.08 MiB,9.11 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:40:45,18.3 MiB,8.08 MiB,8.80 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:00,19.5 MiB,8.02 MiB,8.80 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:15,19.5 MiB,8.41 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:30,18.3 MiB,8.41 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,85.8 MiB,
2026-07-30 05:41:45,19.8 MiB,8.32 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,85.8 MiB,
2026-07-30 05:42:00,19.6 MiB,8.32 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,92.1 MiB,
2026-07-30 05:42:15,23.0 MiB,8.28 MiB,8.80 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,92.1 MiB,
2026-07-30 05:42:30,19.9 MiB,8.51 MiB,7.43 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,98.4 MiB,
2026-07-30 05:42:45,19.9 MiB,8.51 MiB,7.43 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,98.4 MiB,
2026-07-30 05:43:00,18.3 MiB,8.00 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:15,18.1 MiB,7.86 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:30,18.8 MiB,7.86 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:45,20.8 MiB,8.10 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,101 MiB,
2026-07-30 05:44:00,22.0 MiB,7.83 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,101 MiB,
2026-07-30 05:44:15,19.1 MiB,8.04 MiB,7.46 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,174 MiB,101 MiB,
2026-07-30 05:44:30,18.2 MiB,8.04 MiB,7.21 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,174 MiB,102 MiB,
2026-07-30 05:44:45,18.4 MiB,7.95 MiB,7.21 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,174 MiB,102 MiB,
2026-07-30 05:45:00,17.6 MiB,8.20 MiB,7.21 MiB,99.0 MiB,,97.6 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,174 MiB,102 MiB,
2026-07-30 05:45:15,17.6 MiB,7.83 MiB,7.21 MiB,99.0 MiB,,97.6 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,89.8 MiB,
2026-07-30 05:45:30,19.3 MiB,7.83 MiB,7.21 MiB,99.0 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,93.1 MiB,
2026-07-30 05:45:45,20.0 MiB,8.11 MiB,7.21 MiB,99.0 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,93.9 MiB,
2026-07-30 05:46:00,19.2 MiB,7.83 MiB,7.21 MiB,99.0 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,93.9 MiB,
2026-07-30 05:46:15,18.1 MiB,8.03 MiB,7.24 MiB,99.0 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,174 MiB,94.8 MiB,
2026-07-30 05:46:30,19.6 MiB,8.03 MiB,7.24 MiB,99.0 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,174 MiB,94.9 MiB,
2026-07-30 05:46:45,18.8 MiB,8.03 MiB,7.24 MiB,99 MiB,,98.2 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,94.9 MiB,
2026-07-30 05:47:00,20.5 MiB,8.04 MiB,7.24 MiB,99 MiB,,97.6 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,101 MiB,
2026-07-30 05:47:15,17.7 MiB,8.04 MiB,7.24 MiB,99 MiB,,97.6 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,102 MiB,
2026-07-30 05:47:30,18.5 MiB,8.49 MiB,7.24 MiB,99 MiB,,97.6 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:47:45,19.0 MiB,8.27 MiB,7.24 MiB,99.0 MiB,,98.3 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:48:00,19.0 MiB,7.80 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:48:15,18.8 MiB,7.93 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:48:30,18.9 MiB,7.93 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:48:45,17.5 MiB,7.90 MiB,7.24 MiB,98.9 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:49:00,19.1 MiB,8.15 MiB,7.24 MiB,98.9 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,110 MiB,
2026-07-30 05:49:15,18.4 MiB,7.87 MiB,7.24 MiB,98.9 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:49:30,18.9 MiB,8.13 MiB,7.24 MiB,98.9 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:49:45,17.3 MiB,8.67 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:50:00,17.3 MiB,7.76 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:50:15,19.2 MiB,8.03 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:50:30,19.3 MiB,8.01 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:50:45,19.8 MiB,7.94 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:51:00,18.6 MiB,7.94 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:51:15,19.1 MiB,8.01 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,116 MiB,
2026-07-30 05:51:30,19.9 MiB,8.01 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,87.6 MiB,
2026-07-30 05:51:45,17.8 MiB,7.93 MiB,7.24 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,87.7 MiB,
2026-07-30 05:52:00,18.3 MiB,8.53 MiB,7.27 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,87.8 MiB,
2026-07-30 05:52:15,18.3 MiB,7.77 MiB,7.27 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.5 MiB,271 MiB,175 MiB,88.6 MiB,
2026-07-30 05:52:30,17.4 MiB,7.92 MiB,7.27 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.3 MiB,271 MiB,172 MiB,94.9 MiB,
2026-07-30 05:52:45,18.1 MiB,7.92 MiB,7.27 MiB,99.0 MiB,,98.9 MiB,90.8 MiB,90.6 MiB,88.3 MiB,271 MiB,172 MiB,94.9 MiB,
2026-07-30 05:53:00,18.1 MiB,8.36 MiB,7.27 MiB,99.0 MiB,,98.3 MiB,90.8 MiB,90.6 MiB,88.3 MiB,271 MiB,172 MiB,95.0 MiB,
2026-07-30 05:53:15,23.0 MiB,8.36 MiB,7.27 MiB,99.0 MiB,,98.3 MiB,90.8 MiB,90.6 MiB,88.3 MiB,271 MiB,172 MiB,95.9 MiB,
