"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 05:20:45,0.753%,20.8%,20.3%,0.624%,56.3%,42.9%,44.0%,60.0%,155%,86.8%,0.213%
2026-07-30 05:21:00,0.752%,19.9%,19.7%,0.633%,55.7%,42.8%,43.3%,57.7%,153%,82.4%,0.206%
2026-07-30 05:21:15,0.787%,18.9%,18.9%,0.648%,52.5%,39.7%,40.8%,54.8%,145%,78.1%,0.210%
2026-07-30 05:21:30,0.795%,18.0%,18.0%,0.629%,49.7%,38.0%,38.7%,51.8%,137%,74.0%,0.215%
2026-07-30 05:21:45,0.808%,16.7%,16.4%,0.644%,46.9%,35.6%,35.0%,48.8%,130%,69.6%,0.221%
2026-07-30 05:22:00,0.786%,15.7%,16.0%,0.670%,44.1%,33.5%,34.4%,45.7%,122%,66.1%,0.211%
2026-07-30 05:22:15,0.814%,14.6%,14.9%,0.679%,41.3%,31.4%,32.0%,42.8%,109%,61.9%,0.242%
2026-07-30 05:22:30,0.837%,14.2%,14.0%,0.701%,39.9%,30.4%,29.6%,41.0%,110%,59.1%,0.243%
2026-07-30 05:22:45,0.838%,13.1%,13.6%,0.735%,38.1%,28.1%,29.8%,38.1%,104%,55.6%,0.235%
2026-07-30 05:23:00,0.867%,12.8%,13.2%,0.768%,37.0%,28.2%,28.2%,36.9%,96.8%,52.3%,0.240%
2026-07-30 05:23:15,0.899%,12.3%,12.7%,0.781%,35.3%,28.2%,28.0%,35.4%,93.6%,50.1%,0.250%
2026-07-30 05:23:30,0.904%,11.5%,12.0%,0.735%,33.9%,27.3%,27.5%,33.8%,85.4%,48.5%,0.251%
2026-07-30 05:23:45,0.937%,10.1%,11.4%,0.773%,30.9%,26.6%,26.6%,32.2%,84.3%,44.5%,0.260%
2026-07-30 05:24:00,0.951%,10.2%,10.7%,0.735%,30.8%,25.7%,25.9%,30.2%,78.3%,41.9%,0.256%
2026-07-30 05:24:15,0.911%,9.58%,10.2%,0.790%,30.0%,24.9%,25.3%,27.5%,73.8%,39.5%,0.261%
2026-07-30 05:24:30,0.939%,8.92%,9.46%,0.804%,28.2%,22.6%,24.2%,27.0%,68.9%,36.1%,0.260%
2026-07-30 05:24:45,0.974%,8.33%,8.76%,0.825%,27.0%,23.1%,22.4%,24.9%,61.4%,33.5%,0.262%
2026-07-30 05:25:00,0.986%,7.51%,8.03%,0.786%,25.4%,22.2%,22.4%,21.4%,58.4%,30.8%,0.251%
2026-07-30 05:25:15,0.978%,4.61%,7.61%,0.870%,24.3%,21.5%,20.9%,21.6%,43.9%,27.8%,0.246%
2026-07-30 05:25:30,1.01%,4.99%,5.00%,0.853%,18.7%,17.7%,20.6%,15.5%,46.0%,21.6%,0.260%
2026-07-30 05:25:45,0.959%,5.39%,5.41%,0.864%,20.3%,19.5%,19.0%,17.6%,40.1%,23.4%,0.261%
2026-07-30 05:26:00,0.947%,5.81%,5.81%,0.852%,21.8%,20.5%,20.5%,19.2%,43.2%,25.1%,0.261%
2026-07-30 05:26:15,0.935%,6.15%,6.21%,0.863%,22.9%,22.0%,21.9%,20.3%,46.2%,26.7%,0.261%
