"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:17:30,18.6 MiB,8.03 MiB,8.07 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,285 MiB,187 MiB,91.8 MiB
2026-07-30 03:17:45,18.3 MiB,7.72 MiB,7.27 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,284 MiB,187 MiB,91.8 MiB
2026-07-30 03:18:00,19.1 MiB,7.63 MiB,7.27 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,284 MiB,187 MiB,97.0 MiB
2026-07-30 03:18:15,19.6 MiB,7.63 MiB,7.27 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,284 MiB,187 MiB,97.0 MiB
2026-07-30 03:18:30,20.8 MiB,7.93 MiB,7.27 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,284 MiB,187 MiB,97.0 MiB
2026-07-30 03:18:45,20.8 MiB,7.58 MiB,7.27 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,283 MiB,187 MiB,97.0 MiB
2026-07-30 03:19:00,17.7 MiB,7.94 MiB,7.27 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,283 MiB,187 MiB,103 MiB
2026-07-30 03:19:15,18.6 MiB,7.66 MiB,7.27 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,103 MiB
2026-07-30 03:19:30,18.2 MiB,7.78 MiB,7.14 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,103 MiB
2026-07-30 03:19:45,17.4 MiB,7.90 MiB,7.14 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,283 MiB,187 MiB,103 MiB
2026-07-30 03:20:00,18.9 MiB,7.63 MiB,7.14 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,103 MiB
2026-07-30 03:20:15,18.9 MiB,7.63 MiB,7.14 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,103 MiB
2026-07-30 03:20:30,17.9 MiB,7.34 MiB,7.14 MiB,,99.7 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,108 MiB
2026-07-30 03:20:45,19.5 MiB,7.85 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,108 MiB
2026-07-30 03:21:00,19.5 MiB,7.85 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,115 MiB
2026-07-30 03:21:15,19.7 MiB,7.70 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,121 MiB
2026-07-30 03:21:30,17.1 MiB,8.29 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,127 MiB
2026-07-30 03:21:45,17.8 MiB,7.67 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,127 MiB
2026-07-30 03:22:00,21.7 MiB,8.11 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,127 MiB
2026-07-30 03:22:15,18.8 MiB,7.71 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,187 MiB,128 MiB
2026-07-30 03:22:30,21.9 MiB,8.23 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,128 MiB
2026-07-30 03:22:45,17.6 MiB,8.23 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,128 MiB
2026-07-30 03:23:00,17.0 MiB,8.17 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,128 MiB
2026-07-30 03:23:15,18.8 MiB,7.80 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,129 MiB
2026-07-30 03:23:30,18.8 MiB,7.80 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,92.8 MiB
2026-07-30 03:23:45,17.4 MiB,8.15 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,94.8 MiB
2026-07-30 03:24:00,17.4 MiB,8.03 MiB,7.14 MiB,,99.1 MiB,115 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,101 MiB
2026-07-30 03:24:15,19.2 MiB,8.03 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,101 MiB
2026-07-30 03:24:30,19.6 MiB,7.54 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,101 MiB
2026-07-30 03:24:45,19.6 MiB,7.63 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,101 MiB
2026-07-30 03:25:00,18.3 MiB,7.99 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,101 MiB
2026-07-30 03:25:15,18.3 MiB,7.99 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:25:30,18.6 MiB,8.25 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:25:45,17.1 MiB,8.25 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:26:00,18.4 MiB,8.15 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:26:15,20.1 MiB,7.71 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:26:30,20.1 MiB,7.71 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:26:45,20.0 MiB,8.06 MiB,7.14 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:27:00,17.4 MiB,8.16 MiB,7.14 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:27:15,17.4 MiB,8.16 MiB,7.14 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:27:30,19.1 MiB,8.04 MiB,7.14 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:27:45,19.9 MiB,8.04 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,95.0 MiB
2026-07-30 03:28:00,17.5 MiB,7.81 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,95.3 MiB
2026-07-30 03:28:15,18.9 MiB,7.81 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,102 MiB
2026-07-30 03:28:30,17.9 MiB,7.88 MiB,7.14 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:28:45,17.9 MiB,7.92 MiB,7.14 MiB,,99.2 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,282 MiB,188 MiB,108 MiB
2026-07-30 03:29:00,18.8 MiB,7.57 MiB,8.93 MiB,,99.2 MiB,156 MiB,177 MiB,160 MiB,176 MiB,,282 MiB,191 MiB,108 MiB
2026-07-30 03:29:15,18.9 MiB,7.57 MiB,8.11 MiB,,99.2 MiB,178 MiB,177 MiB,173 MiB,176 MiB,,288 MiB,292 MiB,108 MiB
2026-07-30 03:29:30,21.7 MiB,7.50 MiB,8.11 MiB,,99.2 MiB,178 MiB,178 MiB,174 MiB,176 MiB,,288 MiB,292 MiB,108 MiB
2026-07-30 03:29:45,17.4 MiB,7.68 MiB,8.42 MiB,,99.4 MiB,179 MiB,178 MiB,174 MiB,176 MiB,,288 MiB,293 MiB,108 MiB
2026-07-30 03:30:00,18.7 MiB,7.68 MiB,8.47 MiB,,99.4 MiB,179 MiB,178 MiB,178 MiB,183 MiB,,299 MiB,293 MiB,109 MiB
2026-07-30 03:30:15,17.8 MiB,7.52 MiB,8.47 MiB,,99.5 MiB,183 MiB,180 MiB,176 MiB,179 MiB,,295 MiB,300 MiB,109 MiB
2026-07-30 03:30:30,18.3 MiB,7.49 MiB,8.52 MiB,,99.5 MiB,182 MiB,180 MiB,176 MiB,179 MiB,,295 MiB,300 MiB,109 MiB
2026-07-30 03:30:45,17.5 MiB,7.66 MiB,8.47 MiB,,99.5 MiB,182 MiB,179 MiB,177 MiB,179 MiB,,295 MiB,304 MiB,109 MiB
2026-07-30 03:31:00,19.2 MiB,7.76 MiB,8.46 MiB,,99.5 MiB,182 MiB,183 MiB,176 MiB,184 MiB,,297 MiB,304 MiB,110 MiB
2026-07-30 03:31:15,18.8 MiB,7.54 MiB,8.46 MiB,,99.5 MiB,181 MiB,179 MiB,176 MiB,177 MiB,,297 MiB,307 MiB,110 MiB
2026-07-30 03:31:30,19.0 MiB,7.54 MiB,8.14 MiB,,99.5 MiB,182 MiB,179 MiB,174 MiB,180 MiB,,298 MiB,307 MiB,99.8 MiB
2026-07-30 03:31:45,18.4 MiB,7.67 MiB,7.89 MiB,,99.4 MiB,181 MiB,177 MiB,174 MiB,176 MiB,,299 MiB,307 MiB,100 MiB
2026-07-30 03:32:00,20.1 MiB,7.62 MiB,8.12 MiB,,99.4 MiB,181 MiB,177 MiB,170 MiB,173 MiB,,299 MiB,305 MiB,101 MiB
2026-07-30 03:32:15,17.9 MiB,7.79 MiB,8.18 MiB,,99.4 MiB,174 MiB,171 MiB,168 MiB,170 MiB,,299 MiB,305 MiB,101 MiB
2026-07-30 03:32:30,17.3 MiB,7.77 MiB,8.19 MiB,,99.4 MiB,173 MiB,171 MiB,164 MiB,168 MiB,,299 MiB,305 MiB,101 MiB
2026-07-30 03:32:45,17.8 MiB,7.90 MiB,8.00 MiB,,99.4 MiB,173 MiB,161 MiB,158 MiB,160 MiB,,303 MiB,308 MiB,101 MiB
