"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:41:15,18.5 MiB,8.86 MiB,9.03 MiB,,99.3 MiB,173 MiB,166 MiB,168 MiB,171 MiB,,319 MiB,310 MiB,101 MiB
2026-07-30 03:41:30,18.1 MiB,8.98 MiB,10.3 MiB,,99.3 MiB,175 MiB,167 MiB,170 MiB,168 MiB,,325 MiB,323 MiB,86.7 MiB
2026-07-30 03:41:45,21.7 MiB,8.61 MiB,8.79 MiB,,99.3 MiB,175 MiB,163 MiB,168 MiB,175 MiB,,338 MiB,323 MiB,86.7 MiB
2026-07-30 03:42:00,21.7 MiB,8.61 MiB,8.80 MiB,,99.3 MiB,177 MiB,168 MiB,168 MiB,175 MiB,,303 MiB,309 MiB,86.7 MiB
2026-07-30 03:42:15,17.3 MiB,8.54 MiB,8.43 MiB,,99.3 MiB,174 MiB,168 MiB,171 MiB,174 MiB,,303 MiB,310 MiB,95.2 MiB
2026-07-30 03:42:30,18.0 MiB,8.74 MiB,8.88 MiB,,99.3 MiB,183 MiB,165 MiB,169 MiB,173 MiB,,306 MiB,311 MiB,101 MiB
2026-07-30 03:42:45,21.8 MiB,8.77 MiB,9.13 MiB,,99.3 MiB,183 MiB,168 MiB,169 MiB,174 MiB,,325 MiB,311 MiB,102 MiB
2026-07-30 03:43:00,17.7 MiB,8.44 MiB,8.97 MiB,,99.3 MiB,184 MiB,168 MiB,169 MiB,173 MiB,,312 MiB,317 MiB,102 MiB
2026-07-30 03:43:15,17.6 MiB,8.49 MiB,8.90 MiB,,99.3 MiB,172 MiB,165 MiB,171 MiB,170 MiB,,312 MiB,325 MiB,102 MiB
2026-07-30 03:43:30,19.4 MiB,8.82 MiB,8.73 MiB,,99.3 MiB,189 MiB,165 MiB,171 MiB,174 MiB,,304 MiB,308 MiB,102 MiB
2026-07-30 03:43:45,19.4 MiB,8.61 MiB,8.86 MiB,,99.3 MiB,175 MiB,171 MiB,170 MiB,174 MiB,,308 MiB,311 MiB,102 MiB
2026-07-30 03:44:00,18.4 MiB,8.61 MiB,8.86 MiB,,99.3 MiB,178 MiB,166 MiB,177 MiB,172 MiB,,307 MiB,315 MiB,102 MiB
