"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","distracted_kare","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sweet_jang"
2026-07-29 05:13:15,21.7 MiB,9.44 MiB,8.79 MiB,,98.9 MiB,178 MiB,174 MiB,171 MiB,180 MiB,305 MiB,291 MiB,114 MiB,
2026-07-29 05:13:30,23.5 MiB,8.61 MiB,8.24 MiB,,98.9 MiB,178 MiB,183 MiB,181 MiB,180 MiB,305 MiB,291 MiB,114 MiB,
2026-07-29 05:13:45,17.8 MiB,9.72 MiB,8.82 MiB,,98.9 MiB,182 MiB,183 MiB,183 MiB,180 MiB,312 MiB,293 MiB,114 MiB,
2026-07-29 05:14:00,18.9 MiB,9.72 MiB,8.27 MiB,,98.9 MiB,204 MiB,182 MiB,186 MiB,185 MiB,328 MiB,294 MiB,113 MiB,
2026-07-29 05:14:15,21.6 MiB,8.97 MiB,8.51 MiB,,98.9 MiB,183 MiB,181 MiB,182 MiB,177 MiB,292 MiB,283 MiB,113 MiB,
2026-07-29 05:14:30,21.2 MiB,7.96 MiB,8.67 MiB,,99.0 MiB,198 MiB,181 MiB,181 MiB,183 MiB,292 MiB,287 MiB,113 MiB,
2026-07-29 05:14:45,18.4 MiB,8.29 MiB,8.59 MiB,,99.0 MiB,187 MiB,176 MiB,171 MiB,182 MiB,297 MiB,287 MiB,113 MiB,
2026-07-29 05:15:00,18.6 MiB,8.29 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,298 MiB,287 MiB,113 MiB,
2026-07-29 05:15:15,18.6 MiB,8.06 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,299 MiB,287 MiB,113 MiB,
2026-07-29 05:15:30,19.5 MiB,8.05 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,276 MiB,287 MiB,92.1 MiB,
2026-07-29 05:15:45,18.8 MiB,8.05 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,276 MiB,287 MiB,92.1 MiB,
2026-07-29 05:16:00,17.4 MiB,7.86 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,92.9 MiB,
2026-07-29 05:16:15,20.6 MiB,7.98 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,98.0 MiB,
2026-07-29 05:16:30,20.6 MiB,8.09 MiB,8.59 MiB,,99.0 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:16:45,19.1 MiB,8.21 MiB,8.59 MiB,,99.0 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:17:00,20.4 MiB,8.21 MiB,8.59 MiB,,99.0 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:17:15,18.9 MiB,7.92 MiB,7.68 MiB,,99.1 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,103 MiB,
2026-07-29 05:17:30,19.4 MiB,7.75 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,103 MiB,
2026-07-29 05:17:45,17.7 MiB,8.07 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,288 MiB,103 MiB,
2026-07-29 05:18:00,17.7 MiB,8.16 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,288 MiB,103 MiB,
2026-07-29 05:18:15,17.7 MiB,8.15 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,272 MiB,289 MiB,109 MiB,
2026-07-29 05:18:30,17.7 MiB,8.15 MiB,7.68 MiB,,99.2 MiB,190 MiB,129 MiB,140 MiB,160 MiB,272 MiB,289 MiB,109 MiB,
2026-07-29 05:18:45,18.7 MiB,8.07 MiB,7.68 MiB,,99.2 MiB,190 MiB,99.9 MiB,140 MiB,99.0 MiB,272 MiB,175 MiB,110 MiB,
2026-07-29 05:19:00,21.3 MiB,8.07 MiB,7.69 MiB,,99.2 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,116 MiB,
2026-07-29 05:19:15,17.7 MiB,8.07 MiB,7.13 MiB,,99.2 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,116 MiB,
2026-07-29 05:19:30,18.5 MiB,8.34 MiB,7.13 MiB,,99.1 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,273 MiB,175 MiB,116 MiB,
2026-07-29 05:19:45,19.1 MiB,8.32 MiB,7.13 MiB,,99.1 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,273 MiB,175 MiB,117 MiB,
2026-07-29 05:20:00,20.3 MiB,8.32 MiB,7.13 MiB,,99.1 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,117 MiB,
2026-07-29 05:20:15,19.1 MiB,8.10 MiB,7.13 MiB,,99.1 MiB,113 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,117 MiB,
2026-07-29 05:20:30,19.0 MiB,8.10 MiB,7.13 MiB,,99.1 MiB,113 MiB,99.9 MiB,99.8 MiB,99.0 MiB,271 MiB,175 MiB,117 MiB,
2026-07-29 05:20:45,18.3 MiB,8.23 MiB,7.13 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,271 MiB,172 MiB,117 MiB,
2026-07-29 05:21:00,18.9 MiB,8.23 MiB,7.13 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,271 MiB,172 MiB,117 MiB,
2026-07-29 05:21:15,22.6 MiB,8.01 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,173 MiB,117 MiB,
2026-07-29 05:21:30,22.6 MiB,7.84 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,173 MiB,117 MiB,
2026-07-29 05:21:45,20.5 MiB,7.87 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,173 MiB,96.7 MiB,
2026-07-29 05:22:00,20.5 MiB,8.14 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,173 MiB,104 MiB,
2026-07-29 05:22:15,18.0 MiB,7.75 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,174 MiB,104 MiB,
2026-07-29 05:22:30,21.5 MiB,8.09 MiB,7.01 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99.0 MiB,270 MiB,174 MiB,111 MiB,
2026-07-29 05:22:45,17.8 MiB,8.20 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,173 MiB,111 MiB,
2026-07-29 05:23:00,17.8 MiB,7.82 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,173 MiB,113 MiB,
2026-07-29 05:23:15,18.3 MiB,7.88 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,173 MiB,113 MiB,
2026-07-29 05:23:30,17.7 MiB,7.79 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,113 MiB,
2026-07-29 05:23:45,19.7 MiB,7.82 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,113 MiB,
2026-07-29 05:24:00,21 MiB,7.82 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,113 MiB,
2026-07-29 05:24:15,21 MiB,8.11 MiB,7.04 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,113 MiB,
2026-07-29 05:24:30,20.1 MiB,8.10 MiB,7.04 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,113 MiB,
2026-07-29 05:24:45,19.6 MiB,8.02 MiB,7.07 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,113 MiB,
2026-07-29 05:25:00,19.6 MiB,8.02 MiB,7.07 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,116 MiB,
2026-07-29 05:25:15,19.8 MiB,8.14 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,116 MiB,
2026-07-29 05:25:30,20.1 MiB,8.14 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,271 MiB,175 MiB,116 MiB,
2026-07-29 05:25:45,21.1 MiB,7.88 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,271 MiB,175 MiB,116 MiB,
2026-07-29 05:26:00,19.7 MiB,7.64 MiB,7.01 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,116 MiB,
2026-07-29 05:26:15,15.9 MiB,7.79 MiB,7.01 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,116 MiB,
2026-07-29 05:26:30,18.5 MiB,7.80 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,175 MiB,116 MiB,
2026-07-29 05:26:45,18.5 MiB,8.13 MiB,7.01 MiB,,99.2 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,116 MiB,
2026-07-29 05:27:00,20.7 MiB,7.96 MiB,7.01 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,116 MiB,
2026-07-29 05:27:15,17.8 MiB,7.90 MiB,7.01 MiB,,99.1 MiB,108 MiB,99.9 MiB,99.8 MiB,99 MiB,270 MiB,174 MiB,116 MiB,
