"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","distracted_kare","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sweet_jang"
2026-07-29 05:35:30,18.7 MiB,7.93 MiB,8.29 MiB,,99.1 MiB,180 MiB,170 MiB,178 MiB,166 MiB,302 MiB,289 MiB,96.6 MiB,
2026-07-29 05:35:45,21.8 MiB,7.93 MiB,8.25 MiB,,99.1 MiB,180 MiB,173 MiB,178 MiB,168 MiB,302 MiB,290 MiB,83.1 MiB,
2026-07-29 05:36:00,20.2 MiB,8 MiB,8.07 MiB,,99.1 MiB,179 MiB,173 MiB,168 MiB,171 MiB,310 MiB,296 MiB,83.1 MiB,
2026-07-29 05:36:15,18.7 MiB,7.68 MiB,8.13 MiB,,99.1 MiB,182 MiB,169 MiB,168 MiB,170 MiB,304 MiB,286 MiB,83.1 MiB,
2026-07-29 05:36:30,19.4 MiB,7.68 MiB,8.52 MiB,,99.1 MiB,182 MiB,170 MiB,169 MiB,170 MiB,303 MiB,286 MiB,86.2 MiB,
2026-07-29 05:36:45,20.1 MiB,8.25 MiB,8.62 MiB,,99.1 MiB,178 MiB,176 MiB,175 MiB,180 MiB,303 MiB,287 MiB,86.3 MiB,
2026-07-29 05:37:00,18.0 MiB,8.25 MiB,8.36 MiB,,99.1 MiB,180 MiB,176 MiB,171 MiB,165 MiB,303 MiB,287 MiB,89.7 MiB,
2026-07-29 05:37:15,18.9 MiB,7.78 MiB,8.36 MiB,,99.1 MiB,180 MiB,169 MiB,170 MiB,165 MiB,303 MiB,287 MiB,96.9 MiB,
2026-07-29 05:37:30,21.6 MiB,8.70 MiB,8.34 MiB,,99.2 MiB,183 MiB,174 MiB,174 MiB,178 MiB,308 MiB,293 MiB,96.9 MiB,
2026-07-29 05:37:45,18.6 MiB,8.30 MiB,7.96 MiB,,99.2 MiB,184 MiB,172 MiB,177 MiB,166 MiB,309 MiB,294 MiB,97.6 MiB,
2026-07-29 05:38:00,19.7 MiB,8.18 MiB,7.96 MiB,,99.2 MiB,182 MiB,176 MiB,177 MiB,171 MiB,312 MiB,294 MiB,97.7 MiB,
2026-07-29 05:38:15,19.4 MiB,8.23 MiB,8.03 MiB,,99.2 MiB,182 MiB,178 MiB,171 MiB,171 MiB,312 MiB,299 MiB,97.7 MiB,
2026-07-29 05:38:30,21.1 MiB,7.62 MiB,8.19 MiB,,99.2 MiB,185 MiB,175 MiB,175 MiB,178 MiB,312 MiB,299 MiB,97.7 MiB,
2026-07-29 05:38:45,21.9 MiB,7.84 MiB,8.37 MiB,,99.2 MiB,185 MiB,175 MiB,178 MiB,178 MiB,308 MiB,298 MiB,97.7 MiB,
2026-07-29 05:39:00,17.8 MiB,8.06 MiB,8.53 MiB,,99.1 MiB,180 MiB,167 MiB,178 MiB,171 MiB,315 MiB,298 MiB,97.7 MiB,
2026-07-29 05:39:15,18.9 MiB,8.39 MiB,8.47 MiB,,99.1 MiB,186 MiB,174 MiB,173 MiB,176 MiB,313 MiB,298 MiB,97.7 MiB,
2026-07-29 05:39:30,17.8 MiB,8.25 MiB,8.47 MiB,,99.0 MiB,186 MiB,175 MiB,174 MiB,173 MiB,306 MiB,295 MiB,97.7 MiB,
2026-07-29 05:39:45,19.0 MiB,7.96 MiB,7.95 MiB,,99.0 MiB,181 MiB,175 MiB,174 MiB,172 MiB,306 MiB,296 MiB,97.8 MiB,
2026-07-29 05:40:00,18.4 MiB,7.96 MiB,8.85 MiB,,99.0 MiB,181 MiB,176 MiB,168 MiB,174 MiB,304 MiB,296 MiB,97.8 MiB,
2026-07-29 05:40:15,18.5 MiB,8.09 MiB,8.26 MiB,,99.0 MiB,183 MiB,176 MiB,176 MiB,172 MiB,309 MiB,296 MiB,97.8 MiB,
2026-07-29 05:40:30,18.9 MiB,8.09 MiB,8.43 MiB,,99.0 MiB,176 MiB,173 MiB,166 MiB,168 MiB,308 MiB,297 MiB,97.8 MiB,
2026-07-29 05:40:45,19.0 MiB,8.03 MiB,8.24 MiB,,99.0 MiB,177 MiB,174 MiB,167 MiB,169 MiB,308 MiB,297 MiB,97.8 MiB,
2026-07-29 05:41:00,21.5 MiB,8.68 MiB,8.77 MiB,,99.0 MiB,185 MiB,174 MiB,179 MiB,177 MiB,311 MiB,299 MiB,97.9 MiB,
2026-07-29 05:41:15,21.5 MiB,8.43 MiB,8.40 MiB,,99.0 MiB,184 MiB,182 MiB,181 MiB,178 MiB,311 MiB,299 MiB,98.0 MiB,
2026-07-29 05:41:30,15.3 MiB,8.70 MiB,8.98 MiB,,99.0 MiB,182 MiB,180 MiB,178 MiB,176 MiB,312 MiB,290 MiB,98.0 MiB,
2026-07-29 05:41:45,16.3 MiB,8.55 MiB,8.38 MiB,,99.0 MiB,177 MiB,184 MiB,187 MiB,176 MiB,303 MiB,290 MiB,98.0 MiB,
