"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:57:15,0.716%,23.5%,24.0%,0.606%,23.5%,13.7%,15.0%,15.1%,130%,88.6%,0.189%
2026-07-29 04:57:30,0.744%,23.5%,22.9%,0.605%,22.6%,13.7%,15.1%,14.5%,124%,88.4%,0.188%
2026-07-29 04:57:45,0.712%,22.1%,21.8%,0.606%,21.4%,12.8%,14.2%,13.8%,117%,81.9%,0.189%
2026-07-29 04:58:00,0.760%,20.9%,20.5%,0.632%,20.4%,12.3%,13.5%,13.0%,111%,77.2%,0.198%
2026-07-29 04:58:15,0.773%,19.6%,19.3%,0.597%,19.1%,11.5%,12.8%,11.8%,106%,73.4%,0.202%
2026-07-29 04:58:30,0.777%,18.5%,18.1%,0.661%,18.1%,10.9%,12.0%,11.6%,99.1%,69.1%,0.204%
2026-07-29 04:58:45,0.785%,17.3%,16.8%,0.700%,16.9%,10.3%,11.3%,10.8%,92.5%,65.1%,0.207%
2026-07-29 04:59:00,0.755%,16.3%,15.9%,0.709%,16.1%,9.65%,10.5%,10.1%,86.4%,60.7%,0.196%
2026-07-29 04:59:15,0.782%,15.4%,14.9%,0.732%,15.0%,9.18%,10.1%,9.66%,82.6%,57.7%,0.207%
2026-07-29 04:59:30,0.736%,13.8%,14.1%,0.733%,13.7%,8.61%,9.46%,9.01%,77.5%,53.7%,0.220%
2026-07-29 04:59:45,0.799%,13.8%,13.2%,0.721%,13.1%,8.17%,9.01%,8.40%,73.3%,50.8%,0.223%
2026-07-29 05:00:00,0.816%,13.1%,12.1%,0.751%,12.2%,7.71%,8.50%,7.95%,69.2%,47.8%,0.222%
2026-07-29 05:00:15,0.818%,12.2%,10.7%,0.749%,11.2%,7.24%,7.94%,7.35%,64.4%,42.9%,0.224%
2026-07-29 05:00:30,0.828%,10.3%,10.7%,0.763%,10.0%,6.52%,7.41%,6.82%,60.4%,41.5%,0.224%
2026-07-29 05:00:45,0.833%,10.8%,10.4%,0.800%,9.73%,6.21%,6.95%,6.14%,56.5%,38.2%,0.220%
2026-07-29 05:01:00,0.832%,9.87%,9.38%,0.821%,8.84%,5.76%,6.43%,5.79%,47.4%,35.4%,0.215%
2026-07-29 05:01:15,0.844%,9.22%,8.74%,0.805%,7.81%,5.32%,5.96%,5.24%,45.7%,32.0%,0.203%
2026-07-29 05:01:30,0.888%,8.09%,7.02%,0.777%,7.02%,4.83%,5.41%,4.10%,42.1%,29.0%,0.217%
2026-07-29 05:01:45,0.888%,7.90%,7.24%,0.816%,6.30%,4.18%,4.14%,4.04%,38.6%,25.5%,0.232%
2026-07-29 05:02:00,0.868%,4.68%,4.60%,0.832%,3.89%,3.86%,4.13%,2.60%,26.1%,21.8%,0.241%
2026-07-29 05:02:15,0.881%,5.07%,5.00%,0.837%,4.22%,2.81%,3.01%,2.75%,28.2%,17.2%,0.240%
2026-07-29 05:02:30,0.786%,5.49%,5.40%,0.856%,4.48%,3.00%,3.22%,2.95%,30.2%,18.5%,0.237%
2026-07-29 05:02:45,0.883%,5.86%,5.79%,0.847%,4.75%,2.98%,3.43%,3.17%,32.4%,19.7%,0.235%
2026-07-29 05:03:00,0.920%,6.25%,6.17%,0.851%,5.10%,3.41%,3.66%,3.35%,33.9%,20.0%,0.228%
2026-07-29 05:03:15,0.914%,6.64%,6.55%,0.840%,5.35%,3.39%,3.83%,3.56%,35.8%,22.1%,0.225%
2026-07-29 05:03:30,0.938%,7.02%,6.93%,0.816%,5.70%,3.82%,4.08%,3.78%,37.8%,23.2%,0.225%
2026-07-29 05:03:45,0.962%,7.41%,6.97%,0.793%,5.82%,3.99%,4.07%,3.73%,40.0%,22.6%,0.219%
2026-07-29 05:04:00,0.968%,7.50%,7.38%,0.798%,5.96%,3.96%,4.17%,3.88%,40.0%,23.4%,0.226%
2026-07-29 05:04:15,0.955%,7.64%,7.53%,0.788%,5.73%,4.04%,4.27%,3.99%,39.0%,23.3%,0.224%
2026-07-29 05:04:30,0.952%,7.55%,7.26%,0.830%,5.89%,4.03%,4.11%,3.95%,40.4%,23.8%,0.217%
2026-07-29 05:04:45,0.929%,7.31%,8.11%,0.832%,6.02%,4.27%,4.41%,4.26%,40.4%,26.2%,0.216%
2026-07-29 05:05:00,0.952%,8.88%,8.97%,0.824%,6.71%,4.49%,4.84%,4.53%,47.0%,27.3%,0.213%
2026-07-29 05:05:15,0.954%,9.22%,9.06%,0.779%,6.82%,4.63%,5.21%,4.89%,47.4%,30.5%,0.219%
2026-07-29 05:05:30,0.982%,9.85%,9.82%,0.785%,7.48%,5.16%,5.50%,5.20%,53.4%,30.8%,0.235%
2026-07-29 05:05:45,0.972%,10.7%,10.6%,0.721%,7.98%,5.24%,5.86%,5.42%,56.2%,33.4%,0.237%
2026-07-29 05:06:00,0.973%,11.3%,11.5%,0.771%,7.86%,5.77%,5.74%,5.74%,57.4%,36.4%,0.230%
2026-07-29 05:06:15,0.908%,12.1%,12.5%,0.729%,8.63%,6.05%,6.36%,5.86%,62.5%,39.7%,0.237%
2026-07-29 05:06:30,0.921%,12.6%,12.8%,0.794%,9.18%,5.84%,6.65%,6.36%,61.6%,42.0%,0.224%
2026-07-29 05:06:45,0.948%,13.3%,13.6%,0.780%,9.67%,6.59%,7.16%,6.63%,68.4%,42.9%,0.221%
2026-07-29 05:07:00,0.903%,14.0%,14.5%,0.778%,10.2%,6.97%,7.55%,6.81%,73.3%,45.5%,0.228%
2026-07-29 05:07:15,0.881%,14.3%,15.5%,0.745%,10.6%,7.30%,7.87%,6.76%,76.5%,48.4%,0.229%
2026-07-29 05:07:30,0.942%,15.1%,16.3%,0.744%,11.0%,7.49%,8.17%,7.44%,80.5%,51.2%,0.240%
2026-07-29 05:07:45,0.913%,15.9%,17.1%,0.733%,11.5%,7.96%,8.53%,7.17%,84.4%,52.7%,0.244%
2026-07-29 05:08:00,0.911%,16.7%,17.9%,0.730%,12.0%,8.40%,8.82%,8.13%,85.3%,55.2%,0.242%
2026-07-29 05:08:15,0.839%,17.1%,18.4%,0.715%,12.5%,8.47%,9.24%,8.39%,88.0%,57.4%,0.244%
2026-07-29 05:08:30,0.885%,17.7%,18.8%,0.741%,13.0%,8.82%,9.34%,8.65%,93.7%,60.8%,0.245%
2026-07-29 05:08:45,0.881%,17.8%,19.8%,0.728%,13.1%,9.27%,9.71%,8.96%,96.6%,60.7%,0.242%
2026-07-29 05:09:00,0.870%,19.1%,20.3%,0.728%,14.0%,9.65%,10.2%,9.16%,99.1%,66.4%,0.243%
2026-07-29 05:09:15,0.864%,20.0%,21.6%,0.675%,13.5%,9.67%,10.7%,9.65%,103%,66.5%,0.244%
2026-07-29 05:09:30,0.881%,20.1%,21.3%,0.658%,14.4%,9.80%,10.2%,9.81%,105%,65.9%,0.257%
2026-07-29 05:09:45,0.873%,19.5%,21.0%,0.693%,14.1%,9.81%,10.3%,9.52%,102%,66.7%,0.257%
2026-07-29 05:10:00,0.830%,19.7%,19.8%,0.701%,14.1%,9.81%,10.6%,9.75%,103%,67.0%,0.248%
2026-07-29 05:10:15,0.809%,20.1%,21.3%,0.656%,14.5%,10.0%,10.9%,9.36%,105%,68.0%,0.240%
2026-07-29 05:10:30,0.821%,20.2%,21.7%,0.662%,14.8%,10.3%,11.1%,10.1%,107%,69.0%,0.232%
2026-07-29 05:10:45,0.814%,20.2%,21.6%,0.696%,15.2%,9.55%,10.8%,10.3%,103%,70.1%,0.234%
2026-07-29 05:11:00,0.846%,20.7%,21.8%,0.696%,15.5%,10.7%,11.4%,10.6%,111%,66.9%,0.229%
2026-07-29 05:11:15,0.825%,20.9%,21.2%,0.642%,15.7%,10.4%,11.6%,10.8%,113%,72.3%,0.228%
2026-07-29 05:11:30,0.782%,21.5%,22.5%,0.644%,16.1%,11.1%,11.8%,11.0%,108%,73.7%,0.233%
2026-07-29 05:11:45,0.786%,21.6%,22.6%,0.636%,16.3%,11.2%,12.1%,11.2%,114%,74.5%,0.230%
2026-07-29 05:12:00,0.812%,22.3%,22.7%,0.636%,16.6%,10.6%,12.4%,11.0%,117%,75.8%,0.227%
2026-07-29 05:12:15,0.761%,22.4%,23.1%,0.601%,16.9%,11.6%,12.7%,11.6%,119%,76.2%,0.216%
2026-07-29 05:12:30,0.780%,22.5%,23.2%,0.631%,17.2%,11.9%,12.8%,11.6%,121%,77.8%,0.215%
2026-07-29 05:12:45,0.778%,23.0%,22.1%,0.641%,17.6%,12.1%,13.1%,11.6%,123%,79.0%,0.213%
2026-07-29 05:13:00,0.747%,23.7%,23.9%,0.640%,17.9%,12.3%,12.3%,12.3%,125%,80.0%,0.212%
2026-07-29 05:13:15,0.766%,23.7%,24.0%,0.603%,18.2%,12.5%,13.6%,12.5%,125%,80.8%,0.211%
2026-07-29 05:13:30,0.743%,23.4%,24.3%,0.585%,17.2%,12.8%,13.9%,12.1%,120%,82.0%,0.224%
2026-07-29 05:13:45,0.766%,24.4%,24.7%,0.602%,18.9%,13.0%,14.1%,12.6%,129%,82.5%,0.220%
2026-07-29 05:14:00,0.757%,24.8%,24.9%,0.605%,19.2%,13.3%,14.3%,13.0%,130%,83.8%,0.218%
2026-07-29 05:14:15,0.739%,25.2%,25.6%,0.589%,19.3%,13.8%,14.6%,13.4%,133%,87.0%,0.201%
2026-07-29 05:14:30,0.723%,26.0%,25.8%,0.605%,19.8%,13.4%,15.1%,13.9%,138%,87.0%,0.199%
2026-07-29 05:14:45,0.735%,25.5%,25.5%,0.603%,20.0%,13.6%,14.7%,13.7%,138%,86.0%,0.202%
2026-07-29 05:15:00,0.735%,25.3%,24.6%,0.609%,19.1%,12.9%,14.6%,12.8%,130%,82.1%,0.202%
2026-07-29 05:15:15,0.697%,24.1%,22.5%,0.646%,18.0%,12.8%,13.7%,12.3%,124%,77.6%,0.209%
2026-07-29 05:15:30,0.731%,22.8%,21.4%,0.652%,17.0%,11.0%,12.3%,11.7%,115%,73.3%,0.212%
2026-07-29 05:15:45,0.720%,21.4%,20.0%,0.667%,16.0%,10.8%,12.3%,11.0%,115%,65.0%,0.216%
2026-07-29 05:16:00,0.739%,20.9%,19.5%,0.687%,15.2%,10.7%,11.4%,10.2%,102%,65.0%,0.214%
2026-07-29 05:16:15,0.794%,19.0%,18.4%,0.705%,13.8%,9.84%,10.6%,9.62%,91.4%,60.3%,0.207%
2026-07-29 05:16:30,0.757%,18.1%,16.5%,0.760%,12.5%,8.73%,9.81%,8.85%,94.7%,56.1%,0.209%
2026-07-29 05:16:45,0.794%,16.7%,14.7%,0.768%,11.8%,7.82%,8.45%,8.24%,83.0%,51.5%,0.210%
2026-07-29 05:17:00,0.824%,16.3%,13.9%,0.767%,10.8%,7.51%,7.99%,7.48%,75.9%,47.4%,0.204%
2026-07-29 05:17:15,0.802%,14.6%,12.2%,0.806%,9.87%,6.77%,6.76%,6.75%,73.5%,41.9%,0.209%
2026-07-29 05:17:30,0.818%,14.0%,9.58%,0.773%,8.89%,5.42%,6.53%,5.57%,63.8%,37.6%,0.221%
2026-07-29 05:17:45,0.823%,12.9%,9.51%,0.835%,7.86%,5.39%,4.98%,5.57%,56.5%,31.8%,0.220%
2026-07-29 05:18:00,0.775%,11.4%,7.49%,0.866%,6.81%,4.81%,4.95%,4.52%,52.1%,27.8%,0.223%
2026-07-29 05:18:15,0.838%,10.1%,7.49%,0.854%,4.89%,4.01%,4.05%,3.43%,39.9%,24.1%,0.210%
2026-07-29 05:18:30,0.782%,8.79%,4.76%,0.893%,4.66%,2.71%,3.06%,3.27%,41.4%,18.9%,0.213%
2026-07-29 05:18:45,0.872%,7.16%,3.48%,0.924%,3.80%,2.61%,2.51%,2.53%,34.2%,14.6%,0.211%
2026-07-29 05:19:00,0.860%,7.43%,2.14%,0.953%,2.79%,1.53%,1.65%,1.56%,28.9%,9.26%,0.213%
2026-07-29 05:19:15,0.883%,5.73%,1.03%,0.912%,1.52%,0.392%,0.683%,0.662%,14.9%,4.06%,0.219%
2026-07-29 05:19:30,0.893%,5.28%,0.00281%,0.967%,0.503%,0.397%,0.249%,0.255%,15.4%,1.60%,0.206%
2026-07-29 05:19:45,0.900%,5.33%,0.00292%,0.951%,0.502%,0.251%,0.251%,0.255%,14.7%,1.60%,0.228%
2026-07-29 05:20:00,0.917%,4.98%,0.00290%,0.958%,0.500%,0.251%,0.251%,0.242%,14.8%,1.61%,0.225%
2026-07-29 05:20:15,0.914%,5.74%,0.00299%,0.948%,0.499%,0.257%,0.249%,0.255%,16.2%,1.60%,0.224%
2026-07-29 05:20:30,0.929%,6.26%,0.00281%,0.953%,0.497%,0.256%,0.247%,0.254%,17.6%,1.58%,0.223%
2026-07-29 05:20:45,0.931%,6.63%,0.00341%,0.960%,0.494%,0.245%,0.249%,0.255%,18.7%,1.51%,0.230%
2026-07-29 05:21:00,0.904%,6.40%,0.00325%,0.954%,0.492%,0.257%,0.248%,0.254%,20.5%,1.52%,0.227%
2026-07-29 05:21:15,0.890%,7.69%,0.00331%,0.873%,0.488%,0.255%,0.246%,0.247%,21.5%,1.55%,0.227%
2026-07-29 05:21:30,0.890%,8.39%,0.00340%,0.911%,0.480%,0.242%,0.234%,0.245%,23.7%,1.45%,0.230%
2026-07-29 05:21:45,0.888%,8.76%,0.00266%,0.895%,0.480%,0.241%,0.232%,0.244%,25.3%,1.50%,0.237%
2026-07-29 05:22:00,0.895%,9.36%,0.00244%,0.844%,0.459%,0.240%,0.231%,0.242%,26.2%,1.48%,0.242%
2026-07-29 05:22:15,0.866%,10.00%,0.00248%,0.833%,0.475%,0.239%,0.230%,0.240%,28.1%,1.46%,0.234%
2026-07-29 05:22:30,0.889%,10.6%,0.00241%,0.860%,0.471%,0.236%,0.227%,0.240%,30.1%,1.44%,0.232%
2026-07-29 05:22:45,0.873%,11.2%,0.00394%,0.859%,0.471%,0.240%,0.221%,0.237%,31.7%,1.37%,0.228%
2026-07-29 05:23:00,0.870%,11.8%,0.00405%,0.853%,0.469%,0.230%,0.227%,0.233%,33.3%,1.41%,0.228%
2026-07-29 05:23:15,0.865%,12.5%,0.00405%,0.833%,0.452%,0.238%,0.216%,0.240%,34.1%,1.33%,0.225%
2026-07-29 05:23:30,0.891%,12.7%,0.00312%,0.814%,0.459%,0.228%,0.223%,0.228%,35.8%,1.35%,0.229%
2026-07-29 05:23:45,0.891%,13.6%,0.00295%,0.805%,0.459%,0.227%,0.218%,0.225%,38.3%,1.33%,0.235%
2026-07-29 05:24:00,0.878%,13.1%,0.00289%,0.781%,0.438%,0.227%,0.217%,0.225%,38.3%,1.31%,0.236%
2026-07-29 05:24:15,0.839%,14.3%,0.00292%,0.773%,0.460%,0.226%,0.209%,0.200%,40.1%,1.29%,0.217%
2026-07-29 05:24:30,0.852%,14.8%,0.00282%,0.782%,0.457%,0.224%,0.214%,0.222%,43.0%,1.26%,0.226%
2026-07-29 05:24:45,0.877%,15.4%,0.00446%,0.794%,0.463%,0.229%,0.211%,0.198%,41.7%,1.27%,0.232%
2026-07-29 05:25:00,0.834%,15.0%,0.00430%,0.788%,0.462%,0.228%,0.215%,0.221%,44.6%,1.24%,0.230%
2026-07-29 05:25:15,0.849%,15.5%,0.00444%,0.780%,0.461%,0.220%,0.216%,0.223%,43.1%,1.27%,0.230%
2026-07-29 05:25:30,0.852%,15.5%,0.00374%,0.774%,0.456%,0.217%,0.212%,0.220%,44.6%,1.25%,0.217%
2026-07-29 05:25:45,0.861%,15.4%,0.00392%,0.762%,0.449%,0.220%,0.209%,0.213%,44.6%,1.19%,0.227%
2026-07-29 05:26:00,0.873%,16.6%,0.00382%,0.728%,0.443%,0.218%,0.206%,0.214%,46.0%,1.23%,0.227%
2026-07-29 05:26:15,0.851%,17.1%,0.00370%,0.741%,0.434%,0.215%,0.203%,0.210%,47.3%,1.22%,0.217%
2026-07-29 05:26:30,0.875%,17.5%,0.00388%,0.778%,0.426%,0.212%,0.199%,0.207%,48.7%,1.21%,0.210%
2026-07-29 05:26:45,0.880%,17.9%,0.00421%,0.733%,0.426%,0.204%,0.201%,0.209%,50.1%,1.21%,0.209%
2026-07-29 05:27:00,0.859%,18.5%,0.00434%,0.773%,0.419%,0.201%,0.198%,0.206%,51.3%,1.20%,0.207%
2026-07-29 05:27:15,0.853%,19.1%,0.00430%,0.762%,0.410%,0.207%,0.196%,0.203%,51.5%,1.19%,0.213%
2026-07-29 05:27:30,0.851%,19.6%,0.00276%,0.748%,0.384%,0.196%,0.190%,0.200%,53.1%,1.18%,0.216%
2026-07-29 05:27:45,0.828%,20.0%,0.00272%,0.733%,0.395%,0.186%,0.188%,0.192%,54.2%,1.16%,0.227%
2026-07-29 05:28:00,0.859%,19.1%,0.00291%,0.735%,0.384%,0.192%,0.185%,0.188%,55.3%,1.11%,0.222%
2026-07-29 05:28:15,0.824%,20.8%,0.00275%,0.723%,0.382%,0.188%,0.183%,0.185%,57.0%,1.15%,0.226%
2026-07-29 05:28:30,0.837%,21.3%,0.00277%,0.756%,0.373%,0.184%,0.180%,0.184%,58.1%,1.08%,0.217%
2026-07-29 05:28:45,0.823%,21.8%,0.00359%,0.728%,0.331%,0.185%,0.180%,0.186%,54.7%,1.13%,0.213%
2026-07-29 05:29:00,0.881%,22.0%,0.00398%,0.755%,0.365%,0.176%,0.176%,0.182%,59.7%,1.12%,0.214%
2026-07-29 05:29:15,0.870%,22.6%,0.00379%,0.734%,0.357%,0.181%,0.175%,0.180%,57.7%,1.11%,0.208%
2026-07-29 05:29:30,0.831%,23.0%,0.00215%,0.707%,0.344%,0.164%,0.173%,0.168%,63.0%,1.10%,0.206%
2026-07-29 05:29:45,0.830%,23.4%,0.00211%,0.692%,0.339%,0.169%,0.168%,0.173%,63.1%,1.09%,0.220%
2026-07-29 05:30:00,0.835%,24.3%,0.00209%,0.679%,0.332%,0.157%,0.156%,0.168%,66.4%,1.06%,0.223%
2026-07-29 05:30:15,0.830%,24.5%,0.00217%,0.674%,0.329%,0.163%,0.163%,0.170%,66.4%,1.05%,0.213%
2026-07-29 05:30:30,0.832%,23.5%,0.00207%,0.722%,0.489%,0.183%,0.165%,0.299%,63.5%,0.956%,0.218%
2026-07-29 05:30:45,0.847%,22.3%,0.308%,0.729%,0.704%,0.445%,0.343%,0.298%,61.9%,3.02%,0.217%
2026-07-29 05:31:00,0.839%,21.4%,0.695%,0.746%,1.05%,0.680%,0.674%,0.558%,61.7%,3.16%,0.214%
2026-07-29 05:31:15,0.854%,20.5%,1.10%,0.710%,1.06%,0.706%,0.850%,0.736%,59.4%,4.78%,0.225%
2026-07-29 05:31:30,0.842%,20.2%,1.43%,0.731%,1.65%,1.04%,1.12%,0.910%,58.1%,5.80%,0.226%
2026-07-29 05:31:45,0.869%,19.1%,1.87%,0.728%,1.79%,1.20%,1.32%,1.15%,56.6%,7.86%,0.233%
2026-07-29 05:32:00,0.851%,17.6%,2.13%,0.695%,1.80%,1.37%,1.33%,1.37%,55.9%,8.85%,0.232%
2026-07-29 05:32:15,0.813%,16.9%,2.49%,0.740%,2.47%,1.58%,1.65%,1.56%,54.9%,10.4%,0.231%
2026-07-29 05:32:30,0.834%,15.7%,2.79%,0.755%,2.57%,1.84%,1.93%,1.78%,53.5%,11.6%,0.229%
2026-07-29 05:32:45,0.852%,14.8%,3.05%,0.789%,2.93%,2.00%,2.15%,1.95%,52.2%,12.7%,0.218%
2026-07-29 05:33:00,0.866%,13.9%,3.47%,0.805%,2.87%,2.01%,2.33%,2.18%,50.7%,13.3%,0.220%
2026-07-29 05:33:15,0.852%,13.4%,3.81%,0.768%,3.54%,2.34%,2.55%,2.42%,49.0%,14.7%,0.216%
2026-07-29 05:33:30,0.894%,12.4%,4.18%,0.759%,3.81%,2.55%,2.81%,2.55%,45.3%,15.8%,0.219%
2026-07-29 05:33:45,0.804%,11.4%,4.54%,0.781%,4.04%,2.79%,3.02%,2.83%,45.2%,17.2%,0.224%
