"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 06:34:15,0.727%,23.7%,23.4%,0.585%,22.3%,15.0%,13.3%,13.9%,138%,88.2%,0.194%
2026-07-29 06:34:30,0.746%,20.9%,21.7%,0.610%,20.7%,14.2%,12.6%,12.8%,127%,80.3%,0.225%
2026-07-29 06:34:45,0.771%,20.6%,19.6%,0.647%,19.5%,13.5%,11.9%,12.2%,121%,75.8%,0.246%
2026-07-29 06:35:00,0.766%,19.4%,19.2%,0.655%,18.5%,12.7%,11.3%,11.5%,114%,71.4%,0.247%
2026-07-29 06:35:15,0.770%,18.2%,18.0%,0.639%,17.4%,12.0%,10.6%,10.3%,107%,68.0%,0.237%
2026-07-29 06:35:30,0.765%,16.9%,16.7%,0.663%,16.3%,11.3%,9.95%,10.1%,100%,63.7%,0.254%
2026-07-29 06:35:45,0.764%,15.9%,15.6%,0.703%,15.3%,10.5%,9.23%,8.93%,94.7%,59.3%,0.254%
2026-07-29 06:36:00,0.794%,15.1%,14.8%,0.678%,13.6%,10.0%,8.77%,8.93%,89.3%,56.5%,0.253%
2026-07-29 06:36:15,0.800%,14.2%,13.9%,0.715%,13.5%,9.33%,8.24%,8.34%,83.2%,52.9%,0.254%
2026-07-29 06:36:30,0.848%,13.3%,13.0%,0.769%,12.4%,8.84%,7.78%,7.87%,79.7%,49.7%,0.255%
2026-07-29 06:36:45,0.815%,12.7%,12.4%,0.777%,12.1%,8.49%,7.32%,7.48%,74.0%,46.4%,0.265%
2026-07-29 06:37:00,0.866%,11.8%,11.7%,0.797%,11.2%,7.86%,6.72%,7.03%,64.2%,43.0%,0.261%
2026-07-29 06:37:15,0.872%,10.4%,11.0%,0.776%,10.5%,7.40%,5.72%,6.57%,64.5%,39.9%,0.265%
2026-07-29 06:37:30,0.872%,10.3%,10.1%,0.797%,9.65%,6.85%,5.78%,5.53%,60.0%,32.9%,0.250%
2026-07-29 06:37:45,0.879%,9.57%,8.30%,0.801%,9.07%,6.36%,5.24%,5.57%,55.2%,33.1%,0.254%
2026-07-29 06:38:00,0.875%,8.69%,8.49%,0.818%,8.14%,5.93%,4.77%,5.11%,50.1%,28.7%,0.246%
2026-07-29 06:38:15,0.884%,7.71%,7.54%,0.828%,7.46%,5.47%,4.25%,4.73%,45.3%,26.3%,0.254%
2026-07-29 06:38:30,0.879%,7.02%,6.87%,0.829%,6.53%,5.00%,3.76%,4.26%,40.8%,23.0%,0.255%
2026-07-29 06:38:45,0.899%,4.41%,4.34%,0.887%,4.13%,2.87%,2.33%,2.86%,34.5%,14.8%,0.266%
2026-07-29 06:39:00,0.888%,4.76%,4.71%,0.892%,4.45%,3.09%,2.67%,3.11%,26.0%,14.5%,0.240%
2026-07-29 06:39:15,0.874%,4.74%,5.09%,0.878%,4.69%,3.34%,2.65%,3.32%,29.6%,17.1%,0.251%
2026-07-29 06:39:30,0.889%,5.48%,5.44%,0.857%,5.12%,3.52%,3.05%,3.34%,31.7%,18.3%,0.225%
2026-07-29 06:39:45,0.906%,5.86%,5.45%,0.870%,5.44%,3.77%,3.24%,3.79%,33.4%,18.0%,0.227%
2026-07-29 06:40:00,0.860%,6.22%,6.17%,0.875%,5.78%,4.03%,3.44%,4.02%,34.9%,20.0%,0.232%
2026-07-29 06:40:15,0.907%,6.59%,6.51%,0.848%,6.12%,4.27%,3.64%,4.20%,37.0%,20.1%,0.216%
2026-07-29 06:40:30,0.901%,6.66%,6.87%,0.850%,6.45%,4.45%,3.86%,4.46%,38.1%,22.5%,0.222%
2026-07-29 06:40:45,0.888%,6.97%,7.00%,0.825%,6.49%,4.47%,3.89%,4.46%,40.0%,21.0%,0.224%
2026-07-29 06:41:00,0.870%,7.26%,7.21%,0.859%,6.12%,4.63%,3.90%,4.44%,38.9%,22.7%,0.232%
2026-07-29 06:41:15,0.858%,7.19%,6.95%,0.851%,6.23%,4.46%,3.79%,4.53%,39.4%,22.5%,0.236%
2026-07-29 06:41:30,0.875%,7.33%,7.74%,0.839%,6.64%,4.30%,3.64%,4.61%,39.6%,23.0%,0.216%
2026-07-29 06:41:45,0.873%,8.01%,8.58%,0.797%,6.32%,4.80%,4.20%,5.05%,45.2%,25.4%,0.223%
2026-07-29 06:42:00,0.825%,7.51%,8.69%,0.828%,7.47%,5.36%,4.65%,5.42%,48.6%,24.3%,0.229%
2026-07-29 06:42:15,0.852%,9.53%,10.1%,0.775%,8.14%,5.78%,4.97%,5.83%,52.3%,29.3%,0.227%
2026-07-29 06:42:30,0.855%,10.3%,10.6%,0.808%,8.55%,6.26%,5.33%,6.17%,53.1%,32.0%,0.221%
2026-07-29 06:42:45,0.855%,9.86%,11.5%,0.793%,9.25%,6.36%,5.40%,6.61%,58.8%,35.3%,0.227%
2026-07-29 06:43:00,0.826%,11.6%,12.2%,0.813%,9.79%,6.99%,5.73%,7.05%,62.5%,37.3%,0.234%
2026-07-29 06:43:15,0.832%,12.6%,11.9%,0.809%,9.64%,7.36%,6.16%,7.19%,65.6%,38.2%,0.232%
2026-07-29 06:43:30,0.833%,12.4%,13.7%,0.765%,10.8%,7.64%,6.34%,7.67%,69.6%,41.0%,0.225%
2026-07-29 06:43:45,0.814%,14.0%,14.6%,0.758%,11.1%,7.42%,6.69%,8.13%,73.3%,44.2%,0.225%
2026-07-29 06:44:00,0.814%,15.0%,15.6%,0.749%,12.0%,8.40%,7.19%,8.44%,74.9%,45.5%,0.219%
2026-07-29 06:44:15,0.833%,15.3%,16.4%,0.736%,12.2%,8.89%,7.36%,8.68%,80.6%,48.1%,0.217%
2026-07-29 06:44:30,0.845%,14.8%,16.9%,0.726%,12.8%,9.08%,7.69%,9.16%,84.3%,48.1%,0.225%
2026-07-29 06:44:45,0.823%,16.7%,17.7%,0.740%,13.3%,9.44%,7.99%,9.55%,85.2%,52.8%,0.223%
2026-07-29 06:45:00,0.841%,17.5%,18.5%,0.742%,14.0%,9.79%,8.34%,9.83%,88.5%,57.3%,0.228%
2026-07-29 06:45:15,0.851%,18.3%,19.3%,0.723%,14.5%,10.1%,8.04%,10.3%,91.9%,57.8%,0.209%
2026-07-29 06:45:30,0.849%,18.9%,19.2%,0.697%,14.6%,10.6%,9.02%,10.8%,95.2%,61.6%,0.227%
2026-07-29 06:45:45,0.816%,19.6%,21.0%,0.691%,15.1%,11.0%,8.72%,11.0%,101%,62.0%,0.219%
2026-07-29 06:46:00,0.815%,20.6%,22.3%,0.673%,15.7%,11.0%,9.80%,11.5%,105%,64.8%,0.203%
2026-07-29 06:46:15,0.823%,21.1%,22.1%,0.659%,16.2%,11.7%,9.91%,11.8%,106%,66.6%,0.222%
2026-07-29 06:46:30,0.845%,21.0%,21.5%,0.616%,15.4%,11.3%,9.56%,11.5%,103%,66.6%,0.223%
2026-07-29 06:46:45,0.841%,20.6%,22.0%,0.715%,15.8%,11.5%,9.85%,11.7%,105%,66.2%,0.236%
2026-07-29 06:47:00,0.822%,21.1%,22.3%,0.690%,16.4%,11.7%,10.0%,11.9%,107%,66.2%,0.240%
2026-07-29 06:47:15,0.818%,21.3%,21.2%,0.718%,15.9%,12.0%,10.0%,12.1%,108%,67.1%,0.237%
2026-07-29 06:47:30,0.824%,20.3%,22.5%,0.685%,16.9%,12.3%,10.4%,12.3%,109%,68.1%,0.225%
2026-07-29 06:47:45,0.831%,21.8%,22.5%,0.680%,16.0%,12.4%,10.5%,12.5%,111%,69.2%,0.224%
2026-07-29 06:48:00,0.814%,22.1%,21.7%,0.670%,17.5%,12.0%,10.7%,11.4%,113%,67.6%,0.227%
2026-07-29 06:48:15,0.828%,22.1%,22.7%,0.662%,16.6%,12.8%,10.3%,13.0%,114%,70.5%,0.221%
2026-07-29 06:48:30,0.838%,22.2%,22.9%,0.648%,18.1%,12.6%,11.1%,13.2%,116%,71.5%,0.225%
2026-07-29 06:48:45,0.824%,22.6%,22.1%,0.697%,18.4%,13.3%,11.3%,13.4%,118%,72.5%,0.224%
2026-07-29 06:49:00,0.819%,22.8%,23.0%,0.681%,18.7%,13.5%,11.6%,13.7%,120%,70.2%,0.232%
2026-07-29 06:49:15,0.769%,22.6%,23.5%,0.675%,17.0%,13.8%,11.8%,14.0%,121%,71.5%,0.232%
2026-07-29 06:49:30,0.796%,23.5%,23.6%,0.681%,19.4%,14.0%,12.1%,13.6%,122%,74.9%,0.217%
2026-07-29 06:49:45,0.782%,23.8%,23.9%,0.652%,19.7%,13.2%,12.2%,13.9%,124%,75.9%,0.218%
2026-07-29 06:50:00,0.759%,23.9%,24.0%,0.662%,20.2%,14.5%,12.4%,14.4%,125%,76.9%,0.215%
2026-07-29 06:50:15,0.736%,24.6%,23.6%,0.658%,20.5%,14.8%,12.6%,14.9%,128%,75.2%,0.216%
2026-07-29 06:50:30,0.735%,24.5%,24.5%,0.658%,20.8%,14.9%,12.9%,14.9%,123%,78.2%,0.216%
2026-07-29 06:50:45,0.705%,24.9%,23.4%,0.667%,21.2%,14.8%,13.0%,15.2%,131%,79.2%,0.210%
2026-07-29 06:51:00,0.738%,25.1%,25.0%,0.662%,21.4%,15.4%,13.2%,15.5%,132%,80.4%,0.219%
2026-07-29 06:51:15,0.712%,26.0%,25.9%,0.583%,21.2%,15.7%,13.0%,16.2%,130%,83.5%,0.215%
2026-07-29 06:51:30,0.691%,25.9%,26.0%,0.609%,22.1%,15.3%,13.9%,16.2%,138%,83.2%,0.190%
2026-07-29 06:51:45,0.709%,24.7%,24.3%,0.627%,21.1%,15.5%,13.1%,15.2%,131%,75.6%,0.196%
2026-07-29 06:52:00,0.732%,23.7%,22.6%,0.636%,19.7%,14.6%,12.7%,14.2%,125%,75.7%,0.201%
2026-07-29 06:52:15,0.710%,21.4%,21.4%,0.648%,19.7%,13.7%,12.0%,13.5%,120%,69.5%,0.199%
2026-07-29 06:52:30,0.734%,21.8%,20.2%,0.695%,17.4%,12.9%,11.1%,12.9%,113%,66.7%,0.206%
2026-07-29 06:52:45,0.740%,20.6%,19.6%,0.706%,16.9%,12.0%,10.4%,11.6%,106%,61.9%,0.217%
2026-07-29 06:53:00,0.732%,19.6%,17.6%,0.740%,15.3%,11.5%,9.44%,11.4%,100%,58.2%,0.225%
2026-07-29 06:53:15,0.736%,18.6%,16.2%,0.722%,14.5%,10.2%,8.88%,10.5%,91.2%,53.6%,0.221%
2026-07-29 06:53:30,0.733%,17.5%,15.0%,0.737%,13.3%,9.52%,8.58%,9.78%,85.4%,48.5%,0.226%
2026-07-29 06:53:45,0.725%,16.3%,15.0%,0.736%,12.1%,8.66%,7.72%,8.67%,77.3%,43.2%,0.218%
2026-07-29 06:54:00,0.745%,14.9%,12.9%,0.776%,10.5%,7.93%,6.58%,7.76%,70.1%,41.1%,0.207%
2026-07-29 06:54:15,0.740%,13.8%,11.4%,0.772%,10.2%,7.20%,6.08%,6.84%,67.9%,38.6%,0.214%
2026-07-29 06:54:30,0.785%,12.5%,10.4%,0.807%,9.13%,5.86%,5.13%,6.45%,60.1%,33.2%,0.222%
2026-07-29 06:54:45,0.765%,11.5%,9.05%,0.838%,7.91%,5.59%,4.17%,5.01%,54.6%,27.9%,0.221%
2026-07-29 06:55:00,0.810%,9.87%,7.42%,0.847%,6.36%,4.72%,4.08%,4.81%,46.8%,22.9%,0.210%
2026-07-29 06:55:15,0.806%,9.48%,5.85%,0.874%,5.56%,3.92%,3.50%,3.51%,35.1%,19.1%,0.227%
2026-07-29 06:55:30,0.806%,7.83%,3.14%,0.888%,4.06%,2.98%,2.74%,2.37%,36.0%,14.0%,0.224%
2026-07-29 06:55:45,0.835%,7.06%,3.14%,0.908%,3.08%,1.95%,1.94%,2.26%,28.7%,9.78%,0.218%
2026-07-29 06:56:00,0.847%,5.89%,1.88%,0.940%,1.00%,1.21%,0.515%,1.43%,15.9%,5.10%,0.221%
2026-07-29 06:56:15,0.824%,4.78%,0.250%,0.920%,0.979%,0.229%,0.501%,0.378%,16.5%,1.63%,0.223%
2026-07-29 06:56:30,0.856%,4.78%,0.00347%,0.978%,0.480%,0.244%,0.243%,0.261%,15.0%,1.61%,0.223%
2026-07-29 06:56:45,0.821%,4.81%,0.00354%,0.992%,0.479%,0.237%,0.243%,0.261%,14.3%,1.61%,0.223%
2026-07-29 06:57:00,0.841%,5.20%,0.00347%,1.00%,0.479%,0.233%,0.242%,0.264%,15.5%,1.61%,0.237%
2026-07-29 06:57:15,0.846%,5.20%,0.00331%,0.970%,0.462%,0.246%,0.242%,0.262%,17.2%,1.56%,0.234%
2026-07-29 06:57:30,0.868%,5.92%,0.00396%,0.965%,0.476%,0.248%,0.242%,0.252%,18.2%,1.59%,0.234%
2026-07-29 06:57:45,0.883%,6.60%,0.00391%,0.945%,0.470%,0.249%,0.240%,0.259%,18.9%,1.56%,0.223%
2026-07-29 06:58:00,0.861%,7.19%,0.00416%,0.941%,0.447%,0.247%,0.238%,0.261%,20.9%,1.53%,0.224%
2026-07-29 06:58:15,0.867%,7.62%,0.00235%,0.921%,0.473%,0.231%,0.229%,0.259%,20.0%,1.51%,0.222%
2026-07-29 06:58:30,0.879%,8.60%,0.00223%,0.935%,0.468%,0.240%,0.228%,0.245%,24.3%,1.49%,0.214%
2026-07-29 06:58:45,0.881%,9.22%,0.00227%,0.919%,0.451%,0.237%,0.226%,0.233%,26.8%,1.47%,0.216%
2026-07-29 06:59:00,0.890%,9.46%,0.00228%,0.911%,0.434%,0.235%,0.216%,0.240%,27.2%,1.44%,0.233%
2026-07-29 06:59:15,0.905%,10.1%,0.00230%,0.898%,0.449%,0.236%,0.221%,0.230%,29.3%,1.43%,0.232%
2026-07-29 06:59:30,0.894%,9.68%,0.00216%,0.881%,0.446%,0.238%,0.216%,0.229%,31.1%,1.42%,0.232%
2026-07-29 06:59:45,0.904%,11.6%,0.00285%,0.844%,0.442%,0.237%,0.222%,0.241%,30.8%,1.33%,0.218%
2026-07-29 07:00:00,0.909%,11.8%,0.00293%,0.869%,0.445%,0.227%,0.212%,0.239%,33.6%,1.39%,0.226%
2026-07-29 07:00:15,0.893%,12.3%,0.00296%,0.842%,0.441%,0.234%,0.219%,0.236%,35.4%,1.35%,0.228%
2026-07-29 07:00:30,0.902%,13.2%,0.00238%,0.842%,0.436%,0.221%,0.209%,0.220%,36.6%,1.33%,0.229%
2026-07-29 07:00:45,0.889%,13.8%,0.00240%,0.848%,0.432%,0.218%,0.206%,0.217%,38.9%,1.31%,0.227%
2026-07-29 07:01:00,0.902%,14.5%,0.00244%,0.778%,0.426%,0.214%,0.204%,0.216%,40.5%,1.30%,0.229%
2026-07-29 07:01:15,0.866%,15.2%,0.00216%,0.802%,0.422%,0.213%,0.201%,0.203%,42.1%,1.29%,0.230%
2026-07-29 07:01:30,0.915%,15.3%,0.00226%,0.787%,0.416%,0.215%,0.189%,0.210%,44.0%,1.27%,0.230%
2026-07-29 07:01:45,0.915%,16.1%,0.00290%,0.768%,0.414%,0.206%,0.198%,0.216%,44.9%,1.25%,0.217%
2026-07-29 07:02:00,0.901%,16.1%,0.00295%,0.763%,0.398%,0.205%,0.185%,0.217%,43.2%,1.27%,0.216%
2026-07-29 07:02:15,0.890%,15.6%,0.00209%,0.766%,0.419%,0.212%,0.195%,0.215%,44.0%,1.26%,0.216%
2026-07-29 07:02:30,0.890%,16.1%,0.00208%,0.732%,0.391%,0.208%,0.194%,0.209%,43.4%,1.25%,0.212%
2026-07-29 07:02:45,0.919%,16.6%,0.00202%,0.784%,0.381%,0.202%,0.191%,0.207%,46.2%,1.21%,0.211%
2026-07-29 07:03:00,0.868%,17.1%,0.00206%,0.792%,0.395%,0.194%,0.191%,0.197%,45.7%,1.23%,0.212%
2026-07-29 07:03:15,0.912%,17.6%,0.00198%,0.756%,0.380%,0.198%,0.187%,0.202%,48.6%,1.23%,0.213%
2026-07-29 07:03:30,0.907%,18.2%,0.00192%,0.759%,0.384%,0.188%,0.188%,0.204%,49.8%,1.22%,0.222%
2026-07-29 07:03:45,0.896%,18.3%,0.00256%,0.749%,0.363%,0.198%,0.186%,0.202%,49.3%,1.21%,0.208%
2026-07-29 07:04:00,0.880%,18.9%,0.00257%,0.745%,0.380%,0.195%,0.185%,0.195%,52.0%,1.21%,0.209%
2026-07-29 07:04:15,0.870%,17.9%,0.00259%,0.740%,0.375%,0.187%,0.178%,0.184%,53.1%,1.18%,0.208%
2026-07-29 07:04:30,0.860%,19.8%,0.00191%,0.736%,0.371%,0.185%,0.176%,0.190%,52.9%,1.12%,0.210%
2026-07-29 07:04:45,0.865%,18.8%,0.00191%,0.755%,0.363%,0.173%,0.166%,0.188%,55.1%,1.16%,0.208%
2026-07-29 07:05:00,0.876%,20.7%,0.00190%,0.756%,0.358%,0.181%,0.173%,0.185%,56.8%,1.15%,0.214%
2026-07-29 07:05:15,0.864%,21.2%,0.00184%,0.711%,0.352%,0.171%,0.172%,0.178%,55.5%,1.14%,0.215%
2026-07-29 07:05:30,0.859%,21.7%,0.00181%,0.724%,0.348%,0.179%,0.173%,0.183%,58.3%,1.13%,0.220%
2026-07-29 07:05:45,0.816%,22.2%,0.00304%,0.713%,0.333%,0.178%,0.172%,0.183%,59.7%,1.12%,0.218%
