"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 06:42:45,18.3 MiB,,,7.55 MiB,7.69 MiB,99.1 MiB,171 MiB,166 MiB,166 MiB,167 MiB,242 MiB,241 MiB,93.4 MiB
2026-07-29 06:43:00,18.7 MiB,,,8.48 MiB,7.89 MiB,99.1 MiB,175 MiB,164 MiB,172 MiB,168 MiB,247 MiB,244 MiB,93.6 MiB
2026-07-29 06:43:15,18.6 MiB,,,7.59 MiB,7.89 MiB,99.1 MiB,175 MiB,166 MiB,162 MiB,168 MiB,249 MiB,244 MiB,93.6 MiB
2026-07-29 06:43:30,17.5 MiB,,,7.59 MiB,7.73 MiB,99.1 MiB,180 MiB,169 MiB,158 MiB,170 MiB,250 MiB,247 MiB,93.7 MiB
2026-07-29 06:43:45,18.8 MiB,,,8.73 MiB,8.68 MiB,99.1 MiB,180 MiB,169 MiB,163 MiB,176 MiB,256 MiB,247 MiB,96.4 MiB
2026-07-29 06:44:00,18.8 MiB,,,8.12 MiB,8.21 MiB,99.1 MiB,174 MiB,164 MiB,178 MiB,178 MiB,257 MiB,252 MiB,96.5 MiB
2026-07-29 06:44:15,17.8 MiB,,,7.82 MiB,8.14 MiB,99.1 MiB,177 MiB,168 MiB,171 MiB,170 MiB,257 MiB,253 MiB,96.7 MiB
2026-07-29 06:44:30,18.1 MiB,,,7.82 MiB,8.30 MiB,99.1 MiB,177 MiB,177 MiB,177 MiB,174 MiB,258 MiB,253 MiB,96.8 MiB
2026-07-29 06:44:45,18.1 MiB,,,8.55 MiB,8.44 MiB,99.1 MiB,180 MiB,180 MiB,177 MiB,176 MiB,261 MiB,257 MiB,96.8 MiB
2026-07-29 06:45:00,20.2 MiB,,,8.51 MiB,7.87 MiB,99.1 MiB,180 MiB,167 MiB,179 MiB,176 MiB,261 MiB,261 MiB,88.9 MiB
2026-07-29 06:45:15,22.4 MiB,,,8.04 MiB,7.92 MiB,99.1 MiB,184 MiB,169 MiB,179 MiB,171 MiB,260 MiB,264 MiB,88.9 MiB
2026-07-29 06:45:30,17.7 MiB,,,8.21 MiB,7.92 MiB,99.1 MiB,185 MiB,178 MiB,171 MiB,171 MiB,268 MiB,264 MiB,95.2 MiB
2026-07-29 06:45:45,17.9 MiB,,,7.80 MiB,8.33 MiB,99.1 MiB,195 MiB,166 MiB,171 MiB,163 MiB,264 MiB,263 MiB,97.7 MiB
2026-07-29 06:46:00,17.9 MiB,,,7.80 MiB,7.74 MiB,99.0 MiB,187 MiB,166 MiB,171 MiB,167 MiB,265 MiB,264 MiB,97.7 MiB
2026-07-29 06:46:15,18.8 MiB,,,7.86 MiB,7.92 MiB,99.0 MiB,188 MiB,168 MiB,178 MiB,171 MiB,265 MiB,264 MiB,105 MiB
2026-07-29 06:46:30,20.0 MiB,,,7.86 MiB,7.82 MiB,99.0 MiB,188 MiB,174 MiB,179 MiB,175 MiB,265 MiB,264 MiB,106 MiB
2026-07-29 06:46:45,19.5 MiB,,,7.70 MiB,7.81 MiB,99.0 MiB,191 MiB,163 MiB,175 MiB,172 MiB,269 MiB,271 MiB,112 MiB
2026-07-29 06:47:00,17.6 MiB,,,7.61 MiB,8.75 MiB,99.0 MiB,185 MiB,167 MiB,171 MiB,179 MiB,292 MiB,271 MiB,112 MiB
2026-07-29 06:47:15,18.8 MiB,,,8.36 MiB,8.75 MiB,99.3 MiB,185 MiB,171 MiB,171 MiB,175 MiB,293 MiB,282 MiB,111 MiB
2026-07-29 06:47:30,17.9 MiB,,,8.36 MiB,8.51 MiB,99.5 MiB,183 MiB,165 MiB,168 MiB,166 MiB,287 MiB,283 MiB,111 MiB
2026-07-29 06:47:45,18.4 MiB,,,8.66 MiB,8.67 MiB,99.5 MiB,183 MiB,185 MiB,181 MiB,178 MiB,320 MiB,293 MiB,111 MiB
2026-07-29 06:48:00,19.4 MiB,,,8.76 MiB,8.67 MiB,99.3 MiB,183 MiB,185 MiB,183 MiB,178 MiB,311 MiB,295 MiB,111 MiB
2026-07-29 06:48:15,19.1 MiB,,,8.91 MiB,9.34 MiB,99.3 MiB,183 MiB,176 MiB,183 MiB,180 MiB,310 MiB,287 MiB,115 MiB
2026-07-29 06:48:30,18.3 MiB,,,8.15 MiB,8.41 MiB,99.3 MiB,203 MiB,183 MiB,177 MiB,177 MiB,289 MiB,295 MiB,115 MiB
2026-07-29 06:48:45,18.7 MiB,,,8.36 MiB,8.41 MiB,99.4 MiB,181 MiB,176 MiB,175 MiB,176 MiB,298 MiB,297 MiB,115 MiB
2026-07-29 06:49:00,17.8 MiB,,,8.70 MiB,9.96 MiB,99.4 MiB,198 MiB,179 MiB,170 MiB,189 MiB,286 MiB,297 MiB,98.7 MiB
2026-07-29 06:49:15,18.8 MiB,,,8.60 MiB,8.77 MiB,99.3 MiB,198 MiB,182 MiB,182 MiB,184 MiB,286 MiB,296 MiB,105 MiB
2026-07-29 06:49:30,17.5 MiB,,,8.43 MiB,9.75 MiB,99.3 MiB,205 MiB,187 MiB,176 MiB,184 MiB,325 MiB,301 MiB,105 MiB
2026-07-29 06:49:45,18.7 MiB,,,8.52 MiB,8.11 MiB,99.2 MiB,188 MiB,187 MiB,182 MiB,184 MiB,292 MiB,299 MiB,105 MiB
2026-07-29 06:50:00,20.2 MiB,,,8.59 MiB,8.65 MiB,99.2 MiB,195 MiB,184 MiB,182 MiB,184 MiB,295 MiB,295 MiB,111 MiB
2026-07-29 06:50:15,20.2 MiB,,,8.25 MiB,8.59 MiB,99.2 MiB,189 MiB,177 MiB,173 MiB,183 MiB,293 MiB,296 MiB,114 MiB
2026-07-29 06:50:30,22.2 MiB,,,9.60 MiB,9.61 MiB,99.2 MiB,198 MiB,176 MiB,171 MiB,183 MiB,293 MiB,302 MiB,114 MiB
2026-07-29 06:50:45,22.2 MiB,,,8.16 MiB,9.61 MiB,99.2 MiB,185 MiB,175 MiB,180 MiB,183 MiB,295 MiB,299 MiB,111 MiB
2026-07-29 06:51:00,19.9 MiB,,,8.50 MiB,8.40 MiB,99.2 MiB,194 MiB,175 MiB,170 MiB,174 MiB,294 MiB,295 MiB,111 MiB
2026-07-29 06:51:15,20.5 MiB,,,8.46 MiB,8.88 MiB,99.1 MiB,194 MiB,184 MiB,170 MiB,181 MiB,294 MiB,291 MiB,112 MiB
2026-07-29 06:51:30,20.5 MiB,,,9.01 MiB,8.54 MiB,99.0 MiB,199 MiB,184 MiB,173 MiB,177 MiB,285 MiB,290 MiB,112 MiB
2026-07-29 06:51:45,18.6 MiB,,,8.20 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,173 MiB,183 MiB,290 MiB,291 MiB,113 MiB
2026-07-29 06:52:00,18.3 MiB,,,9.10 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,179 MiB,183 MiB,290 MiB,291 MiB,113 MiB
2026-07-29 06:52:15,20.0 MiB,,,9.10 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,179 MiB,183 MiB,288 MiB,291 MiB,113 MiB
2026-07-29 06:52:30,17.8 MiB,,,8.48 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,179 MiB,183 MiB,262 MiB,291 MiB,113 MiB
2026-07-29 06:52:45,17.7 MiB,,,8.88 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,179 MiB,183 MiB,262 MiB,291 MiB,109 MiB
2026-07-29 06:53:00,17.7 MiB,,,8.41 MiB,9.11 MiB,98.8 MiB,200 MiB,182 MiB,179 MiB,183 MiB,260 MiB,291 MiB,109 MiB
2026-07-29 06:53:15,19.0 MiB,,,8.91 MiB,9.11 MiB,98.9 MiB,200 MiB,182 MiB,179 MiB,183 MiB,260 MiB,291 MiB,109 MiB
2026-07-29 06:53:30,19.6 MiB,,,8.45 MiB,9.11 MiB,98.9 MiB,200 MiB,147 MiB,179 MiB,183 MiB,261 MiB,291 MiB,109 MiB
2026-07-29 06:53:45,18.9 MiB,,,8.16 MiB,9.11 MiB,98.9 MiB,200 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,110 MiB
2026-07-29 06:54:00,20.5 MiB,,,8.35 MiB,8.89 MiB,98.9 MiB,200 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,110 MiB
2026-07-29 06:54:15,19.8 MiB,,,8.45 MiB,8.89 MiB,98.9 MiB,108 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,114 MiB
2026-07-29 06:54:30,18.5 MiB,,,8.64 MiB,8.89 MiB,98.9 MiB,109 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,117 MiB
2026-07-29 06:54:45,18.5 MiB,,,8.32 MiB,8.89 MiB,98.9 MiB,109 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,118 MiB
2026-07-29 06:55:00,18.0 MiB,,,8.32 MiB,8.89 MiB,98.9 MiB,109 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,118 MiB
2026-07-29 06:55:15,19.5 MiB,,,8.61 MiB,8.89 MiB,98.9 MiB,109 MiB,147 MiB,172 MiB,155 MiB,261 MiB,291 MiB,118 MiB
2026-07-29 06:55:30,21.6 MiB,,,8.29 MiB,8.89 MiB,98.9 MiB,110 MiB,147 MiB,172 MiB,155 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:55:45,19.2 MiB,,,8.66 MiB,8.89 MiB,98.9 MiB,111 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:56:00,17.4 MiB,,,8.32 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:56:15,18.7 MiB,,,8.17 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:56:30,18.2 MiB,,,8.17 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:56:45,18.2 MiB,,,8.58 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,118 MiB
2026-07-29 06:57:00,18.0 MiB,,,8.41 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,262 MiB,179 MiB,90.3 MiB
2026-07-29 06:57:15,18.2 MiB,,,8.41 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.1 MiB,97.9 MiB,261 MiB,179 MiB,90.3 MiB
2026-07-29 06:57:30,18.2 MiB,,,8.38 MiB,7.75 MiB,98.9 MiB,109 MiB,95.5 MiB,98.3 MiB,97.9 MiB,261 MiB,179 MiB,96.6 MiB
2026-07-29 06:57:45,19.4 MiB,,,8.16 MiB,7.75 MiB,98.9 MiB,110 MiB,95.5 MiB,98.3 MiB,97.9 MiB,261 MiB,179 MiB,96.6 MiB
2026-07-29 06:58:00,20.9 MiB,,,8.02 MiB,7.64 MiB,98.9 MiB,110 MiB,95.5 MiB,98.3 MiB,97.9 MiB,260 MiB,179 MiB,103 MiB
2026-07-29 06:58:15,20.9 MiB,,,8.47 MiB,7.64 MiB,98.9 MiB,110 MiB,95.5 MiB,98.3 MiB,97.9 MiB,260 MiB,179 MiB,103 MiB
