"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 07:06:15,14.8 MiB,,,7.93 MiB,7.64 MiB,98.8 MiB,107 MiB,95.5 MiB,97.7 MiB,98.0 MiB,258 MiB,180 MiB,119 MiB
2026-07-29 07:06:30,17.4 MiB,,,7.53 MiB,7.64 MiB,98.9 MiB,107 MiB,95.5 MiB,97.7 MiB,98.0 MiB,258 MiB,180 MiB,119 MiB
2026-07-29 07:06:45,18.1 MiB,,,8.03 MiB,7.64 MiB,98.9 MiB,107 MiB,95.5 MiB,97.8 MiB,98.0 MiB,258 MiB,180 MiB,119 MiB
2026-07-29 07:07:00,18.1 MiB,,,8.03 MiB,7.64 MiB,98.9 MiB,107 MiB,95.5 MiB,97.8 MiB,98.0 MiB,258 MiB,180 MiB,114 MiB
2026-07-29 07:07:15,18.8 MiB,,,7.84 MiB,7.64 MiB,98.9 MiB,107 MiB,95.5 MiB,97.8 MiB,98.0 MiB,270 MiB,202 MiB,114 MiB
2026-07-29 07:07:30,18.3 MiB,,,8.04 MiB,8.34 MiB,98.9 MiB,130 MiB,109 MiB,126 MiB,132 MiB,270 MiB,202 MiB,114 MiB
2026-07-29 07:07:45,17.6 MiB,,,8.04 MiB,8.63 MiB,98.9 MiB,161 MiB,127 MiB,141 MiB,132 MiB,278 MiB,281 MiB,114 MiB
2026-07-29 07:08:00,18.0 MiB,,,7.78 MiB,8.42 MiB,98.9 MiB,180 MiB,164 MiB,162 MiB,158 MiB,278 MiB,281 MiB,114 MiB
2026-07-29 07:08:15,18.5 MiB,,,7.97 MiB,8.59 MiB,98.9 MiB,180 MiB,166 MiB,170 MiB,169 MiB,279 MiB,282 MiB,114 MiB
2026-07-29 07:08:30,17.7 MiB,,,7.86 MiB,8.59 MiB,98.9 MiB,190 MiB,166 MiB,170 MiB,169 MiB,280 MiB,282 MiB,114 MiB
2026-07-29 07:08:45,19.8 MiB,,,7.86 MiB,8.18 MiB,98.9 MiB,185 MiB,166 MiB,171 MiB,171 MiB,283 MiB,282 MiB,114 MiB
2026-07-29 07:09:00,22.1 MiB,,,7.78 MiB,8.14 MiB,98.9 MiB,184 MiB,170 MiB,171 MiB,172 MiB,283 MiB,282 MiB,88.9 MiB
2026-07-29 07:09:15,20.0 MiB,,,7.76 MiB,8.58 MiB,98.9 MiB,187 MiB,170 MiB,171 MiB,174 MiB,283 MiB,282 MiB,88.9 MiB
2026-07-29 07:09:30,20.0 MiB,,,7.82 MiB,7.91 MiB,98.9 MiB,187 MiB,170 MiB,171 MiB,174 MiB,283 MiB,284 MiB,88.9 MiB
