"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:09:15,0.741%,19.8%,19.5%,0.642%,64.2%,59.8%,58.8%,49.1%,149%,81.9%,0.204%
2026-07-30 06:09:30,0.697%,19.0%,18.5%,0.636%,60.2%,56.0%,53.4%,47.4%,141%,77.9%,0.195%
2026-07-30 06:09:45,0.773%,18.0%,17.5%,0.652%,56.8%,52.9%,52.6%,44.9%,133%,73.8%,0.202%
2026-07-30 06:10:00,0.781%,17.1%,16.7%,0.653%,53.8%,50.0%,47.3%,42.5%,126%,69.6%,0.202%
2026-07-30 06:10:15,0.767%,15.1%,15.4%,0.682%,50.4%,46.9%,46.5%,39.9%,119%,65.4%,0.192%
2026-07-30 06:10:30,0.761%,14.8%,14.7%,0.701%,47.6%,44.0%,43.7%,37.3%,112%,62.1%,0.186%
2026-07-30 06:10:45,0.774%,14.1%,13.7%,0.710%,45.0%,41.0%,40.5%,34.7%,104%,57.7%,0.219%
2026-07-30 06:11:00,0.784%,13.4%,13.0%,0.766%,42.4%,39.4%,39.4%,33.8%,101%,55.5%,0.205%
2026-07-30 06:11:15,0.742%,12.7%,12.4%,0.780%,40.6%,35.3%,36.7%,32.3%,95.5%,51.4%,0.216%
2026-07-30 06:11:30,0.794%,12.2%,11.8%,0.782%,39.0%,35.8%,35.4%,30.0%,91.1%,49.5%,0.219%
2026-07-30 06:11:45,0.814%,10.6%,11.2%,0.782%,37.1%,34.1%,33.8%,29.6%,86.2%,46.8%,0.221%
2026-07-30 06:12:00,0.772%,10.4%,10.7%,0.787%,35.6%,32.4%,32.2%,28.4%,73.3%,44.4%,0.236%
2026-07-30 06:12:15,0.824%,10.0%,9.53%,0.810%,34.3%,30.7%,30.9%,27.8%,75.6%,42.1%,0.239%
2026-07-30 06:12:30,0.785%,9.12%,8.31%,0.810%,32.3%,29.2%,29.0%,26.0%,71.9%,39.7%,0.242%
2026-07-30 06:12:45,0.844%,8.51%,8.43%,0.838%,27.3%,27.4%,27.6%,24.6%,67.6%,36.3%,0.248%
2026-07-30 06:13:00,0.862%,7.33%,7.96%,0.857%,29.0%,26.0%,26.1%,23.9%,63.5%,34.1%,0.247%
2026-07-30 06:13:15,0.909%,7.47%,7.08%,0.850%,26.0%,23.6%,24.1%,22.8%,59.1%,32.1%,0.248%
2026-07-30 06:13:30,0.911%,6.64%,6.83%,0.853%,21.2%,22.0%,22.4%,18.2%,45.4%,28.9%,0.243%
2026-07-30 06:13:45,0.922%,6.05%,4.86%,0.873%,22.2%,15.4%,20.1%,19.1%,47.1%,21.0%,0.245%
2026-07-30 06:14:00,0.930%,5.28%,5.26%,0.875%,17.5%,16.7%,17.0%,17.0%,38.3%,22.7%,0.256%
