"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:25:00,,17.2 MiB,9.39 MiB,9.15 MiB,98.5 MiB,172 MiB,157 MiB,163 MiB,170 MiB,338 MiB,298 MiB,91.5 MiB
2026-07-30 06:25:15,,18.4 MiB,8.43 MiB,9.15 MiB,98.5 MiB,166 MiB,157 MiB,164 MiB,170 MiB,308 MiB,298 MiB,91.5 MiB
2026-07-30 06:25:30,,18.4 MiB,8.43 MiB,9.76 MiB,98.5 MiB,166 MiB,159 MiB,169 MiB,169 MiB,308 MiB,304 MiB,91.4 MiB
2026-07-30 06:25:45,,17.9 MiB,8.09 MiB,8.91 MiB,98.5 MiB,166 MiB,163 MiB,162 MiB,165 MiB,307 MiB,310 MiB,91.4 MiB
2026-07-30 06:26:00,,17.1 MiB,8.86 MiB,8.96 MiB,98.4 MiB,166 MiB,162 MiB,161 MiB,175 MiB,322 MiB,310 MiB,91.4 MiB
2026-07-30 06:26:15,,17.7 MiB,9.07 MiB,8.64 MiB,98.4 MiB,171 MiB,162 MiB,161 MiB,166 MiB,300 MiB,295 MiB,97.7 MiB
2026-07-30 06:26:30,,18.5 MiB,8.88 MiB,8.64 MiB,98.4 MiB,175 MiB,169 MiB,163 MiB,171 MiB,320 MiB,293 MiB,97.7 MiB
2026-07-30 06:26:45,,18.3 MiB,9.07 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,312 MiB,293 MiB,97.7 MiB
2026-07-30 06:27:00,,18.3 MiB,9.25 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,312 MiB,294 MiB,97.7 MiB
2026-07-30 06:27:15,,19.1 MiB,8.68 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,277 MiB,294 MiB,97.7 MiB
2026-07-30 06:27:30,,17.7 MiB,8.77 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,277 MiB,294 MiB,97.7 MiB
2026-07-30 06:27:45,,18.5 MiB,8.60 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,277 MiB,294 MiB,98.4 MiB
2026-07-30 06:28:00,,21.5 MiB,8.60 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,277 MiB,294 MiB,98.4 MiB
2026-07-30 06:28:15,,20.3 MiB,8.68 MiB,9.10 MiB,98.5 MiB,175 MiB,169 MiB,165 MiB,171 MiB,278 MiB,294 MiB,90.2 MiB
2026-07-30 06:28:30,,20.3 MiB,8.78 MiB,9.10 MiB,98.5 MiB,117 MiB,161 MiB,165 MiB,155 MiB,278 MiB,237 MiB,90.2 MiB
2026-07-30 06:28:45,,14.6 MiB,8.74 MiB,8.53 MiB,98.9 MiB,117 MiB,161 MiB,136 MiB,155 MiB,277 MiB,237 MiB,92.2 MiB
2026-07-30 06:29:00,,19.2 MiB,8.48 MiB,8.53 MiB,98.9 MiB,117 MiB,161 MiB,136 MiB,155 MiB,277 MiB,237 MiB,92.2 MiB
2026-07-30 06:29:15,,19.8 MiB,8.86 MiB,8.53 MiB,98.9 MiB,117 MiB,161 MiB,136 MiB,155 MiB,277 MiB,237 MiB,98.5 MiB
2026-07-30 06:29:30,,20.5 MiB,8.36 MiB,8.53 MiB,98.9 MiB,117 MiB,161 MiB,136 MiB,155 MiB,277 MiB,237 MiB,105 MiB
