"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:50:30,,22.2 MiB,8.53 MiB,8.71 MiB,98.8 MiB,170 MiB,160 MiB,168 MiB,166 MiB,308 MiB,297 MiB,117 MiB
2026-07-30 06:50:45,,21.0 MiB,8.03 MiB,8.55 MiB,98.8 MiB,170 MiB,161 MiB,163 MiB,166 MiB,303 MiB,298 MiB,117 MiB
2026-07-30 06:51:00,,19.5 MiB,8.00 MiB,8.56 MiB,98.8 MiB,174 MiB,161 MiB,164 MiB,166 MiB,308 MiB,296 MiB,117 MiB
2026-07-30 06:51:15,,17.7 MiB,8.64 MiB,8.07 MiB,98.8 MiB,171 MiB,161 MiB,163 MiB,164 MiB,311 MiB,300 MiB,117 MiB
2026-07-30 06:51:30,,18.4 MiB,8.22 MiB,8.07 MiB,98.8 MiB,167 MiB,158 MiB,163 MiB,167 MiB,311 MiB,302 MiB,117 MiB
2026-07-30 06:51:45,,18.8 MiB,8.09 MiB,8.11 MiB,98.8 MiB,171 MiB,158 MiB,165 MiB,167 MiB,311 MiB,302 MiB,117 MiB
2026-07-30 06:52:00,,18.8 MiB,8.37 MiB,8.38 MiB,98.8 MiB,171 MiB,163 MiB,164 MiB,172 MiB,311 MiB,308 MiB,117 MiB
2026-07-30 06:52:15,,18.6 MiB,8.52 MiB,8.07 MiB,98.8 MiB,171 MiB,162 MiB,160 MiB,172 MiB,313 MiB,308 MiB,117 MiB
2026-07-30 06:52:30,,20.5 MiB,7.98 MiB,8.16 MiB,98.8 MiB,171 MiB,163 MiB,168 MiB,169 MiB,313 MiB,304 MiB,90.1 MiB
2026-07-30 06:52:45,,18.0 MiB,8.41 MiB,8.15 MiB,98.8 MiB,169 MiB,162 MiB,168 MiB,167 MiB,322 MiB,304 MiB,95.9 MiB
2026-07-30 06:53:00,,17.8 MiB,8.08 MiB,8.34 MiB,98.8 MiB,171 MiB,165 MiB,164 MiB,178 MiB,332 MiB,317 MiB,102 MiB
2026-07-30 06:53:15,,19.5 MiB,8.43 MiB,8.90 MiB,98.8 MiB,171 MiB,164 MiB,161 MiB,171 MiB,332 MiB,296 MiB,104 MiB
2026-07-30 06:53:30,,19.5 MiB,8.43 MiB,8.67 MiB,98.8 MiB,171 MiB,163 MiB,161 MiB,174 MiB,302 MiB,296 MiB,104 MiB
2026-07-30 06:53:45,,20.3 MiB,8.63 MiB,8.67 MiB,98.8 MiB,171 MiB,173 MiB,171 MiB,174 MiB,302 MiB,298 MiB,111 MiB
2026-07-30 06:54:00,,17.5 MiB,9.20 MiB,8.55 MiB,98.8 MiB,178 MiB,165 MiB,166 MiB,171 MiB,312 MiB,300 MiB,111 MiB
2026-07-30 06:54:15,,17.6 MiB,8.96 MiB,8.46 MiB,98.8 MiB,177 MiB,162 MiB,168 MiB,172 MiB,313 MiB,300 MiB,111 MiB
2026-07-30 06:54:30,,17.5 MiB,8.96 MiB,8.46 MiB,98.8 MiB,177 MiB,162 MiB,170 MiB,179 MiB,318 MiB,306 MiB,110 MiB
2026-07-30 06:54:45,,18.2 MiB,8.90 MiB,8.77 MiB,98.8 MiB,173 MiB,159 MiB,169 MiB,171 MiB,318 MiB,305 MiB,110 MiB
2026-07-30 06:55:00,,17.6 MiB,8.30 MiB,8.90 MiB,98.8 MiB,169 MiB,166 MiB,169 MiB,171 MiB,318 MiB,300 MiB,110 MiB
2026-07-30 06:55:15,,18.4 MiB,8.46 MiB,8.68 MiB,98.8 MiB,175 MiB,163 MiB,168 MiB,185 MiB,309 MiB,300 MiB,110 MiB
2026-07-30 06:55:30,,19.8 MiB,8.46 MiB,8.62 MiB,98.8 MiB,175 MiB,173 MiB,172 MiB,172 MiB,323 MiB,300 MiB,110 MiB
2026-07-30 06:55:45,,19.8 MiB,8.62 MiB,8.62 MiB,98.8 MiB,171 MiB,165 MiB,167 MiB,172 MiB,323 MiB,302 MiB,110 MiB
2026-07-30 06:56:00,,17.4 MiB,8.62 MiB,9 MiB,98.8 MiB,171 MiB,165 MiB,168 MiB,176 MiB,317 MiB,305 MiB,110 MiB
2026-07-30 06:56:15,,17.4 MiB,8.46 MiB,8.98 MiB,98.8 MiB,173 MiB,163 MiB,167 MiB,172 MiB,323 MiB,307 MiB,110 MiB
2026-07-30 06:56:30,,19.2 MiB,8.32 MiB,9.37 MiB,98.8 MiB,178 MiB,168 MiB,176 MiB,176 MiB,354 MiB,315 MiB,110 MiB
2026-07-30 06:56:45,,17.3 MiB,8.69 MiB,8.86 MiB,98.8 MiB,176 MiB,170 MiB,170 MiB,176 MiB,310 MiB,306 MiB,110 MiB
2026-07-30 06:57:00,,18.6 MiB,8.63 MiB,8.86 MiB,98.8 MiB,178 MiB,170 MiB,168 MiB,175 MiB,319 MiB,306 MiB,110 MiB
2026-07-30 06:57:15,,17.8 MiB,8.63 MiB,9.08 MiB,98.7 MiB,178 MiB,166 MiB,168 MiB,173 MiB,315 MiB,307 MiB,110 MiB
2026-07-30 06:57:30,,19.1 MiB,9.19 MiB,9.40 MiB,98.7 MiB,176 MiB,166 MiB,174 MiB,176 MiB,329 MiB,308 MiB,111 MiB
