"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","loving_brahmagupta","musing_black","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:48:30,18.4 MiB,8.36 MiB,8.29 MiB,98.0 MiB,,,172 MiB,167 MiB,163 MiB,163 MiB,304 MiB,296 MiB,108 MiB
2026-07-30 02:48:45,18.4 MiB,8.20 MiB,8.34 MiB,98.1 MiB,,,171 MiB,162 MiB,163 MiB,161 MiB,300 MiB,297 MiB,108 MiB
2026-07-30 02:49:00,18.7 MiB,8.15 MiB,8.52 MiB,98.1 MiB,,,169 MiB,162 MiB,165 MiB,160 MiB,304 MiB,297 MiB,108 MiB
2026-07-30 02:49:15,18.6 MiB,8.93 MiB,8.52 MiB,98.1 MiB,,,172 MiB,162 MiB,165 MiB,163 MiB,307 MiB,297 MiB,108 MiB
2026-07-30 02:49:30,19.0 MiB,8.06 MiB,8.67 MiB,98.1 MiB,,,167 MiB,162 MiB,165 MiB,162 MiB,306 MiB,297 MiB,109 MiB
2026-07-30 02:49:45,17.1 MiB,8.06 MiB,8.67 MiB,98.0 MiB,,,170 MiB,160 MiB,163 MiB,162 MiB,308 MiB,302 MiB,109 MiB
2026-07-30 02:50:00,18.8 MiB,8.37 MiB,8.99 MiB,98.0 MiB,,,176 MiB,163 MiB,165 MiB,162 MiB,309 MiB,302 MiB,109 MiB
2026-07-30 02:50:15,19.1 MiB,8.34 MiB,8.25 MiB,98.0 MiB,,,176 MiB,162 MiB,165 MiB,163 MiB,312 MiB,302 MiB,96.2 MiB
2026-07-30 02:50:30,19.9 MiB,8.15 MiB,8.35 MiB,98.0 MiB,,,174 MiB,162 MiB,166 MiB,163 MiB,311 MiB,304 MiB,96.9 MiB
2026-07-30 02:50:45,21.1 MiB,8.15 MiB,8.73 MiB,98.0 MiB,,,172 MiB,164 MiB,165 MiB,164 MiB,312 MiB,305 MiB,97.5 MiB
2026-07-30 02:51:00,19.1 MiB,8.16 MiB,8.57 MiB,98.0 MiB,,,172 MiB,162 MiB,165 MiB,161 MiB,314 MiB,305 MiB,97.5 MiB
2026-07-30 02:51:15,22.1 MiB,7.97 MiB,8.41 MiB,98.0 MiB,,,180 MiB,162 MiB,165 MiB,164 MiB,327 MiB,305 MiB,97.5 MiB
2026-07-30 02:51:30,18.8 MiB,7.97 MiB,8.93 MiB,98.0 MiB,,,180 MiB,170 MiB,173 MiB,169 MiB,311 MiB,310 MiB,97.5 MiB
2026-07-30 02:51:45,14.6 MiB,8.96 MiB,8.36 MiB,98.0 MiB,,,176 MiB,165 MiB,170 MiB,169 MiB,311 MiB,294 MiB,97.5 MiB
2026-07-30 02:52:00,18.8 MiB,9.39 MiB,9.05 MiB,98.0 MiB,,,177 MiB,163 MiB,175 MiB,165 MiB,306 MiB,294 MiB,100 MiB
2026-07-30 02:52:15,22.8 MiB,9.39 MiB,9.35 MiB,98.0 MiB,,,177 MiB,165 MiB,166 MiB,168 MiB,307 MiB,297 MiB,99.0 MiB
2026-07-30 02:52:30,22.8 MiB,8.96 MiB,9.46 MiB,98.0 MiB,,,177 MiB,165 MiB,174 MiB,165 MiB,316 MiB,297 MiB,99.0 MiB
2026-07-30 02:52:45,19.8 MiB,8.96 MiB,9.57 MiB,98.1 MiB,,,175 MiB,167 MiB,174 MiB,165 MiB,310 MiB,296 MiB,99.0 MiB
2026-07-30 02:53:00,19.8 MiB,8.87 MiB,9.57 MiB,98.1 MiB,,,185 MiB,167 MiB,162 MiB,167 MiB,310 MiB,296 MiB,99.0 MiB
2026-07-30 02:53:15,19.8 MiB,8.41 MiB,9.08 MiB,98.1 MiB,,,172 MiB,167 MiB,167 MiB,165 MiB,322 MiB,302 MiB,99.0 MiB
2026-07-30 02:53:30,18.9 MiB,9.27 MiB,9.02 MiB,98.1 MiB,,,178 MiB,170 MiB,167 MiB,168 MiB,322 MiB,306 MiB,99.0 MiB
2026-07-30 02:53:45,16.8 MiB,8.38 MiB,8.36 MiB,98.1 MiB,,,179 MiB,171 MiB,168 MiB,168 MiB,317 MiB,298 MiB,99.0 MiB
2026-07-30 02:54:00,18.0 MiB,8.88 MiB,8.39 MiB,98.1 MiB,,,175 MiB,165 MiB,168 MiB,168 MiB,315 MiB,301 MiB,88.0 MiB
2026-07-30 02:54:15,18.0 MiB,10.5 MiB,10.7 MiB,98.1 MiB,,,182 MiB,165 MiB,173 MiB,170 MiB,319 MiB,301 MiB,88.1 MiB
2026-07-30 02:54:30,20.4 MiB,8.71 MiB,8.93 MiB,98.1 MiB,,,182 MiB,165 MiB,165 MiB,167 MiB,318 MiB,305 MiB,95.3 MiB
2026-07-30 02:54:45,18.5 MiB,8.63 MiB,10.7 MiB,98.1 MiB,,,175 MiB,165 MiB,174 MiB,169 MiB,335 MiB,311 MiB,96.5 MiB
2026-07-30 02:55:00,20.3 MiB,8.63 MiB,8.85 MiB,98.1 MiB,,,185 MiB,168 MiB,168 MiB,167 MiB,310 MiB,299 MiB,96.5 MiB
2026-07-30 02:55:15,17.8 MiB,8.61 MiB,8.91 MiB,98.1 MiB,,,178 MiB,173 MiB,172 MiB,169 MiB,310 MiB,302 MiB,97.3 MiB
2026-07-30 02:55:30,17.8 MiB,8.78 MiB,9.27 MiB,98.1 MiB,,,176 MiB,173 MiB,171 MiB,167 MiB,310 MiB,302 MiB,97.3 MiB
2026-07-30 02:55:45,18.9 MiB,8.98 MiB,9.27 MiB,98.1 MiB,,,177 MiB,167 MiB,171 MiB,163 MiB,310 MiB,302 MiB,104 MiB
