"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","loving_brahmagupta","musing_black","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:24:45,17.1 MiB,8.38 MiB,9.85 MiB,97.5 MiB,,,172 MiB,161 MiB,167 MiB,162 MiB,307 MiB,293 MiB,92.2 MiB
2026-07-30 02:25:00,19.7 MiB,8.68 MiB,8.82 MiB,97.5 MiB,,,169 MiB,167 MiB,167 MiB,162 MiB,301 MiB,297 MiB,92.2 MiB
2026-07-30 02:25:15,21.1 MiB,8.80 MiB,8.82 MiB,97.5 MiB,,,169 MiB,164 MiB,161 MiB,164 MiB,301 MiB,297 MiB,93.1 MiB
2026-07-30 02:25:30,21.1 MiB,8.80 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,286 MiB,297 MiB,93.1 MiB
2026-07-30 02:25:45,19.0 MiB,8.64 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,286 MiB,297 MiB,93.1 MiB
2026-07-30 02:26:00,19.0 MiB,8.92 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,276 MiB,297 MiB,94.6 MiB
2026-07-30 02:26:15,18.4 MiB,8.44 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,274 MiB,297 MiB,94.6 MiB
2026-07-30 02:26:30,20.0 MiB,8.40 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,274 MiB,297 MiB,95.3 MiB
2026-07-30 02:26:45,14.5 MiB,8.75 MiB,8.82 MiB,97.5 MiB,,,170 MiB,164 MiB,161 MiB,164 MiB,275 MiB,297 MiB,96.7 MiB
2026-07-30 02:27:00,21.2 MiB,8.60 MiB,8.82 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,164 MiB,274 MiB,254 MiB,96.7 MiB
2026-07-30 02:27:15,17.3 MiB,8.46 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,254 MiB,96.7 MiB
2026-07-30 02:27:30,17.3 MiB,8.57 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,254 MiB,104 MiB
2026-07-30 02:27:45,18.5 MiB,8.61 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,254 MiB,104 MiB
2026-07-30 02:28:00,17.7 MiB,8.14 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,254 MiB,104 MiB
2026-07-30 02:28:15,17.7 MiB,8.14 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,254 MiB,104 MiB
2026-07-30 02:28:30,17.2 MiB,8.95 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,255 MiB,104 MiB
2026-07-30 02:28:45,17.0 MiB,8.51 MiB,8.20 MiB,97.5 MiB,,,148 MiB,95.1 MiB,156 MiB,109 MiB,274 MiB,255 MiB,122 MiB
2026-07-30 02:29:00,17.0 MiB,8.46 MiB,8.20 MiB,97.8 MiB,,,96.8 MiB,95.1 MiB,91.9 MiB,109 MiB,274 MiB,255 MiB,122 MiB
2026-07-30 02:29:15,18.3 MiB,8.50 MiB,8.20 MiB,97.8 MiB,,,97.4 MiB,91.9 MiB,91.9 MiB,89.7 MiB,274 MiB,179 MiB,122 MiB
2026-07-30 02:29:30,17.1 MiB,8.43 MiB,7.51 MiB,97.8 MiB,,,97.4 MiB,91.9 MiB,91.9 MiB,89.7 MiB,274 MiB,179 MiB,122 MiB
2026-07-30 02:29:45,21.0 MiB,8.27 MiB,7.51 MiB,98.2 MiB,,,97.4 MiB,91.9 MiB,91.9 MiB,89.7 MiB,274 MiB,179 MiB,122 MiB
2026-07-30 02:30:00,17.7 MiB,8.27 MiB,7.51 MiB,98.2 MiB,,,97.4 MiB,91.9 MiB,91.9 MiB,89.7 MiB,274 MiB,179 MiB,108 MiB
2026-07-30 02:30:15,21.5 MiB,8.71 MiB,7.51 MiB,98.2 MiB,,,98.7 MiB,91.9 MiB,91.9 MiB,89.7 MiB,274 MiB,179 MiB,108 MiB
2026-07-30 02:30:30,20.0 MiB,8.80 MiB,7.51 MiB,98.3 MiB,,,98.7 MiB,91.9 MiB,91.9 MiB,89.7 MiB,272 MiB,179 MiB,108 MiB
2026-07-30 02:30:45,18.2 MiB,8.51 MiB,7.51 MiB,98.6 MiB,,,99.3 MiB,91.9 MiB,91.9 MiB,89.7 MiB,272 MiB,179 MiB,108 MiB
2026-07-30 02:31:00,18.8 MiB,8.38 MiB,7.51 MiB,98.6 MiB,,,96.9 MiB,91.9 MiB,91.9 MiB,89.7 MiB,272 MiB,179 MiB,108 MiB
2026-07-30 02:31:15,17.7 MiB,8.25 MiB,7.39 MiB,98.6 MiB,,,96.9 MiB,91.6 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,108 MiB
2026-07-30 02:31:30,18.8 MiB,8.55 MiB,7.39 MiB,98.6 MiB,,,96.9 MiB,91.6 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,108 MiB
2026-07-30 02:31:45,17.1 MiB,8.36 MiB,7.39 MiB,98.5 MiB,,,96.9 MiB,91.6 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,108 MiB
2026-07-30 02:32:00,17.4 MiB,8.52 MiB,7.39 MiB,98.5 MiB,,,96.9 MiB,91.6 MiB,91.9 MiB,89.7 MiB,272 MiB,176 MiB,73.8 MiB
2026-07-30 02:32:15,17.4 MiB,8.55 MiB,7.39 MiB,98.6 MiB,,,97.5 MiB,91.6 MiB,91.9 MiB,89.7 MiB,272 MiB,176 MiB,73.8 MiB
2026-07-30 02:32:30,18.9 MiB,8.55 MiB,7.39 MiB,98.6 MiB,,,97.5 MiB,91.6 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,80.9 MiB
2026-07-30 02:32:45,18.6 MiB,8.66 MiB,7.39 MiB,98.0 MiB,,,97.5 MiB,91.6 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,81.0 MiB
2026-07-30 02:33:00,19.1 MiB,8.66 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,81.1 MiB
2026-07-30 02:33:15,22.2 MiB,8.32 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.3 MiB
2026-07-30 02:33:30,19.7 MiB,8.60 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.5 MiB
2026-07-30 02:33:45,19.7 MiB,8.31 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,89.0 MiB
2026-07-30 02:34:00,18.5 MiB,8.31 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,95.3 MiB
2026-07-30 02:34:15,18.5 MiB,8.08 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,95.3 MiB
2026-07-30 02:34:30,19.6 MiB,8.23 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,96.2 MiB
2026-07-30 02:34:45,19.5 MiB,8.04 MiB,7.39 MiB,98.0 MiB,,,98.2 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,96.2 MiB
2026-07-30 02:35:00,20.4 MiB,8.00 MiB,7.39 MiB,98.0 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,102 MiB
2026-07-30 02:35:15,18.0 MiB,8.01 MiB,7.39 MiB,98.0 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,272 MiB,177 MiB,103 MiB
2026-07-30 02:35:30,19.3 MiB,8.23 MiB,7.39 MiB,98.0 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,272 MiB,177 MiB,103 MiB
2026-07-30 02:35:45,17.8 MiB,8.65 MiB,7.39 MiB,98.0 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,272 MiB,177 MiB,103 MiB
2026-07-30 02:36:00,18.2 MiB,7.95 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,103 MiB
2026-07-30 02:36:15,21.3 MiB,8.17 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,103 MiB
2026-07-30 02:36:30,18.7 MiB,7.91 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,103 MiB
2026-07-30 02:36:45,18.7 MiB,8.04 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,177 MiB,103 MiB
2026-07-30 02:37:00,18.7 MiB,8.22 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,103 MiB
2026-07-30 02:37:15,18.7 MiB,8.22 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,103 MiB
2026-07-30 02:37:30,19.2 MiB,8.13 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,103 MiB
2026-07-30 02:37:45,17.7 MiB,7.89 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.4 MiB
2026-07-30 02:38:00,17.7 MiB,7.95 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.5 MiB
2026-07-30 02:38:15,19.3 MiB,8.11 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.5 MiB
2026-07-30 02:38:30,19.6 MiB,7.99 MiB,7.39 MiB,97.9 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.5 MiB
2026-07-30 02:38:45,18.8 MiB,7.88 MiB,7.39 MiB,98.0 MiB,,,96.8 MiB,91.5 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,88.5 MiB
2026-07-30 02:39:00,20.0 MiB,7.73 MiB,7.39 MiB,98.0 MiB,,,96.6 MiB,91.3 MiB,91.9 MiB,89.7 MiB,271 MiB,176 MiB,89.2 MiB
2026-07-30 02:39:15,20.0 MiB,7.75 MiB,7.39 MiB,98.0 MiB,,,96.6 MiB,91.3 MiB,91.9 MiB,89.4 MiB,271 MiB,176 MiB,89.2 MiB
2026-07-30 02:39:30,17.2 MiB,7.88 MiB,7.39 MiB,98.0 MiB,,,96.6 MiB,91.3 MiB,91.9 MiB,89.4 MiB,271 MiB,176 MiB,89.9 MiB
2026-07-30 02:39:45,18.5 MiB,8.21 MiB,7.39 MiB,98.0 MiB,,,96.6 MiB,91.3 MiB,91.9 MiB,89.4 MiB,271 MiB,176 MiB,91.7 MiB
2026-07-30 02:40:00,21.7 MiB,7.83 MiB,7.39 MiB,98.0 MiB,,,96.6 MiB,91.3 MiB,91.9 MiB,89.4 MiB,271 MiB,176 MiB,97.3 MiB
