"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:07:30,0.749%,19.9%,19.0%,0.597%,55.8%,58.6%,51.3%,59.1%,155%,86.3%,0.201%
2026-07-30 02:07:45,0.751%,20.7%,20.1%,0.599%,51.4%,56.1%,49.4%,56.5%,154%,82.7%,0.204%
2026-07-30 02:08:00,0.751%,19.7%,18.9%,0.606%,50.8%,53.4%,48.3%,53.4%,144%,78.6%,0.214%
2026-07-30 02:08:15,0.779%,18.4%,17.8%,0.624%,48.1%,50.4%,45.5%,50.6%,137%,74.4%,0.213%
2026-07-30 02:08:30,0.771%,17.5%,16.7%,0.632%,45.1%,45.3%,43.1%,47.5%,129%,70.9%,0.204%
2026-07-30 02:08:45,0.773%,16.2%,15.7%,0.683%,42.7%,44.4%,40.5%,44.6%,122%,67.0%,0.215%
2026-07-30 02:09:00,0.775%,15.5%,14.9%,0.703%,39.9%,41.5%,38.1%,41.8%,115%,63.2%,0.211%
2026-07-30 02:09:15,0.793%,14.8%,13.7%,0.725%,37.2%,39.6%,36.6%,39.3%,110%,60.2%,0.216%
2026-07-30 02:09:30,0.799%,14.0%,13.4%,0.718%,35.4%,37.0%,34.5%,36.3%,102%,56.6%,0.225%
2026-07-30 02:09:45,0.742%,13.1%,12.7%,0.718%,34.1%,35.6%,31.9%,35.2%,97.4%,52.8%,0.223%
2026-07-30 02:10:00,0.805%,12.4%,12.0%,0.747%,32.7%,32.5%,32.2%,33.3%,92.8%,50.7%,0.231%
2026-07-30 02:10:15,0.829%,11.8%,11.4%,0.765%,31.9%,31.6%,31.2%,31.8%,88.1%,48.0%,0.232%
2026-07-30 02:10:30,0.841%,11.3%,10.8%,0.771%,30.4%,30.2%,30.3%,30.3%,83.0%,45.2%,0.234%
2026-07-30 02:10:45,0.871%,10.8%,10.4%,0.790%,28.9%,28.7%,29.1%,28.5%,78.4%,42.5%,0.232%
2026-07-30 02:11:00,0.890%,10.2%,9.78%,0.761%,27.9%,26.5%,28.0%,26.7%,74.0%,36.3%,0.236%
2026-07-30 02:11:15,0.892%,9.42%,9.25%,0.821%,26.4%,24.9%,27.0%,23.9%,68.7%,35.0%,0.224%
