"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 07:45:45,0.714%,20.7%,20.2%,0.596%,66.1%,50.9%,48.6%,51.2%,154%,86.0%,0.204%
2026-07-30 07:46:00,0.730%,20.4%,19.9%,0.605%,67.2%,49.2%,51.2%,51.1%,147%,77.1%,0.194%
2026-07-30 07:46:15,0.786%,18.9%,18.7%,0.635%,63.3%,46.5%,48.0%,47.5%,139%,76.1%,0.220%
2026-07-30 07:46:30,0.749%,17.9%,17.4%,0.609%,60.7%,44.3%,45.4%,43.3%,132%,72.2%,0.206%
2026-07-30 07:46:45,0.762%,16.9%,16.4%,0.633%,57.0%,41.5%,43.1%,42.5%,124%,68.3%,0.209%
2026-07-30 07:47:00,0.768%,15.1%,15.5%,0.679%,54.3%,39.0%,40.5%,40.0%,117%,64.4%,0.210%
2026-07-30 07:47:15,0.759%,14.8%,14.5%,0.702%,50.4%,36.4%,37.9%,37.3%,110%,60.4%,0.209%
2026-07-30 07:47:30,0.814%,14.2%,13.9%,0.716%,48.9%,35.2%,36.5%,36.1%,102%,56.7%,0.232%
2026-07-30 07:47:45,0.834%,13.2%,13.2%,0.741%,45.4%,32.8%,34.5%,33.6%,97.2%,49.0%,0.227%
2026-07-30 07:48:00,0.827%,12.5%,12.5%,0.739%,43.3%,31.3%,33.0%,32.4%,92.2%,50.3%,0.247%
2026-07-30 07:48:15,0.836%,11.9%,11.9%,0.767%,41.7%,28.1%,30.0%,29.4%,88.0%,47.9%,0.251%
2026-07-30 07:48:30,0.855%,11.1%,11.2%,0.760%,39.8%,28.8%,30.3%,29.9%,83.4%,43.5%,0.250%
2026-07-30 07:48:45,0.859%,11.0%,10.7%,0.802%,38.0%,28.6%,29.0%,28.9%,73.1%,43.5%,0.245%
2026-07-30 07:49:00,0.873%,9.91%,9.67%,0.786%,33.9%,27.1%,27.9%,26.2%,72.6%,40.8%,0.248%
2026-07-30 07:49:15,0.907%,9.24%,9.44%,0.833%,33.3%,25.9%,26.4%,26.3%,68.1%,38.4%,0.249%
2026-07-30 07:49:30,0.872%,8.91%,7.68%,0.838%,29.3%,24.6%,25.4%,25.2%,59.7%,35.6%,0.246%
2026-07-30 07:49:45,0.913%,8.22%,8.37%,0.797%,29.4%,23.0%,23.5%,24.0%,58.7%,29.2%,0.252%
2026-07-30 07:50:00,0.928%,7.35%,7.52%,0.847%,24.7%,22.1%,22.3%,23.1%,53.6%,30.1%,0.257%
2026-07-30 07:50:15,0.907%,7.17%,6.58%,0.868%,25.0%,20.5%,21.0%,21.2%,49.2%,27.0%,0.258%
