"Time","awesome_agnesi","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hungry_mcclintock","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 08:07:45,,19.5 MiB,8.03 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,113 MiB
2026-07-30 08:08:00,,19.1 MiB,7.72 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,114 MiB
2026-07-30 08:08:15,,21.4 MiB,8.37 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,114 MiB
2026-07-30 08:08:30,,19.3 MiB,7.98 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,114 MiB
2026-07-30 08:08:45,,17.4 MiB,7.98 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,172 MiB,114 MiB
2026-07-30 08:09:00,,18.7 MiB,8.20 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,172 MiB,119 MiB
2026-07-30 08:09:15,,19.7 MiB,7.82 MiB,7.42 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,172 MiB,119 MiB
2026-07-30 08:09:30,,22.3 MiB,8.03 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,119 MiB
2026-07-30 08:09:45,,18.4 MiB,7.85 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,260 MiB,170 MiB,119 MiB
2026-07-30 08:10:00,,19.2 MiB,7.85 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:10:15,,19.2 MiB,8 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:10:30,,18.6 MiB,8 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:10:45,,18.6 MiB,8.27 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:11:00,,18.4 MiB,8.38 MiB,7.29 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,111 MiB
2026-07-30 08:11:15,,18.4 MiB,7.74 MiB,7.29 MiB,98.7 MiB,,97.6 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,111 MiB
2026-07-30 08:11:30,,18.7 MiB,7.96 MiB,7.29 MiB,98.7 MiB,,97.6 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,169 MiB,111 MiB
2026-07-30 08:11:45,,18.7 MiB,8.11 MiB,7.29 MiB,98.7 MiB,,97.6 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,169 MiB,111 MiB
2026-07-30 08:12:00,,19.5 MiB,7.91 MiB,7.29 MiB,98.7 MiB,,97.9 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,169 MiB,112 MiB
2026-07-30 08:12:15,,18.3 MiB,8.23 MiB,7.29 MiB,98.7 MiB,,97.9 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,169 MiB,110 MiB
2026-07-30 08:12:30,,18.2 MiB,7.80 MiB,7.29 MiB,98.7 MiB,,98.5 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:12:45,,18.5 MiB,7.60 MiB,7.29 MiB,98.7 MiB,,99.1 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,170 MiB,110 MiB
2026-07-30 08:13:00,,18.9 MiB,7.88 MiB,7.29 MiB,98.7 MiB,,99.1 MiB,90.3 MiB,90.7 MiB,91.5 MiB,260 MiB,170 MiB,110 MiB
2026-07-30 08:13:15,,18.9 MiB,7.49 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,110 MiB
2026-07-30 08:13:30,,17.7 MiB,8.47 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,110 MiB
2026-07-30 08:13:45,,18.7 MiB,7.71 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,110 MiB
2026-07-30 08:14:00,,18.7 MiB,7.93 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.3 MiB
2026-07-30 08:14:15,,22.8 MiB,7.78 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.3 MiB
2026-07-30 08:14:30,,21.2 MiB,7.76 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.3 MiB
2026-07-30 08:14:45,,20.3 MiB,7.56 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.3 MiB
2026-07-30 08:15:00,,18.4 MiB,8.15 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.4 MiB
2026-07-30 08:15:15,,18.6 MiB,7.84 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.4 MiB
2026-07-30 08:15:30,,18.8 MiB,7.73 MiB,7.29 MiB,98.7 MiB,,97.8 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.4 MiB
2026-07-30 08:15:45,,17.9 MiB,7.95 MiB,7.29 MiB,98.7 MiB,,98.4 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.4 MiB
2026-07-30 08:16:00,,19.3 MiB,7.86 MiB,7.29 MiB,98.7 MiB,,99.0 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,99.4 MiB
2026-07-30 08:16:15,,22.6 MiB,7.55 MiB,7.29 MiB,98.7 MiB,,99.0 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,103 MiB
2026-07-30 08:16:30,,18.1 MiB,7.55 MiB,7.29 MiB,98.7 MiB,,99.0 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,103 MiB
2026-07-30 08:16:45,,18.1 MiB,7.56 MiB,7.29 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,103 MiB
2026-07-30 08:17:00,,19.1 MiB,7.71 MiB,7.29 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,109 MiB
2026-07-30 08:17:15,,17.7 MiB,7.68 MiB,7.32 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,115 MiB
2026-07-30 08:17:30,,20.4 MiB,7.86 MiB,7.32 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,115 MiB
2026-07-30 08:17:45,,20.3 MiB,7.85 MiB,7.32 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,116 MiB
2026-07-30 08:18:00,,21.7 MiB,7.84 MiB,7.32 MiB,98.7 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,116 MiB
2026-07-30 08:18:15,,18.7 MiB,7.76 MiB,7.32 MiB,98.7 MiB,,101 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,116 MiB
2026-07-30 08:18:30,,18.7 MiB,7.76 MiB,7.32 MiB,98.7 MiB,,101 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,116 MiB
2026-07-30 08:18:45,,18.5 MiB,7.87 MiB,7.32 MiB,99.0 MiB,,101 MiB,90.3 MiB,90.7 MiB,91.5 MiB,261 MiB,168 MiB,116 MiB
2026-07-30 08:19:00,,20.8 MiB,7.63 MiB,7.32 MiB,99.0 MiB,,150 MiB,140 MiB,141 MiB,143 MiB,262 MiB,249 MiB,116 MiB
2026-07-30 08:19:15,,20.8 MiB,7.54 MiB,8.41 MiB,99.0 MiB,,150 MiB,143 MiB,147 MiB,149 MiB,271 MiB,249 MiB,116 MiB
2026-07-30 08:19:30,,19.0 MiB,7.79 MiB,8.34 MiB,99.0 MiB,,150 MiB,152 MiB,147 MiB,149 MiB,272 MiB,265 MiB,116 MiB
2026-07-30 08:19:45,,22.4 MiB,7.79 MiB,8.35 MiB,99.0 MiB,,150 MiB,149 MiB,147 MiB,149 MiB,269 MiB,265 MiB,116 MiB
2026-07-30 08:20:00,,19.5 MiB,7.64 MiB,8.02 MiB,99.0 MiB,,152 MiB,149 MiB,148 MiB,149 MiB,269 MiB,265 MiB,116 MiB
2026-07-30 08:20:15,,19.5 MiB,7.64 MiB,8.02 MiB,99.0 MiB,,159 MiB,154 MiB,148 MiB,149 MiB,269 MiB,266 MiB,113 MiB
2026-07-30 08:20:30,,18.5 MiB,7.75 MiB,8.54 MiB,99.0 MiB,,151 MiB,149 MiB,148 MiB,151 MiB,270 MiB,267 MiB,113 MiB
2026-07-30 08:20:45,,19.5 MiB,7.82 MiB,8.52 MiB,99.0 MiB,,151 MiB,150 MiB,149 MiB,149 MiB,270 MiB,267 MiB,113 MiB
2026-07-30 08:21:00,,19.5 MiB,7.61 MiB,8.01 MiB,99.0 MiB,,156 MiB,150 MiB,149 MiB,149 MiB,271 MiB,267 MiB,111 MiB
2026-07-30 08:21:15,,17.9 MiB,8.09 MiB,8.09 MiB,98.8 MiB,,152 MiB,151 MiB,148 MiB,152 MiB,276 MiB,271 MiB,111 MiB
2026-07-30 08:21:30,,19.5 MiB,8.09 MiB,7.96 MiB,98.8 MiB,,152 MiB,151 MiB,148 MiB,150 MiB,275 MiB,271 MiB,111 MiB
