"Time","awesome_agnesi","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hungry_mcclintock","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 08:30:00,,19.6 MiB,8.08 MiB,8.25 MiB,98.9 MiB,,177 MiB,171 MiB,169 MiB,174 MiB,289 MiB,288 MiB,114 MiB
2026-07-30 08:30:15,,19.6 MiB,8.52 MiB,8.60 MiB,98.9 MiB,,173 MiB,178 MiB,173 MiB,174 MiB,314 MiB,291 MiB,114 MiB
2026-07-30 08:30:30,,22.8 MiB,8.34 MiB,8.50 MiB,98.9 MiB,,180 MiB,171 MiB,173 MiB,171 MiB,302 MiB,294 MiB,114 MiB
2026-07-30 08:30:45,,18 MiB,8.44 MiB,9.07 MiB,99.0 MiB,,174 MiB,169 MiB,168 MiB,171 MiB,300 MiB,296 MiB,115 MiB
2026-07-30 08:31:00,,19.8 MiB,8.44 MiB,9.07 MiB,99.0 MiB,,174 MiB,172 MiB,162 MiB,169 MiB,301 MiB,300 MiB,115 MiB
2026-07-30 08:31:15,,22.8 MiB,9.10 MiB,9.04 MiB,98.7 MiB,,176 MiB,170 MiB,166 MiB,171 MiB,300 MiB,297 MiB,115 MiB
2026-07-30 08:31:30,,22.8 MiB,8.43 MiB,8.98 MiB,98.7 MiB,,176 MiB,170 MiB,166 MiB,171 MiB,309 MiB,297 MiB,115 MiB
2026-07-30 08:31:45,,22.3 MiB,8.51 MiB,8.98 MiB,98.7 MiB,,187 MiB,167 MiB,164 MiB,171 MiB,297 MiB,297 MiB,115 MiB
2026-07-30 08:32:00,,21.5 MiB,8.51 MiB,9.01 MiB,98.7 MiB,,174 MiB,167 MiB,176 MiB,167 MiB,294 MiB,294 MiB,115 MiB
2026-07-30 08:32:15,,19.6 MiB,8.53 MiB,8.77 MiB,98.7 MiB,,173 MiB,174 MiB,176 MiB,168 MiB,294 MiB,299 MiB,115 MiB
2026-07-30 08:32:30,,21.4 MiB,8.68 MiB,8.54 MiB,98.7 MiB,,175 MiB,167 MiB,168 MiB,173 MiB,301 MiB,302 MiB,115 MiB
2026-07-30 08:32:45,,19.4 MiB,8.29 MiB,8.38 MiB,98.7 MiB,,175 MiB,175 MiB,167 MiB,169 MiB,308 MiB,306 MiB,115 MiB
2026-07-30 08:33:00,,17.8 MiB,8.41 MiB,8.70 MiB,98.7 MiB,,168 MiB,166 MiB,166 MiB,170 MiB,311 MiB,306 MiB,115 MiB
2026-07-30 08:33:15,,18.6 MiB,8.41 MiB,8.47 MiB,98.8 MiB,,176 MiB,172 MiB,166 MiB,170 MiB,296 MiB,300 MiB,115 MiB
2026-07-30 08:33:30,,22.9 MiB,7.92 MiB,9.72 MiB,98.8 MiB,,176 MiB,178 MiB,166 MiB,171 MiB,296 MiB,300 MiB,115 MiB
2026-07-30 08:33:45,,20.6 MiB,9.00 MiB,9.72 MiB,98.7 MiB,,178 MiB,170 MiB,168 MiB,172 MiB,294 MiB,301 MiB,95.5 MiB
2026-07-30 08:34:00,,20.6 MiB,8.40 MiB,8.60 MiB,98.7 MiB,,178 MiB,171 MiB,169 MiB,175 MiB,314 MiB,302 MiB,99.3 MiB
