"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","romantic_blackwell"
2026-07-29 01:17:15,17.4 MiB,7.87 MiB,7.50 MiB,111 MiB,120 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,179 MiB,112 MiB,
2026-07-29 01:17:30,18.2 MiB,8.35 MiB,7.50 MiB,111 MiB,120 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,179 MiB,112 MiB,
2026-07-29 01:17:45,20.7 MiB,7.93 MiB,7.50 MiB,111 MiB,120 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,179 MiB,112 MiB,
2026-07-29 01:18:00,20.7 MiB,8.00 MiB,7.50 MiB,111 MiB,121 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,179 MiB,113 MiB,
2026-07-29 01:18:15,18.6 MiB,7.92 MiB,7.50 MiB,111 MiB,121 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,179 MiB,113 MiB,
2026-07-29 01:18:30,18.6 MiB,7.90 MiB,7.50 MiB,110 MiB,122 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,179 MiB,113 MiB,
2026-07-29 01:18:45,17.8 MiB,7.68 MiB,7.50 MiB,110 MiB,110 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:19:00,17.8 MiB,8.03 MiB,7.50 MiB,110 MiB,110 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:19:15,18.4 MiB,8.36 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:19:30,22.6 MiB,7.90 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:19:45,17.6 MiB,7.90 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,111 MiB,
2026-07-29 01:20:00,17.5 MiB,8.36 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,112 MiB,
2026-07-29 01:20:15,17.2 MiB,7.84 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.7 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:20:30,17.9 MiB,8.27 MiB,7.50 MiB,110 MiB,111 MiB,98.3 MiB,98.8 MiB,95.1 MiB,266 MiB,178 MiB,113 MiB,
2026-07-29 01:20:45,17.7 MiB,8.27 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,266 MiB,179 MiB,113 MiB,
2026-07-29 01:21:00,20.2 MiB,8.08 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,266 MiB,179 MiB,113 MiB,
2026-07-29 01:21:15,20.2 MiB,8.04 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,266 MiB,179 MiB,113 MiB,
2026-07-29 01:21:30,20.0 MiB,7.59 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,179 MiB,113 MiB,
2026-07-29 01:21:45,17.4 MiB,7.59 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,179 MiB,101 MiB,
2026-07-29 01:22:00,16.9 MiB,7.92 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,179 MiB,101 MiB,
2026-07-29 01:22:15,18.4 MiB,7.89 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,179 MiB,103 MiB,
2026-07-29 01:22:30,17.2 MiB,7.73 MiB,7.50 MiB,110 MiB,106 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,179 MiB,103 MiB,
2026-07-29 01:22:45,17.2 MiB,8.09 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,103 MiB,
2026-07-29 01:23:00,19.2 MiB,7.96 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,103 MiB,
2026-07-29 01:23:15,19.5 MiB,7.75 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,103 MiB,
2026-07-29 01:23:30,18.0 MiB,8.09 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,266 MiB,178 MiB,103 MiB,
2026-07-29 01:23:45,18.0 MiB,8.40 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,101 MiB,
2026-07-29 01:24:00,18.1 MiB,8.40 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,101 MiB,
2026-07-29 01:24:15,19.4 MiB,7.94 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.8 MiB,95.1 MiB,265 MiB,178 MiB,101 MiB,
2026-07-29 01:24:30,21.3 MiB,8.09 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.6 MiB,95.1 MiB,265 MiB,178 MiB,101 MiB,
2026-07-29 01:24:45,21.3 MiB,8.07 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.6 MiB,95.1 MiB,265 MiB,177 MiB,101 MiB,
2026-07-29 01:25:00,18.7 MiB,8.07 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.6 MiB,95.1 MiB,265 MiB,177 MiB,102 MiB,
2026-07-29 01:25:15,18.7 MiB,7.91 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.7 MiB,95.1 MiB,265 MiB,177 MiB,102 MiB,
2026-07-29 01:25:30,18.7 MiB,7.95 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.7 MiB,95.1 MiB,265 MiB,178 MiB,102 MiB,
2026-07-29 01:25:45,17.6 MiB,8.05 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.7 MiB,95.1 MiB,265 MiB,178 MiB,94.4 MiB,
2026-07-29 01:26:00,19.4 MiB,8.26 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.7 MiB,95.1 MiB,265 MiB,178 MiB,94.4 MiB,
2026-07-29 01:26:15,19.4 MiB,7.99 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.7 MiB,95.1 MiB,263 MiB,178 MiB,97.8 MiB,
2026-07-29 01:26:30,17.3 MiB,8.16 MiB,7.50 MiB,110 MiB,107 MiB,98.3 MiB,98.2 MiB,95.1 MiB,263 MiB,178 MiB,97.8 MiB,
2026-07-29 01:26:45,18.8 MiB,7.80 MiB,7.50 MiB,109 MiB,107 MiB,98.1 MiB,98.2 MiB,95.0 MiB,263 MiB,177 MiB,97.8 MiB,
2026-07-29 01:27:00,17.2 MiB,7.55 MiB,7.50 MiB,99.6 MiB,107 MiB,98.1 MiB,98.2 MiB,95.0 MiB,263 MiB,177 MiB,97.8 MiB,
2026-07-29 01:27:15,18.2 MiB,7.94 MiB,7.50 MiB,99.6 MiB,107 MiB,98.1 MiB,98.2 MiB,95.0 MiB,263 MiB,177 MiB,98.6 MiB,
2026-07-29 01:27:30,17.4 MiB,7.70 MiB,7.50 MiB,99.6 MiB,107 MiB,98.1 MiB,98.2 MiB,95.0 MiB,263 MiB,177 MiB,99.3 MiB,
2026-07-29 01:27:45,21.5 MiB,8.23 MiB,7.50 MiB,99.6 MiB,107 MiB,97.4 MiB,98.2 MiB,95.0 MiB,263 MiB,177 MiB,99.5 MiB,
2026-07-29 01:28:00,20.3 MiB,7.68 MiB,7.46 MiB,99.2 MiB,107 MiB,97.4 MiB,98.2 MiB,94.4 MiB,263 MiB,177 MiB,99.5 MiB,
2026-07-29 01:28:15,17.5 MiB,7.70 MiB,7.46 MiB,99.2 MiB,107 MiB,103 MiB,104 MiB,94.4 MiB,269 MiB,177 MiB,99.5 MiB,
2026-07-29 01:28:30,17.5 MiB,7.70 MiB,8.69 MiB,99.2 MiB,155 MiB,123 MiB,104 MiB,104 MiB,269 MiB,253 MiB,99.5 MiB,
2026-07-29 01:28:45,17.6 MiB,7.81 MiB,8.69 MiB,99.3 MiB,174 MiB,153 MiB,122 MiB,129 MiB,284 MiB,275 MiB,99.5 MiB,
2026-07-29 01:29:00,18.2 MiB,8.20 MiB,8.71 MiB,99.3 MiB,174 MiB,162 MiB,159 MiB,140 MiB,285 MiB,279 MiB,99.5 MiB,
2026-07-29 01:29:15,14.3 MiB,7.54 MiB,8.21 MiB,99.3 MiB,183 MiB,162 MiB,166 MiB,165 MiB,286 MiB,283 MiB,106 MiB,
2026-07-29 01:29:30,17.7 MiB,7.54 MiB,9 MiB,99.2 MiB,187 MiB,172 MiB,172 MiB,165 MiB,287 MiB,283 MiB,106 MiB,
2026-07-29 01:29:45,21.0 MiB,7.85 MiB,8.15 MiB,99.2 MiB,182 MiB,172 MiB,171 MiB,170 MiB,288 MiB,283 MiB,106 MiB,
