"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","romantic_blackwell"
2026-07-29 01:38:15,17.5 MiB,7.95 MiB,8.09 MiB,99.3 MiB,182 MiB,174 MiB,184 MiB,178 MiB,306 MiB,300 MiB,102 MiB,
2026-07-29 01:38:30,17.5 MiB,7.97 MiB,7.94 MiB,99.3 MiB,180 MiB,172 MiB,176 MiB,178 MiB,306 MiB,300 MiB,102 MiB,
2026-07-29 01:38:45,18.5 MiB,8.02 MiB,7.96 MiB,99.3 MiB,183 MiB,171 MiB,176 MiB,173 MiB,308 MiB,303 MiB,102 MiB,
2026-07-29 01:39:00,21.8 MiB,7.93 MiB,8.69 MiB,99.3 MiB,191 MiB,171 MiB,171 MiB,175 MiB,316 MiB,307 MiB,102 MiB,
2026-07-29 01:39:15,17.2 MiB,7.77 MiB,7.77 MiB,99.3 MiB,182 MiB,187 MiB,178 MiB,175 MiB,316 MiB,307 MiB,102 MiB,
2026-07-29 01:39:30,18.5 MiB,8.46 MiB,7.77 MiB,99.3 MiB,193 MiB,176 MiB,181 MiB,171 MiB,301 MiB,297 MiB,90.8 MiB,
2026-07-29 01:39:45,16.1 MiB,7.71 MiB,8.17 MiB,99.3 MiB,187 MiB,176 MiB,181 MiB,186 MiB,304 MiB,292 MiB,91.6 MiB,
2026-07-29 01:40:00,16.1 MiB,8.23 MiB,9.22 MiB,99.3 MiB,183 MiB,173 MiB,168 MiB,173 MiB,308 MiB,294 MiB,92.4 MiB,
2026-07-29 01:40:15,19.7 MiB,8.09 MiB,9.22 MiB,99.3 MiB,199 MiB,180 MiB,173 MiB,179 MiB,304 MiB,297 MiB,92.4 MiB,
2026-07-29 01:40:30,17.7 MiB,8.71 MiB,8.27 MiB,99.4 MiB,199 MiB,170 MiB,172 MiB,168 MiB,304 MiB,300 MiB,92.7 MiB,
2026-07-29 01:40:45,18.0 MiB,8.71 MiB,8.27 MiB,99.4 MiB,192 MiB,182 MiB,177 MiB,182 MiB,305 MiB,304 MiB,93.6 MiB,
2026-07-29 01:41:00,18.0 MiB,8.14 MiB,8.39 MiB,99.3 MiB,200 MiB,181 MiB,176 MiB,182 MiB,315 MiB,308 MiB,93.7 MiB,
2026-07-29 01:41:15,20.1 MiB,8.12 MiB,8.70 MiB,99.3 MiB,200 MiB,182 MiB,177 MiB,176 MiB,320 MiB,296 MiB,93.7 MiB,
2026-07-29 01:41:30,17.8 MiB,8.19 MiB,8.70 MiB,99.3 MiB,193 MiB,185 MiB,178 MiB,180 MiB,320 MiB,292 MiB,93.9 MiB,
2026-07-29 01:41:45,17.8 MiB,8.56 MiB,7.88 MiB,99.4 MiB,190 MiB,174 MiB,185 MiB,180 MiB,310 MiB,298 MiB,94.0 MiB,
2026-07-29 01:42:00,20.8 MiB,8.28 MiB,8.26 MiB,99.3 MiB,190 MiB,175 MiB,185 MiB,185 MiB,303 MiB,298 MiB,94.0 MiB,
2026-07-29 01:42:15,20.8 MiB,8.28 MiB,8.14 MiB,99.3 MiB,190 MiB,180 MiB,176 MiB,174 MiB,309 MiB,302 MiB,94.1 MiB,
2026-07-29 01:42:30,17.6 MiB,8.46 MiB,7.82 MiB,99.4 MiB,192 MiB,188 MiB,183 MiB,176 MiB,310 MiB,304 MiB,94.1 MiB,
2026-07-29 01:42:45,17.5 MiB,8.03 MiB,8.61 MiB,99.4 MiB,192 MiB,173 MiB,182 MiB,171 MiB,310 MiB,304 MiB,94.1 MiB,
2026-07-29 01:43:00,18.4 MiB,8.14 MiB,9.06 MiB,99.4 MiB,197 MiB,173 MiB,182 MiB,178 MiB,310 MiB,307 MiB,94.1 MiB,
2026-07-29 01:43:15,17.2 MiB,8.27 MiB,8.04 MiB,99.4 MiB,197 MiB,176 MiB,192 MiB,174 MiB,307 MiB,300 MiB,94.2 MiB,
2026-07-29 01:43:30,17.0 MiB,8.44 MiB,8.50 MiB,99.4 MiB,196 MiB,186 MiB,183 MiB,184 MiB,316 MiB,300 MiB,92.3 MiB,
