"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 01:52:45,18.8 MiB,,,7.85 MiB,8.18 MiB,99.6 MiB,177 MiB,177 MiB,166 MiB,168 MiB,253 MiB,240 MiB,108 MiB
2026-07-29 01:53:00,20.1 MiB,,,7.46 MiB,7.71 MiB,99.6 MiB,182 MiB,177 MiB,171 MiB,168 MiB,256 MiB,240 MiB,109 MiB
2026-07-29 01:53:15,20.2 MiB,,,7.91 MiB,7.71 MiB,99.6 MiB,183 MiB,167 MiB,171 MiB,170 MiB,256 MiB,244 MiB,98.5 MiB
2026-07-29 01:53:30,17.5 MiB,,,7.72 MiB,7.96 MiB,99.6 MiB,183 MiB,168 MiB,166 MiB,173 MiB,258 MiB,245 MiB,100 MiB
2026-07-29 01:53:45,18.5 MiB,,,7.84 MiB,7.96 MiB,99.6 MiB,177 MiB,165 MiB,166 MiB,169 MiB,260 MiB,245 MiB,100 MiB
2026-07-29 01:54:00,19.6 MiB,,,7.84 MiB,7.68 MiB,99.6 MiB,177 MiB,165 MiB,171 MiB,171 MiB,262 MiB,246 MiB,100 MiB
2026-07-29 01:54:15,22.3 MiB,,,8.16 MiB,8.34 MiB,99.6 MiB,183 MiB,180 MiB,173 MiB,176 MiB,266 MiB,253 MiB,100 MiB
2026-07-29 01:54:30,21.0 MiB,,,8.00 MiB,8.21 MiB,99.6 MiB,176 MiB,175 MiB,167 MiB,176 MiB,274 MiB,257 MiB,107 MiB
2026-07-29 01:54:45,17.8 MiB,,,7.77 MiB,7.68 MiB,99.6 MiB,176 MiB,171 MiB,163 MiB,168 MiB,268 MiB,253 MiB,107 MiB
2026-07-29 01:55:00,19.2 MiB,,,7.77 MiB,8.92 MiB,99.6 MiB,173 MiB,178 MiB,164 MiB,172 MiB,275 MiB,253 MiB,104 MiB
2026-07-29 01:55:15,20.2 MiB,,,7.98 MiB,8.45 MiB,99.6 MiB,173 MiB,168 MiB,177 MiB,167 MiB,269 MiB,253 MiB,104 MiB
2026-07-29 01:55:30,18.0 MiB,,,8.06 MiB,7.95 MiB,99.5 MiB,176 MiB,168 MiB,171 MiB,167 MiB,274 MiB,258 MiB,104 MiB
2026-07-29 01:55:45,17.4 MiB,,,7.96 MiB,8.90 MiB,99.5 MiB,172 MiB,170 MiB,169 MiB,171 MiB,274 MiB,259 MiB,104 MiB
2026-07-29 01:56:00,17.7 MiB,,,8.17 MiB,8.90 MiB,99.5 MiB,173 MiB,170 MiB,169 MiB,172 MiB,272 MiB,256 MiB,104 MiB
2026-07-29 01:56:15,20.2 MiB,,,8.16 MiB,8.26 MiB,99.5 MiB,180 MiB,169 MiB,171 MiB,168 MiB,278 MiB,257 MiB,104 MiB
2026-07-29 01:56:30,18.6 MiB,,,8.30 MiB,7.29 MiB,99.8 MiB,179 MiB,167 MiB,173 MiB,166 MiB,278 MiB,266 MiB,104 MiB
2026-07-29 01:56:45,18.6 MiB,,,7.63 MiB,8.05 MiB,99.8 MiB,179 MiB,170 MiB,167 MiB,175 MiB,293 MiB,274 MiB,104 MiB
2026-07-29 01:57:00,17.3 MiB,,,8.55 MiB,9.13 MiB,99.8 MiB,187 MiB,170 MiB,172 MiB,170 MiB,293 MiB,277 MiB,104 MiB
2026-07-29 01:57:15,18.8 MiB,,,9 MiB,8.38 MiB,99.8 MiB,187 MiB,186 MiB,171 MiB,179 MiB,306 MiB,277 MiB,104 MiB
2026-07-29 01:57:30,20.8 MiB,,,8.58 MiB,8.12 MiB,99.8 MiB,181 MiB,168 MiB,171 MiB,174 MiB,286 MiB,285 MiB,104 MiB
2026-07-29 01:57:45,20.8 MiB,,,9.29 MiB,8.79 MiB,99.8 MiB,204 MiB,182 MiB,178 MiB,180 MiB,292 MiB,279 MiB,104 MiB
2026-07-29 01:58:00,20.9 MiB,,,9.29 MiB,8.79 MiB,99.8 MiB,181 MiB,186 MiB,179 MiB,165 MiB,296 MiB,283 MiB,104 MiB
2026-07-29 01:58:15,17.8 MiB,,,8.92 MiB,8.65 MiB,99.8 MiB,184 MiB,176 MiB,167 MiB,165 MiB,302 MiB,283 MiB,104 MiB
2026-07-29 01:58:30,17.8 MiB,,,8.12 MiB,8.38 MiB,99.7 MiB,178 MiB,180 MiB,167 MiB,180 MiB,295 MiB,287 MiB,105 MiB
2026-07-29 01:58:45,18.8 MiB,,,9.27 MiB,8.38 MiB,99.7 MiB,188 MiB,170 MiB,171 MiB,180 MiB,295 MiB,290 MiB,105 MiB
2026-07-29 01:59:00,20.1 MiB,,,9.27 MiB,8.50 MiB,99.6 MiB,175 MiB,174 MiB,181 MiB,174 MiB,318 MiB,290 MiB,105 MiB
2026-07-29 01:59:15,19.9 MiB,,,8.56 MiB,8.55 MiB,99.6 MiB,191 MiB,166 MiB,179 MiB,174 MiB,318 MiB,285 MiB,105 MiB
2026-07-29 01:59:30,18.2 MiB,,,8.79 MiB,8.55 MiB,99.6 MiB,178 MiB,176 MiB,178 MiB,176 MiB,302 MiB,286 MiB,98.3 MiB
2026-07-29 01:59:45,19.6 MiB,,,8.54 MiB,7.92 MiB,99.6 MiB,191 MiB,176 MiB,178 MiB,178 MiB,302 MiB,287 MiB,98.3 MiB
2026-07-29 02:00:00,19.6 MiB,,,8.70 MiB,7.92 MiB,99.6 MiB,186 MiB,171 MiB,172 MiB,176 MiB,316 MiB,287 MiB,98.3 MiB
2026-07-29 02:00:15,20.8 MiB,,,9.10 MiB,8.77 MiB,99.6 MiB,179 MiB,164 MiB,170 MiB,174 MiB,303 MiB,291 MiB,98.3 MiB
2026-07-29 02:00:30,19.1 MiB,,,8.57 MiB,8.77 MiB,99.6 MiB,192 MiB,178 MiB,176 MiB,178 MiB,316 MiB,296 MiB,98.4 MiB
2026-07-29 02:00:45,17.8 MiB,,,8.45 MiB,8.95 MiB,99.6 MiB,179 MiB,173 MiB,183 MiB,174 MiB,326 MiB,301 MiB,98.7 MiB
2026-07-29 02:01:00,20.2 MiB,,,8.45 MiB,9.84 MiB,99.6 MiB,179 MiB,178 MiB,172 MiB,176 MiB,326 MiB,293 MiB,98.7 MiB
2026-07-29 02:01:15,20.2 MiB,,,9.24 MiB,9.74 MiB,99.6 MiB,204 MiB,178 MiB,172 MiB,176 MiB,307 MiB,293 MiB,94.3 MiB
2026-07-29 02:01:30,19.7 MiB,,,8.85 MiB,9.74 MiB,99.6 MiB,205 MiB,178 MiB,188 MiB,176 MiB,307 MiB,293 MiB,94.3 MiB
2026-07-29 02:01:45,18.3 MiB,,,8.83 MiB,9.74 MiB,99.6 MiB,205 MiB,178 MiB,188 MiB,176 MiB,275 MiB,293 MiB,94.3 MiB
2026-07-29 02:02:00,17.9 MiB,,,8.73 MiB,9.74 MiB,99.6 MiB,206 MiB,178 MiB,188 MiB,176 MiB,275 MiB,293 MiB,94.4 MiB
2026-07-29 02:02:15,18.0 MiB,,,8.73 MiB,9.74 MiB,99.6 MiB,206 MiB,178 MiB,188 MiB,176 MiB,275 MiB,293 MiB,94.4 MiB
2026-07-29 02:02:30,17.8 MiB,,,8.93 MiB,9.74 MiB,99.6 MiB,206 MiB,178 MiB,188 MiB,176 MiB,276 MiB,293 MiB,94.4 MiB
2026-07-29 02:02:45,17.8 MiB,,,8.65 MiB,9.74 MiB,99.6 MiB,207 MiB,178 MiB,188 MiB,176 MiB,275 MiB,293 MiB,94.4 MiB
2026-07-29 02:03:00,18.5 MiB,,,8.66 MiB,9.74 MiB,99.6 MiB,207 MiB,146 MiB,145 MiB,164 MiB,275 MiB,293 MiB,94.9 MiB
2026-07-29 02:03:15,18.5 MiB,,,8.35 MiB,9.74 MiB,99.6 MiB,165 MiB,146 MiB,145 MiB,164 MiB,276 MiB,199 MiB,91.0 MiB
2026-07-29 02:03:30,19.0 MiB,,,8.35 MiB,9.12 MiB,99.6 MiB,166 MiB,146 MiB,145 MiB,164 MiB,276 MiB,199 MiB,91.0 MiB
2026-07-29 02:03:45,18.6 MiB,,,8.55 MiB,9.12 MiB,99.6 MiB,166 MiB,146 MiB,145 MiB,164 MiB,275 MiB,199 MiB,91.0 MiB
2026-07-29 02:04:00,18.6 MiB,,,8.80 MiB,9.12 MiB,99.6 MiB,166 MiB,146 MiB,145 MiB,164 MiB,275 MiB,199 MiB,97.3 MiB
2026-07-29 02:04:15,19.5 MiB,,,8.59 MiB,9.12 MiB,99.6 MiB,166 MiB,146 MiB,145 MiB,164 MiB,275 MiB,199 MiB,97.4 MiB
2026-07-29 02:04:30,18.2 MiB,,,8.29 MiB,9.12 MiB,99.6 MiB,166 MiB,146 MiB,145 MiB,164 MiB,275 MiB,199 MiB,97.5 MiB
2026-07-29 02:04:45,18.4 MiB,,,8.45 MiB,9.12 MiB,99.6 MiB,167 MiB,146 MiB,145 MiB,164 MiB,275 MiB,199 MiB,97.6 MiB
2026-07-29 02:05:00,18.6 MiB,,,8.43 MiB,9.12 MiB,99.6 MiB,114 MiB,146 MiB,145 MiB,96.6 MiB,275 MiB,199 MiB,97.9 MiB
2026-07-29 02:05:15,21.8 MiB,,,8.47 MiB,9.12 MiB,99.6 MiB,114 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,174 MiB,97.9 MiB
2026-07-29 02:05:30,19.1 MiB,,,8.16 MiB,7.84 MiB,99.6 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,174 MiB,98.1 MiB
2026-07-29 02:05:45,19.3 MiB,,,8.16 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,174 MiB,98.2 MiB
2026-07-29 02:06:00,17.3 MiB,,,8.13 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,174 MiB,98.3 MiB
2026-07-29 02:06:15,18.5 MiB,,,8.23 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,175 MiB,98.3 MiB
2026-07-29 02:06:30,17.9 MiB,,,8.31 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,275 MiB,175 MiB,98.4 MiB
2026-07-29 02:06:45,19.1 MiB,,,8.31 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,175 MiB,98.4 MiB
2026-07-29 02:07:00,19.4 MiB,,,7.95 MiB,7.84 MiB,99.7 MiB,115 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,98.5 MiB
2026-07-29 02:07:15,20.1 MiB,,,7.99 MiB,7.84 MiB,99.7 MiB,107 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,103 MiB
2026-07-29 02:07:30,17.7 MiB,,,7.96 MiB,7.53 MiB,99.7 MiB,107 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,103 MiB
2026-07-29 02:07:45,18.4 MiB,,,7.96 MiB,7.53 MiB,99.7 MiB,107 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,103 MiB
2026-07-29 02:08:00,19.6 MiB,,,7.92 MiB,7.53 MiB,99.7 MiB,107 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,103 MiB
2026-07-29 02:08:15,19.6 MiB,,,7.92 MiB,7.53 MiB,99.7 MiB,108 MiB,95.9 MiB,94.7 MiB,96.6 MiB,273 MiB,174 MiB,103 MiB
