"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 02:16:15,18.6 MiB,,,7.76 MiB,7.53 MiB,99.7 MiB,106 MiB,95.9 MiB,94.7 MiB,96.6 MiB,270 MiB,172 MiB,104 MiB
2026-07-29 02:16:30,18.4 MiB,,,7.93 MiB,7.53 MiB,99.7 MiB,106 MiB,95.9 MiB,94.7 MiB,96.6 MiB,270 MiB,172 MiB,123 MiB
2026-07-29 02:16:45,22.9 MiB,,,8.07 MiB,8.73 MiB,99.7 MiB,113 MiB,99.9 MiB,94.7 MiB,96.6 MiB,270 MiB,172 MiB,123 MiB
2026-07-29 02:17:00,20.9 MiB,,,8.07 MiB,8.73 MiB,99.7 MiB,113 MiB,123 MiB,127 MiB,119 MiB,290 MiB,266 MiB,123 MiB
2026-07-29 02:17:15,20.4 MiB,,,8.23 MiB,8.35 MiB,100 MiB,156 MiB,141 MiB,127 MiB,147 MiB,290 MiB,266 MiB,123 MiB
2026-07-29 02:17:30,18.4 MiB,,,8.02 MiB,8.38 MiB,100 MiB,156 MiB,159 MiB,161 MiB,159 MiB,292 MiB,277 MiB,123 MiB
2026-07-29 02:17:45,18.6 MiB,,,7.95 MiB,8.79 MiB,100 MiB,182 MiB,161 MiB,163 MiB,162 MiB,292 MiB,279 MiB,123 MiB
2026-07-29 02:18:00,20.3 MiB,,,7.97 MiB,8.38 MiB,100 MiB,188 MiB,168 MiB,166 MiB,162 MiB,294 MiB,279 MiB,123 MiB
2026-07-29 02:18:15,20.3 MiB,,,7.80 MiB,7.88 MiB,100 MiB,185 MiB,169 MiB,166 MiB,168 MiB,294 MiB,279 MiB,123 MiB
2026-07-29 02:18:30,19.2 MiB,,,7.77 MiB,8.12 MiB,99.8 MiB,183 MiB,169 MiB,166 MiB,169 MiB,294 MiB,280 MiB,105 MiB
2026-07-29 02:18:45,17.7 MiB,,,7.85 MiB,8.11 MiB,99.8 MiB,184 MiB,169 MiB,169 MiB,169 MiB,295 MiB,280 MiB,105 MiB
2026-07-29 02:19:00,18.7 MiB,,,7.93 MiB,8.11 MiB,99.8 MiB,184 MiB,169 MiB,169 MiB,169 MiB,297 MiB,282 MiB,105 MiB
2026-07-29 02:19:15,20.7 MiB,,,7.93 MiB,8.28 MiB,99.8 MiB,184 MiB,170 MiB,169 MiB,169 MiB,297 MiB,282 MiB,105 MiB
2026-07-29 02:19:30,18.0 MiB,,,7.98 MiB,7.85 MiB,99.8 MiB,184 MiB,170 MiB,176 MiB,172 MiB,299 MiB,283 MiB,105 MiB
2026-07-29 02:19:45,22.1 MiB,,,7.98 MiB,8.39 MiB,99.8 MiB,185 MiB,171 MiB,178 MiB,175 MiB,304 MiB,289 MiB,105 MiB
2026-07-29 02:20:00,21.4 MiB,,,7.66 MiB,8.15 MiB,99.8 MiB,184 MiB,171 MiB,179 MiB,175 MiB,306 MiB,292 MiB,107 MiB
2026-07-29 02:20:15,20.4 MiB,,,8.37 MiB,8.21 MiB,99.8 MiB,184 MiB,171 MiB,181 MiB,175 MiB,306 MiB,292 MiB,107 MiB
2026-07-29 02:20:30,18.0 MiB,,,8.37 MiB,8.03 MiB,99.8 MiB,184 MiB,171 MiB,177 MiB,176 MiB,303 MiB,292 MiB,105 MiB
2026-07-29 02:20:45,18.0 MiB,,,7.91 MiB,8.05 MiB,99.8 MiB,181 MiB,168 MiB,171 MiB,164 MiB,303 MiB,289 MiB,105 MiB
2026-07-29 02:21:00,22.7 MiB,,,7.98 MiB,8.39 MiB,99.8 MiB,181 MiB,168 MiB,171 MiB,164 MiB,304 MiB,290 MiB,112 MiB
2026-07-29 02:21:15,21.0 MiB,,,7.72 MiB,8.39 MiB,99.8 MiB,180 MiB,169 MiB,173 MiB,167 MiB,304 MiB,290 MiB,112 MiB
2026-07-29 02:21:30,17.8 MiB,,,8.14 MiB,8.18 MiB,99.8 MiB,181 MiB,169 MiB,173 MiB,167 MiB,304 MiB,290 MiB,114 MiB
2026-07-29 02:21:45,17.9 MiB,,,8.14 MiB,8.32 MiB,99.8 MiB,182 MiB,169 MiB,173 MiB,168 MiB,304 MiB,291 MiB,114 MiB
