"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 01:43:30,0.682%,24.0%,23.8%,0.562%,22.4%,15.1%,12.5%,14.9%,137%,83.7%,0.197%
2026-07-29 01:43:45,0.701%,23.8%,22.7%,0.591%,21.3%,14.5%,11.9%,14.9%,131%,80.4%,0.199%
2026-07-29 01:44:00,0.709%,22.0%,21.4%,0.617%,20.0%,13.7%,11.3%,13.2%,118%,72.5%,0.195%
2026-07-29 01:44:15,0.726%,20.8%,20.2%,0.626%,19.0%,13.0%,10.7%,13.1%,117%,71.5%,0.190%
2026-07-29 01:44:30,0.691%,19.6%,19.1%,0.630%,17.9%,11.6%,9.60%,12.3%,111%,67.9%,0.192%
2026-07-29 01:44:45,0.745%,18.3%,17.7%,0.667%,16.8%,11.4%,9.44%,11.6%,104%,64.2%,0.197%
2026-07-29 01:45:00,0.764%,17.3%,15.8%,0.698%,15.8%,10.7%,8.86%,10.9%,97.4%,60.5%,0.205%
2026-07-29 01:45:15,0.783%,15.9%,15.4%,0.692%,14.7%,9.95%,8.26%,10.1%,90.8%,56.3%,0.208%
2026-07-29 01:45:30,0.772%,14.6%,14.0%,0.712%,13.9%,9.51%,7.89%,9.60%,86.5%,53.8%,0.198%
2026-07-29 01:45:45,0.778%,14.5%,13.9%,0.730%,12.8%,8.85%,7.35%,8.48%,81.2%,49.9%,0.208%
2026-07-29 01:46:00,0.822%,13.6%,12.9%,0.737%,12.1%,8.35%,6.93%,8.44%,75.1%,47.0%,0.209%
2026-07-29 01:46:15,0.832%,12.9%,10.6%,0.736%,11.2%,7.61%,6.43%,7.68%,70.5%,44.1%,0.213%
2026-07-29 01:46:30,0.840%,11.9%,11.1%,0.812%,10.4%,7.26%,6.04%,6.98%,65.9%,41.5%,0.208%
2026-07-29 01:46:45,0.843%,11.1%,10.5%,0.824%,9.65%,6.73%,5.09%,6.97%,61.0%,36.8%,0.211%
2026-07-29 01:47:00,0.818%,9.24%,9.46%,0.841%,8.91%,6.19%,5.11%,6.31%,56.5%,34.8%,0.223%
2026-07-29 01:47:15,0.851%,9.54%,8.71%,0.823%,8.29%,5.73%,4.76%,5.93%,52.1%,32.8%,0.228%
2026-07-29 01:47:30,0.847%,8.62%,7.80%,0.840%,7.81%,5.05%,4.41%,5.37%,47.7%,28.5%,0.227%
2026-07-29 01:47:45,0.879%,7.75%,6.84%,0.833%,7.07%,4.01%,4.01%,4.90%,41.6%,25.6%,0.233%
2026-07-29 01:48:00,0.901%,6.99%,6.19%,0.856%,3.64%,3.96%,3.58%,4.34%,37.0%,22.5%,0.235%
2026-07-29 01:48:15,0.903%,5.93%,4.31%,0.822%,3.97%,2.77%,2.28%,2.75%,24.3%,14.9%,0.237%
2026-07-29 01:48:30,0.868%,4.39%,4.67%,0.892%,4.29%,2.99%,2.70%,2.95%,26.2%,15.9%,0.236%
2026-07-29 01:48:45,0.848%,5.04%,4.72%,0.890%,4.58%,3.15%,2.89%,2.94%,28.0%,17.0%,0.237%
2026-07-29 01:49:00,0.904%,5.38%,5.35%,0.891%,4.89%,3.39%,3.09%,3.39%,29.9%,18.2%,0.240%
2026-07-29 01:49:15,0.896%,5.73%,5.73%,0.877%,4.96%,3.61%,3.25%,3.61%,31.1%,19.1%,0.247%
2026-07-29 01:49:30,0.916%,6.10%,6.08%,0.840%,5.51%,3.60%,3.47%,3.82%,33.7%,19.8%,0.243%
