"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 02:51:30,20.6 MiB,9.11 MiB,8.69 MiB,99.1 MiB,193 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,98.0 MiB,,
2026-07-29 02:51:45,18.3 MiB,8.73 MiB,8.00 MiB,99.1 MiB,193 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,98.0 MiB,,
2026-07-29 02:52:00,22.6 MiB,8.73 MiB,8.00 MiB,99.1 MiB,193 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,98.0 MiB,,
2026-07-29 02:52:15,20.4 MiB,8.70 MiB,8.00 MiB,99.1 MiB,194 MiB,147 MiB,157 MiB,150 MiB,282 MiB,304 MiB,98.1 MiB,,
2026-07-29 02:52:30,17.8 MiB,8.34 MiB,8.00 MiB,98.9 MiB,194 MiB,147 MiB,157 MiB,150 MiB,282 MiB,304 MiB,104 MiB,,
2026-07-29 02:52:45,18.0 MiB,8.55 MiB,8.00 MiB,98.9 MiB,194 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,104 MiB,,
2026-07-29 02:53:00,18.4 MiB,8.55 MiB,8.00 MiB,98.9 MiB,194 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,104 MiB,,
2026-07-29 02:53:15,18.7 MiB,9.07 MiB,8.00 MiB,98.9 MiB,195 MiB,147 MiB,157 MiB,150 MiB,281 MiB,304 MiB,104 MiB,,
2026-07-29 02:53:30,21.7 MiB,8.56 MiB,8.00 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,105 MiB,,
2026-07-29 02:53:45,18 MiB,8.48 MiB,8.00 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,105 MiB,,
2026-07-29 02:54:00,17.5 MiB,8.65 MiB,7.07 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,105 MiB,,
2026-07-29 02:54:15,17.5 MiB,8.27 MiB,7.07 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,105 MiB,,
2026-07-29 02:54:30,19.9 MiB,8.02 MiB,7.07 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,105 MiB,,
2026-07-29 02:54:45,19.9 MiB,8.04 MiB,7.07 MiB,98.9 MiB,124 MiB,114 MiB,108 MiB,112 MiB,281 MiB,193 MiB,91.7 MiB,,
2026-07-29 02:55:00,19.9 MiB,7.89 MiB,7.07 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,282 MiB,193 MiB,91.8 MiB,,
2026-07-29 02:55:15,22.3 MiB,7.93 MiB,7.07 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,193 MiB,92.4 MiB,,
2026-07-29 02:55:30,17.9 MiB,7.75 MiB,7.07 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,98.1 MiB,,
2026-07-29 02:55:45,18.6 MiB,7.93 MiB,7.07 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,98.1 MiB,,
2026-07-29 02:56:00,18.8 MiB,7.98 MiB,6.88 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,278 MiB,190 MiB,105 MiB,,
