"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 03:18:00,18.8 MiB,8.45 MiB,7.99 MiB,99.4 MiB,207 MiB,189 MiB,172 MiB,175 MiB,296 MiB,311 MiB,113 MiB,,
2026-07-29 03:18:15,19.5 MiB,8.41 MiB,7.58 MiB,99.4 MiB,185 MiB,182 MiB,181 MiB,177 MiB,292 MiB,296 MiB,113 MiB,,
2026-07-29 03:18:30,19.5 MiB,8.31 MiB,8.36 MiB,99.4 MiB,189 MiB,175 MiB,181 MiB,178 MiB,303 MiB,299 MiB,113 MiB,,
2026-07-29 03:18:45,19.0 MiB,8.02 MiB,7.94 MiB,99.5 MiB,193 MiB,175 MiB,178 MiB,177 MiB,295 MiB,299 MiB,116 MiB,,
2026-07-29 03:19:00,17.9 MiB,8.02 MiB,8.89 MiB,99.5 MiB,185 MiB,189 MiB,176 MiB,172 MiB,303 MiB,298 MiB,116 MiB,,
2026-07-29 03:19:15,18.2 MiB,8.20 MiB,8.73 MiB,99.5 MiB,189 MiB,186 MiB,171 MiB,172 MiB,297 MiB,301 MiB,116 MiB,,
2026-07-29 03:19:30,18.4 MiB,8.27 MiB,8.73 MiB,99.5 MiB,189 MiB,192 MiB,182 MiB,182 MiB,310 MiB,310 MiB,116 MiB,,
2026-07-29 03:19:45,17.9 MiB,8.27 MiB,8.16 MiB,99.5 MiB,189 MiB,167 MiB,182 MiB,182 MiB,307 MiB,306 MiB,116 MiB,,
2026-07-29 03:20:00,19.2 MiB,8.16 MiB,7.96 MiB,99.5 MiB,197 MiB,188 MiB,179 MiB,175 MiB,309 MiB,309 MiB,118 MiB,,
2026-07-29 03:20:15,21.2 MiB,8.44 MiB,7.96 MiB,99.4 MiB,201 MiB,179 MiB,184 MiB,177 MiB,301 MiB,300 MiB,118 MiB,,
2026-07-29 03:20:30,18.1 MiB,8.50 MiB,8.26 MiB,99.4 MiB,191 MiB,179 MiB,173 MiB,181 MiB,297 MiB,306 MiB,118 MiB,,
