"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 02:32:00,0.731%,23.1%,24.1%,0.589%,21.4%,15.2%,13.9%,15.3%,131%,84.7%,0.189%
2026-07-29 02:32:15,0.695%,22.7%,23.8%,0.598%,20.0%,14.2%,13.4%,15.4%,131%,80.6%,0.178%
2026-07-29 02:32:30,0.737%,21.7%,22.3%,0.638%,19.0%,13.5%,12.7%,14.2%,122%,76.2%,0.190%
2026-07-29 02:32:45,0.754%,20.3%,20.9%,0.639%,18.0%,12.7%,12.1%,13.4%,115%,72.2%,0.206%
2026-07-29 02:33:00,0.745%,19.2%,19.8%,0.650%,16.2%,11.6%,11.4%,12.6%,109%,68.8%,0.208%
2026-07-29 02:33:15,0.750%,17.9%,18.6%,0.612%,15.9%,11.3%,10.7%,11.2%,103%,64.5%,0.196%
2026-07-29 02:33:30,0.753%,16.7%,17.4%,0.678%,14.8%,10.5%,10.0%,11.1%,91.2%,60.4%,0.204%
2026-07-29 02:33:45,0.763%,15.5%,16.7%,0.696%,14.0%,9.90%,9.12%,10.4%,89.6%,54.0%,0.216%
2026-07-29 02:34:00,0.777%,14.3%,14.8%,0.696%,13.1%,9.28%,8.89%,9.65%,85.9%,53.6%,0.216%
2026-07-29 02:34:15,0.784%,12.8%,14.8%,0.693%,12.1%,8.60%,8.35%,9.19%,80.6%,49.7%,0.215%
2026-07-29 02:34:30,0.766%,12.9%,12.8%,0.745%,11.5%,8.21%,7.91%,8.40%,76.1%,47.7%,0.220%
2026-07-29 02:34:45,0.807%,12.2%,13.0%,0.783%,10.7%,7.57%,6.66%,8.01%,71.4%,44.1%,0.223%
2026-07-29 02:35:00,0.811%,11.3%,12.0%,0.782%,9.99%,7.07%,6.96%,7.21%,64.8%,37.6%,0.225%
2026-07-29 02:35:15,0.837%,10.3%,11.3%,0.769%,9.14%,6.63%,6.53%,6.88%,62.8%,36.3%,0.222%
2026-07-29 02:35:30,0.804%,9.64%,10.3%,0.794%,8.33%,6.13%,6.00%,6.30%,58.1%,34.5%,0.223%
2026-07-29 02:35:45,0.825%,8.93%,9.50%,0.796%,7.67%,5.52%,5.56%,5.83%,53.7%,31.5%,0.225%
2026-07-29 02:36:00,0.819%,7.81%,8.74%,0.815%,6.90%,4.90%,4.25%,5.19%,49.4%,27.4%,0.228%
2026-07-29 02:36:15,0.798%,6.31%,8.13%,0.810%,6.21%,4.52%,4.60%,4.67%,44.9%,25.7%,0.225%
2026-07-29 02:36:30,0.878%,6.25%,5.56%,0.865%,3.59%,2.41%,4.07%,4.12%,32.8%,21.9%,0.229%
2026-07-29 02:36:45,0.894%,4.02%,5.88%,0.878%,3.87%,2.46%,2.73%,2.42%,34.0%,15.0%,0.237%
2026-07-29 02:37:00,0.863%,4.72%,4.75%,0.881%,4.16%,2.79%,2.96%,2.58%,26.6%,16.3%,0.226%
